candidate,size_label,length,angle,chi,method,ordering,substeps,infidelity,fidelity,state_norm,final_max_bond,peak_max_bond,final_param_count,peak_param_count,est_transient_elements,total_discarded_weight,max_step_discarded_weight,max_event_discarded_weight,n_svd,n_evolver_calls,runtime_s,d_h,d_u,exact_max_bond,notes
qaoa,5x5,25,0.7,32,tdvp_layer,,4,0.7788003455239184,0.22119965447608156,1.000000000000022,4,4,256,256,32,1.5066103252138233e-29,1.5066103252138233e-29,1.1209054906472269e-30,188,372,0.08272736798971891,7,32,32,
qaoa,5x5,25,0.7,32,tdvp_layer,,8,0.7775260121786489,0.22247398782135114,1.0000000000000573,4,4,256,256,32,3.1140397796624734e-29,3.1140397796624734e-29,1.6796619973595897e-30,376,744,0.17308668501209468,7,32,32,
qaoa,5x5,25,0.7,32,mpo_gatewise,horiz_first,0,-6.661338147750939e-16,1.0000000000000007,1.0000000000000067,32,32,33448,33448,33448,8.015304090463263e-30,2.3731005239895096e-30,1.692656930299167e-30,448,0,0.10942366597009823,7,32,32,
qaoa,5x5,25,0.7,32,mpo_gatewise,vert_first,0,6.661338147750939e-16,0.9999999999999993,0.9999999999999978,32,32,33448,33448,37544,8.431045027357284e-30,2.584380562532918e-30,2.602564811871657e-31,448,0,0.11153903300873935,7,32,32,
qaoa,5x5,25,0.7,32,mpo_layer,,0,1.9984014443252818e-15,0.999999999999998,1.0000000000000457,32,32,33448,33448,33448,2.4523508024925853e-30,2.4523508024925853e-30,1.9642156307038267e-31,24,0,0.013643826998304576,7,32,32,
qaoa,5x5,25,0.7,32,variational_layer,,0,-8.881784197001252e-16,1.0000000000000009,0.9999999999999034,32,32,33448,33448,0,0.0,0.0,0.0,0,0,2.371879782003816,7,32,32,sweeps=0 converged=True
qaoa,5x5,25,0.7,32,oracle_compress,,0,-4.440892098500626e-16,1.0000000000000004,0.9999999999999961,32,32,33448,33448,4096,1.7059520551084158e-30,1.7059520551084158e-30,2.414233408737588e-31,24,0,0.010533505992498249,7,32,32,
qaoa,5x5,25,0.7,64,tdvp_layer,,1,0.8029231041944249,0.1970768958055751,1.0000000000000044,4,4,256,256,32,7.611469082993943e-30,7.611469082993943e-30,1.8830187097791498e-30,47,93,0.019209871999919415,7,32,32,
qaoa,5x5,25,0.7,64,tdvp_layer,,2,0.7838310576400347,0.21616894235996537,1.0000000000000056,4,4,256,256,32,1.2025238404266714e-29,1.2025238404266714e-29,1.673164772298985e-30,94,186,0.04024297097930685,7,32,32,
qaoa,5x5,25,0.7,64,tdvp_layer,,4,0.7788003455239184,0.22119965447608156,1.000000000000022,4,4,256,256,32,1.5066103252138233e-29,1.5066103252138233e-29,1.1209054906472269e-30,188,372,0.08187023998470977,7,32,32,
qaoa,5x5,25,0.7,64,tdvp_layer,,8,0.7775260121786489,0.22247398782135114,1.0000000000000573,4,4,256,256,32,3.1140397796624734e-29,3.1140397796624734e-29,1.6796619973595897e-30,376,744,0.167327563976869,7,32,32,
qaoa,5x5,25,0.7,64,mpo_gatewise,horiz_first,0,-6.661338147750939e-16,1.0000000000000007,1.0000000000000067,32,32,33448,33448,33448,8.015304090463263e-30,2.3731005239895096e-30,1.692656930299167e-30,448,0,0.1081024439772591,7,32,32,
qaoa,5x5,25,0.7,64,mpo_gatewise,vert_first,0,6.661338147750939e-16,0.9999999999999993,0.9999999999999978,32,32,33448,33448,37544,8.431045027357284e-30,2.584380562532918e-30,2.602564811871657e-31,448,0,0.11050799099029973,7,32,32,
qaoa,5x5,25,0.7,64,mpo_layer,,0,1.9984014443252818e-15,0.999999999999998,1.0000000000000457,32,32,33448,33448,33448,2.4523508024925853e-30,2.4523508024925853e-30,1.9642156307038267e-31,24,0,0.013882155995815992,7,32,32,
qaoa,5x5,25,0.7,64,variational_layer,,0,-8.881784197001252e-16,1.0000000000000009,0.9999999999999034,32,32,33448,33448,0,0.0,0.0,0.0,0,0,2.3842464410117827,7,32,32,sweeps=0 converged=True
qaoa,5x5,25,0.7,64,oracle_compress,,0,-4.440892098500626e-16,1.0000000000000004,0.9999999999999961,32,32,33448,33448,4096,1.7059520551084158e-30,1.7059520551084158e-30,2.414233408737588e-31,24,0,0.01066387997707352,7,32,32,
oat,N16,16,0.5,2,tdvp_layer,,1,0.007827056424666856,0.9921729435753331,1.0000000000000022,2,2,120,120,16,0.00120048173575277,0.00120048173575277,0.00012866013363234337,29,57,0.013535608013626188,3,9,8,
oat,N16,16,0.5,2,tdvp_layer,,2,0.007788711561277029,0.992211288438723,0.9999999999999993,2,2,120,120,16,0.0006312053388363454,0.0006312053388363454,4.274910593115995e-05,58,114,0.026729379023890942,3,9,8,
oat,N16,16,0.5,2,tdvp_layer,,4,0.00804070000241841,0.9919592999975816,0.9999999999999983,2,2,120,120,16,0.00025024702589191534,0.00025024702589191534,1.1821206543314843e-05,116,228,0.05530497495783493,3,9,8,
oat,N16,16,0.5,2,tdvp_layer,,8,0.008225220391541166,0.9917747796084588,1.0000000000000018,2,2,120,120,16,0.00012298176303173253,0.00012298176303173253,3.1550733523688557e-06,232,456,0.1121002989821136,3,9,8,
oat,N16,16,0.5,2,mpo_gatewise,lexicographic,0,0.01917163371616326,0.9808283662838367,0.9532116756348815,2,2,120,120,424,0.0950694478244299,0.001110699649438844,0.001110699649438844,1710,0,0.3321056499844417,3,9,8,
oat,N16,16,0.5,2,mpo_gatewise,by_distance,0,0.015439279907834114,0.9845607200921659,0.9563816624287313,2,2,120,120,424,0.0891742675735996,0.0010267223957192901,0.0008476783828890886,1710,0,0.3318894419935532,3,9,8,
oat,N16,16,0.5,2,mpo_layer,,0,0.0072361031744092585,0.9927638968255907,0.9963753794757453,2,9,120,960,960,0.007259865582443011,0.007259865582443011,0.0009017234820403881,15,0,0.0032520610257051885,3,9,8,
oat,N16,16,0.5,2,variational_layer,,0,0.0191716337161556,0.9808283662838444,1.0000000000000062,2,2,120,120,16,0.003699805152330655,0.003699805152330655,0.00020169283062966995,30,0,0.16630967799574137,3,9,8,sweeps=1 converged=True
oat,N16,16,0.5,2,oracle_compress,,0,0.0072361031744093696,0.9927638968255906,0.9963753794757882,2,2,120,120,64,0.0072598655824426366,0.0072598655824426366,0.0009017234820404652,15,0,0.0022046330268494785,3,9,8,
oat,N16,16,0.5,4,tdvp_layer,,1,0.0008652906804903493,0.9991347093195097,1.0000000000000053,4,4,412,412,32,6.527165739734585e-33,6.527165739734585e-33,6.527165739734585e-33,29,57,0.014440560014918447,3,9,8,
oat,N16,16,0.5,4,tdvp_layer,,2,6.229766085508182e-05,0.9999377023391449,1.0000000000000018,4,4,412,412,64,1.7972604004629175e-06,1.7972604004629175e-06,3.070902038725869e-07,58,114,0.03410765097942203,3,9,8,
oat,N16,16,0.5,4,tdvp_layer,,4,1.2521863194114857e-05,0.9999874781368059,1.0000000000000013,4,4,400,400,64,1.2861573067485033e-06,1.2861573067485033e-06,1.4791174248707978e-07,116,228,0.06902442197315395,3,9,8,
oat,N16,16,0.5,4,tdvp_layer,,8,9.681729743138412e-06,0.9999903182702569,0.9999999999999999,4,4,400,400,64,7.054295101898163e-07,7.054295101898163e-07,4.7344776776440076e-08,232,456,0.13306664302945137,3,9,8,
