cut,J,m,probe_draw,entropy
10,1.0,16,4,0.056107239520112685
10,1.0,32,4,0.08317375155558537
10,1.0,64,4,0.1011587950308773
10,1.2,4,0,0.0307089247543685
10,1.2,8,0,0.1507183973369004
10,1.2,16,0,0.1639184024148683
10,1.2,32,0,0.1939857988190198
10,1.2,64,0,0.2548363492576918
10,1.2,4,1,0.11465398183068427
10,1.2,8,1,0.07844983144216594
10,1.2,16,1,0.17689092705014153
10,1.2,32,1,0.17810156330453272
10,1.2,64,1,0.1878605797061913
10,1.2,4,2,0.09802644673099217
10,1.2,8,2,0.08074783876329329
10,1.2,16,2,0.1405931574569599
10,1.2,32,2,0.16394977347213618
10,1.2,64,2,0.1481420483317716
10,1.2,4,3,0.045535061022513965
10,1.2,8,3,0.06920056032539178
10,1.2,16,3,0.17548101034499725
10,1.2,32,3,0.17711116579517328
10,1.2,64,3,0.23385057053104422
10,1.2,4,4,0.0743103579236661
10,1.2,8,4,0.12715396408717566
10,1.2,16,4,0.1891322986576912
10,1.2,32,4,0.17786871011932703
10,1.2,64,4,0.20781056179159782
10,1.4,4,0,0.13580371375934047
10,1.4,8,0,0.4887473394127407
10,1.4,16,0,0.4629459969160351
10,1.4,32,0,0.39415347012888485
10,1.4,64,0,0.33568376602070965
10,1.4,4,1,0.029497617184605193
10,1.4,8,1,0.059304446611674985
10,1.4,16,1,0.25335478450448917
10,1.4,32,1,0.3217412395038301
10,1.4,64,1,0.29282888106829064
10,1.4,4,2,0.07952027490819515
10,1.4,8,2,0.0966191980729389
10,1.4,16,2,0.2790919127465609
10,1.4,32,2,0.22747961177975315
10,1.4,64,2,0.2440917445098564
10,1.4,4,3,0.05435253633570096
10,1.4,8,3,0.196525126407242
10,1.4,16,3,0.26346530567355364
10,1.4,32,3,0.45339037836112706
10,1.4,64,3,0.30417861425466897
10,1.4,4,4,0.09971844075285714
10,1.4,8,4,0.3914987902494789
10,1.4,16,4,0.414337965183746
10,1.4,32,4,0.29593124035216717
10,1.4,64,4,0.33491673615856354
10,1.6,4,0,0.5179473727271036
10,1.6,8,0,0.6710965526391612
10,1.6,16,0,0.2788899061230683
10,1.6,32,0,0.2833030618521989
10,1.6,64,0,0.2843749127746631
10,1.6,4,1,0.2356391870317139
10,1.6,8,1,0.289252419902755
10,1.6,16,1,0.13841166415326261
10,1.6,32,1,0.2630136889256178
10,1.6,64,1,0.3774069169961811
10,1.6,4,2,0.14062513739417848
10,1.6,8,2,0.14621270115517737
10,1.6,16,2,0.5408821442583507
10,1.6,32,2,0.3052560729980674
10,1.6,64,2,0.3253158840221628
10,1.6,4,3,0.11742457758476489
10,1.6,8,3,0.30229011704649666
10,1.6,16,3,0.41276622276400327
10,1.6,32,3,0.4161079030360254
10,1.6,64,3,0.36780890693124674
10,1.6,4,4,0.40568543980620736
10,1.6,8,4,0.35691884468183444
10,1.6,16,4,0.3663441412611084
10,1.6,32,4,0.3082666696247349
10,1.6,64,4,0.2784764282471515
10,1.8,4,0,0.30769989923785335
10,1.8,8,0,0.5201369651840211
10,1.8,16,0,0.339046613635157
10,1.8,32,0,0.36797946393717557
10,1.8,64,0,0.42257785001282006
10,1.8,4,1,0.12852228798169907
10,1.8,8,1,0.23360889020505343
10,1.8,16,1,0.26377155091129123
10,1.8,32,1,0.24932064569372472
10,1.8,64,1,0.33483558785497985
10,1.8,4,2,0.22467942146275077
10,1.8,8,2,0.13963191999207275
10,1.8,16,2,0.26704477087798306
10,1.8,32,2,0.3676337933735806
10,1.8,64,2,0.32213256135681123
10,1.8,4,3,0.06716251174973184
10,1.8,8,3,0.18173579830494743
10,1.8,16,3,0.35843229668167514
10,1.8,32,3,0.35931085811614005
10,1.8,64,3,0.3950914636738911
10,1.8,4,4,0.38266601678584067
10,1.8,8,4,0.586787126884931
10,1.8,16,4,0.4375219928031232
10,1.8,32,4,0.42485244833133695
