#time	operator	index	value
1.1	Z	15	0.106630028557095
1.1	Z	16	-0.106617843219576
1.1	Z	17	-0.470886195286042
1.1	Z	18	-0.567411707898157
1.1	Z	19	-0.676852399806311
1.1	Z	20	-0.76512697178291
1.1	Z	21	-0.795671740332912
1.1	Z	22	-0.801667909483153
1.1	Z	23	-0.802441997281191
1.1	Z	24	-0.802513524385807
1.1	Z	25	-0.802518520857827
1.1	Z	26	-0.802518786717483
1.1	Z	27	-0.802518797503208
1.1	Z	28	-0.802518797957121
1.1	Z	29	-0.8025187979672
1.1	Z	30	-0.802518797967318

1.2	Z	1	0.786627818164106
1.2	Z	2	0.786627818163765
1.2	Z	3	0.786627818100484
1.2	Z	4	0.786627815172041
1.2	Z	5	0.786627749203157
1.2	Z	6	0.786626536753176
1.2	Z	7	0.786608089091022
1.2	Z	8	0.7863940698774
1.2	Z	9	0.784536615156873
1.2	Z	10	0.773189097263681
1.2	Z	11	0.729013645591364
1.2	Z	12	0.637681103236064
1.2	Z	13	0.562903967746008
1.2	Z	14	0.431259145661228
1.2	Z	15	0.0785530877311975
1.2	Z	16	-0.0785523491967907
1.2	Z	17	-0.431231038281174
1.2	Z	18	-0.562933337822319
1.2	Z	19	-0.637693125351102
1.2	Z	20	-0.729005647910125
1.2	Z	21	-0.773185111431949
1.2	Z	22	-0.784536023737325
1.2	Z	23	-0.786394066566044
1.2	Z	24	-0.786608095453584
1.2	Z	25	-0.786626537342445
1.2	Z	26	-0.786627750305491
1.2	Z	27	-0.78662781498786
1.2	Z	28	-0.786627818086935
1.2	Z	29	-0.786627818160109
1.2	Z	30	-0.786627818160883

1.3	Z	1	0.771051585812139
1.3	Z	2	0.771051585793027
1.3	Z	3	0.771051584910528
1.3	Z	4	0.771051569346026
1.3	Z	5	0.771051263932958
1.3	Z	6	0.771046506061728
1.3	Z	7	0.770987977292986
1.3	Z	8	0.770432445205241
1.3	Z	9	0.766534727899318
1.3	Z	10	0.747692295000348
1.3	Z	11	0.691982546809415
1.3	Z	12	0.611770509291713
1.3	Z	13	0.5593917132686
1.3	Z	14	0.371437185600557
1.3	Z	15	0.087323594566303
1.3	Z	16	-0.0873302473709817
1.3	Z	17	-0.371405549606339
1.3	Z	18	-0.559404210384674
1.3	Z	19	-0.61179529880429
1.3	Z	20	-0.691978254053845
1.3	Z	21	-0.747686033308204
1.3	Z	22	-0.76653310119764
1.3	Z	23	-0.770432294129182
1.3	Z	24	-0.770987982970073
1.3	Z	25	-0.771046506500606
1.3	Z	26	-0.771051263295691
1.3	Z	27	-0.771051569569125
1.3	Z	28	-0.771051584955561
1.3	Z	29	-0.771051585796417
1.3	Z	30	-0.771051585809067

1.4	Z	1	0.755783741466618
1.4	Z	2	0.755783741260621
1.4	Z	3	0.755783736897168
1.4	Z	4	0.755783661637429
1.4	Z	5	0.755782422730309
1.4	Z	6	0.755766489474625
1.4	Z	7	0.755604078448156
1.4	Z	8	0.754333966593245
1.4	Z	9	0.747099896730756
1.4	Z	10	0.719461925527381
1.4	Z	11	0.658272251164996
1.4	Z	12	0.598710242999679
1.4	Z	13	0.543232332427916
1.4	Z	14	0.310893239085416
1.4	Z	15	0.116003453365904
1.4	Z	16	-0.116010178056911
1.4	Z	17	-0.310874378157652
1.4	Z	18	-0.543220550975218
1.4	Z	19	-0.59874111257841
1.4	Z	20	-0.658276533990242
1.4	Z	21	-0.719454541656501
1.4	Z	22	-0.747096649458047
1.4	Z	23	-0.754333408767144
1.4	Z	24	-0.755604043868719
1.4	Z	25	-0.755766488116287
1.4	Z	26	-0.755782423133012
1.4	Z	27	-0.755783661595796
1.4	Z	28	-0.755783737412653
1.4	Z	29	-0.755783741358301
1.4	Z	30	-0.755783741461729

1.5	Z	1	0.740818220660218
1.5	Z	2	0.740818219360145
1.5	Z	3	0.740818201141474
1.5	Z	4	0.740817877571556
1.5	Z	5	0.740813535026663
1.5	Z	6	0.740766681057637
1.5	Z	7	0.740367229042055
1.5	Z	8	0.737781617800326
1.5	Z	9	0.725813566731387
1.5	Z	10	0.689903002290702
1.5	Z	11	0.631762202667856
1.5	Z	12	0.59249979198331
1.5	Z	13	0.508640113150431
1.5	Z	14	0.268696981591103
1.5	Z	15	0.139866944310576
1.5	Z	16	-0.13986775888763
1.5	Z	17	-0.268699666641011
1.5	Z	18	-0.508608686864874
1.5	Z	19	-0.592524716860873
1.5	Z	20	-0.631777755603684
1.5	Z	21	-0.689897292738989
1.5	Z	22	-0.725808459828375
1.5	Z	23	-0.737780255698719
1.5	Z	24	-0.740367053288196
1.5	Z	25	-0.740766669794497
1.5	Z	26	-0.740813535497629
1.5	Z	27	-0.740817877420061
1.5	Z	28	-0.74081820143853
1.5	Z	29	-0.740818219586091
1.5	Z	30	-0.740818220670954

1.6	Z	1	0.726149011277526
1.6	Z	2	0.726149006058969
1.6	Z	3	0.726148924518769
1.6	Z	4	0.726147742278342
1.6	Z	5	0.726134312626374
1.6	Z	6	0.726011544207864
1.6	Z	7	0.725131885779427
1.6	Z	8	0.720408018498578
1.6	Z	9	0.702676866757879
1.6	Z	10	0.661404923110861
1.6	Z	11	0.614107021028727
1.6	Z	12	0.584119634193019
1.6	Z	13	0.460369655122877
1.6	Z	14	0.252740833757826
1.6	Z	15	0.14183250354993
1.6	Z	16	-0.141826033717809
1.6	Z	17	-0.25276138046512
1.6	Z	18	-0.460333655824141
1.6	Z	19	-0.584126882225281
1.6	Z	20	-0.614131752281223
1.6	Z	21	-0.661404685972687
1.6	Z	22	-0.702670530248435
1.6	Z	23	-0.720405422251403
1.6	Z	24	-0.725131385649375
1.6	Z	25	-0.726011486491762
1.6	Z	26	-0.726134310747766
1.6	Z	27	-0.726147742142342
1.6	Z	28	-0.726148924107454
1.6	Z	29	-0.726149006750528
1.6	Z	30	-0.726149011436444

1.7	Z	1	0.711770321580776
1.7	Z	2	0.71177029922319
1.7	Z	3	0.711769977127242
1.7	Z	4	0.711766131275385
1.7	Z	5	0.711728935783811
1.7	Z	6	0.711439582279093
1.7	Z	7	0.709691716837285
1.7	Z	8	0.701904428839555
1.7	Z	9	0.678342346378723
1.7	Z	10	0.63663821442783
1.7	Z	11	0.603597382193232
1.7	Z	12	0.565871808682566
1.7	Z	13	0.41056315742651
1.7	Z	14	0.256663012501333
1.7	Z	15	0.120852065079197
1.7	Z	16	-0.120841698839893
1.7	Z	17	-0.256688043252913
1.7	Z	18	-0.410540257719688
1.7	Z	19	-0.565856410881847
