#time	operator	index_1	index_2	value
0	ZZ	12	18	-1
0	ZZ	12	19	-1
0	ZZ	12	20	-1
0	ZZ	12	21	-1
0	ZZ	12	22	-1
0	ZZ	12	23	-1
0	ZZ	12	24	-1
0	ZZ	12	25	-1
0	ZZ	12	26	-1
0	ZZ	12	27	-1
0	ZZ	12	28	-1
0	ZZ	12	29	-1
0	ZZ	12	30	-1
0	ZZ	13	1	1
0	ZZ	13	2	1
0	ZZ	13	3	1
0	ZZ	13	4	1
0	ZZ	13	5	1
0	ZZ	13	6	1
0	ZZ	13	7	1
0	ZZ	13	8	1
0	ZZ	13	9	1
0	ZZ	13	10	1
0	ZZ	13	11	1
0	ZZ	13	12	1
0	ZZ	13	14	1
0	ZZ	13	15	1
0	ZZ	13	16	-1
0	ZZ	13	17	-1
0	ZZ	13	18	-1
0	ZZ	13	19	-1
0	ZZ	13	20	-1
0	ZZ	13	21	-1
0	ZZ	13	22	-1
0	ZZ	13	23	-1
0	ZZ	13	24	-1
0	ZZ	13	25	-1
0	ZZ	13	26	-1
0	ZZ	13	27	-1
0	ZZ	13	28	-1
0	ZZ	13	29	-1
0	ZZ	13	30	-1
0	ZZ	14	1	1
0	ZZ	14	2	1
0	ZZ	14	3	1
0	ZZ	14	4	1
0	ZZ	14	5	1
0	ZZ	14	6	1
0	ZZ	14	7	1
0	ZZ	14	8	1
0	ZZ	14	9	1
0	ZZ	14	10	1
0	ZZ	14	11	1
0	ZZ	14	12	1
0	ZZ	14	13	1
0	ZZ	14	15	1
0	ZZ	14	16	-1
0	ZZ	14	17	-1
0	ZZ	14	18	-1
0	ZZ	14	19	-1
0	ZZ	14	20	-1
0	ZZ	14	21	-1
0	ZZ	14	22	-1
0	ZZ	14	23	-1
0	ZZ	14	24	-1
0	ZZ	14	25	-1
0	ZZ	14	26	-1
0	ZZ	14	27	-1
0	ZZ	14	28	-1
0	ZZ	14	29	-1
0	ZZ	14	30	-1
0	ZZ	15	1	1
0	ZZ	15	2	1
0	ZZ	15	3	1
0	ZZ	15	4	1
0	ZZ	15	5	1
0	ZZ	15	6	1
0	ZZ	15	7	1
0	ZZ	15	8	1
0	ZZ	15	9	1
0	ZZ	15	10	1
0	ZZ	15	11	1
0	ZZ	15	12	1
0	ZZ	15	13	1
0	ZZ	15	14	1
0	ZZ	15	16	-1
0	ZZ	15	17	-1
0	ZZ	15	18	-1
0	ZZ	15	19	-1
0	ZZ	15	20	-1
0	ZZ	15	21	-1
0	ZZ	15	22	-1
0	ZZ	15	23	-1
0	ZZ	15	24	-1
0	ZZ	15	25	-1
0	ZZ	15	26	-1
0	ZZ	15	27	-1
0	ZZ	15	28	-1
0	ZZ	15	29	-1
0	ZZ	15	30	-1
0	ZZ	16	1	-1
0	ZZ	16	2	-1
0	ZZ	16	3	-1
0	ZZ	16	4	-1
0	ZZ	16	5	-1
0	ZZ	16	6	-1
0	ZZ	16	7	-1
0	ZZ	16	8	-1
0	ZZ	16	9	-1
0	ZZ	16	10	-1
0	ZZ	16	11	-1
0	ZZ	16	12	-1
0	ZZ	16	13	-1
0	ZZ	16	14	-1
0	ZZ	16	15	-1
0	ZZ	16	17	1
0	ZZ	16	18	1
0	ZZ	16	19	1
0	ZZ	16	20	1
0	ZZ	16	21	1
0	ZZ	16	22	1
0	ZZ	16	23	1
0	ZZ	16	24	1
0	ZZ	16	25	1
0	ZZ	16	26	1
0	ZZ	16	27	1
0	ZZ	16	28	1
0	ZZ	16	29	1
0	ZZ	16	30	1
0	ZZ	17	1	-1
0	ZZ	17	2	-1
0	ZZ	17	3	-1
0	ZZ	17	4	-1
0	ZZ	17	5	-1
0	ZZ	17	6	-1
0	ZZ	17	7	-1
0	ZZ	17	8	-1
0	ZZ	17	9	-1
0	ZZ	17	10	-1
0	ZZ	17	11	-1
0	ZZ	17	12	-1
0	ZZ	17	13	-1
0	ZZ	17	14	-1
0	ZZ	17	15	-1
0	ZZ	17	16	1
0	ZZ	17	18	1
0	ZZ	17	19	1
0	ZZ	17	20	1
0	ZZ	17	21	1
0	ZZ	17	22	1
0	ZZ	17	23	1
0	ZZ	17	24	1
0	ZZ	17	25	1
0	ZZ	17	26	1
0	ZZ	17	27	1
0	ZZ	17	28	1
0	ZZ	17	29	1
0	ZZ	17	30	1
0	ZZ	18	1	-1
0	ZZ	18	2	-1
0	ZZ	18	3	-1
0	ZZ	18	4	-1
0	ZZ	18	5	-1
0	ZZ	18	6	-1
0	ZZ	18	7	-1
0	ZZ	18	8	-1
0	ZZ	18	9	-1
0	ZZ	18	10	-1
0	ZZ	18	11	-1
0	ZZ	18	12	-1
0	ZZ	18	13	-1
0	ZZ	18	14	-1
0	ZZ	18	15	-1
0	ZZ	18	16	1
0	ZZ	18	17	1
0	ZZ	18	19	1
0	ZZ	18	20	1
0	ZZ	18	21	1
0	ZZ	18	22	1
0	ZZ	18	23	1
0	ZZ	18	24	1
0	ZZ	18	25	1
0	ZZ	18	26	1
0	ZZ	18	27	1
0	ZZ	18	28	1
0	ZZ	18	29	1
0	ZZ	18	30	1
0	ZZ	19	1	-1
0	ZZ	19	2	-1
0	ZZ	19	3	-1
0	ZZ	19	4	-1
0	ZZ	19	5	-1
0	ZZ	19	6	-1
0	ZZ	19	7	-1
0	ZZ	19	8	-1
0	ZZ	19	9	-1
0	ZZ	19	10	-1
0	ZZ	19	11	-1
0	ZZ	19	12	-1
0	ZZ	19	13	-1
0	ZZ	19	14	-1
0	ZZ	19	15	-1
0	ZZ	19	16	1
0	ZZ	19	17	1
0	ZZ	19	18	1
0	ZZ	19	20	1
0	ZZ	19	21	1
0	ZZ	19	22	1
0	ZZ	19	23	1
0	ZZ	19	24	1
0	ZZ	19	25	1
0	ZZ	19	26	1
0	ZZ	19	27	1
0	ZZ	19	28	1
0	ZZ	19	29	1
0	ZZ	19	30	1
0	ZZ	20	1	-1
0	ZZ	20	2	-1
0	ZZ	20	3	-1
0	ZZ	20	4	-1
0	ZZ	20	5	-1
0	ZZ	20	6	-1
0	ZZ	20	7	-1
0	ZZ	20	8	-1
0	ZZ	20	9	-1
0	ZZ	20	10	-1
0	ZZ	20	11	-1
0	ZZ	20	12	-1
0	ZZ	20	13	-1
0	ZZ	20	14	-1
0	ZZ	20	15	-1
0	ZZ	20	16	1
0	ZZ	20	17	1
0	ZZ	20	18	1
0	ZZ	20	19	1
0	ZZ	20	21	1
0	ZZ	20	22	1
0	ZZ	20	23	1
0	ZZ	20	24	1
0	ZZ	20	25	1
0	ZZ	20	26	1
0	ZZ	20	27	1
0	ZZ	20	28	1
0	ZZ	20	29	1
0	ZZ	20	30	1
0	ZZ	21	1	-1
0	ZZ	21	2	-1
0	ZZ	21	3	-1
0	ZZ	21	4	-1
0	ZZ	21	5	-1
0	ZZ	21	6	-1
0	ZZ	21	7	-1
0	ZZ	21	8	-1
0	ZZ	21	9	-1
0	ZZ	21	10	-1
0	ZZ	21	11	-1
0	ZZ	21	12	-1
0	ZZ	21	13	-1
0	ZZ	21	14	-1
0	ZZ	21	15	-1
0	ZZ	21	16	1
0	ZZ	21	17	1
0	ZZ	21	18	1
0	ZZ	21	19	1
0	ZZ	21	20	1
0	ZZ	21	22	1
0	ZZ	21	23	1
0	ZZ	21	24	1
0	ZZ	21	25	1
0	ZZ	21	26	1
0	ZZ	21	27	1
0	ZZ	21	28	1
0	ZZ	21	29	1
0	ZZ	21	30	1
0	ZZ	22	1	-1
0	ZZ	22	2	-1
0	ZZ	22	3	-1
0	ZZ	22	4	-1
0	ZZ	22	5	-1
0	ZZ	22	6	-1
0	ZZ	22	7	-1
0	ZZ	22	8	-1
0	ZZ	22	9	-1
0	ZZ	22	10	-1
0	ZZ	22	11	-1
0	ZZ	22	12	-1
0	ZZ	22	13	-1
