variant,k,N,seed,err_dense_U,err_mpo_U,err_dense_pred,err_mpo_pred,ess,ess_over_N,log_weight_var,max_weight,weight_signal_corr,prefactor_dense_pred,prefactor_mpo_pred
mc,1,128,14626,0.6206899611640518,0.6206899611640508,0.19521256889413485,0.19521256889413546,nan,nan,nan,nan,nan,2.2085780998062217,2.2085780998062288
mc,1,128,14627,0.5669036803200944,0.5669036803200944,0.23190471865711607,0.231904718657118,nan,nan,nan,nan,nan,2.623702386425684,2.623702386425706
mc,1,256,15905,0.33140518278687536,0.33140518278687703,0.08054154947768469,0.08054154947768649,nan,nan,nan,nan,nan,1.288664791642955,1.2886647916429839
mc,1,256,15906,0.33518060463095345,0.33518060463095267,0.15448519974337058,0.1544851997433685,nan,nan,nan,nan,nan,2.4717631958939292,2.471763195893896
mc,1,256,15907,0.3050279214660787,0.30502792146607816,0.2639043228617208,0.26390432286172044,nan,nan,nan,nan,nan,4.222469165787532,4.222469165787527
mc,1,512,18465,0.16483770701609143,0.16483770701609082,0.07222820428528429,0.07222820428528373,nan,nan,nan,nan,nan,1.6343376973776567,1.6343376973776442
mc,1,512,18466,0.2891171902844966,0.2891171902844957,0.07131305247327499,0.07131305247327543,nan,nan,nan,nan,nan,1.613630175710875,1.613630175710885
mc,1,512,18467,0.2340599223530728,0.2340599223530721,0.16715159956727388,0.16715159956727305,nan,nan,nan,nan,nan,3.782208945286328,3.782208945286309
mc,1,1024,23585,0.22795151364584673,0.2279515136458476,0.06119183017378689,0.06119183017378608,nan,nan,nan,nan,nan,1.9581385655611805,1.9581385655611545
mc,1,1024,23586,0.1525145037260735,0.1525145037260758,0.06790668612758494,0.06790668612758481,nan,nan,nan,nan,nan,2.173013956082718,2.173013956082714
mc,1,1024,23587,0.18538185144576072,0.18538185144575975,0.0915864401448692,0.0915864401448665,nan,nan,nan,nan,nan,2.9307660846358146,2.930766084635728
sis_mixture_base,1,8,13425,1.5095062910755443,1.509506291075545,1.3741049026391579,1.3741049026391567,7.839479616902451,0.9799349521128063,0.015517669297533551,0.1723238979489745,0.4297247575065627,3.886555578871317,3.886555578871314
sis_mixture_base,1,8,13426,2.1802251576960407,2.180225157696043,0.4957110270228018,0.4957110270228021,7.874353527236528,0.984294190904566,0.012440720447997046,0.16677598794510012,0.22001874837626512,1.4020825148670844,1.4020825148670852
sis_mixture_base,1,8,13427,1.3584043679700863,1.3584043679700875,0.6082511704123108,0.6082511704123116,7.9999999999999964,0.9999999999999996,0.0,0.12500000000000003,nan,1.7203941090527972,1.7203941090527994
sis_mixture_base,1,16,13505,1.361261521831158,1.361261521831159,0.7321817961253245,0.7321817961253257,15.58353798555264,0.97397112409704,0.01668528340458583,0.10207129951414051,-0.12545975088495653,2.928727184501298,2.928727184501303
sis_mixture_base,1,16,13506,1.3637903759049799,1.3637903759049803,0.601661582283106,0.6016615822831064,15.02120084715894,0.9388250529474338,1.2087058990242578,0.0666193515212638,0.1765267757246929,2.406646329132424,2.4066463291324256
sis_mixture_base,1,16,13507,0.9218679848095045,0.9218679848095035,0.734954827230781,0.7349548272307808,16.0,1.0,0.0,0.0625,nan,2.939819308923124,2.939819308923123
sis_mixture_base,1,32,13665,1.074472615089256,1.074472615089257,0.2634989502687953,0.26349895026879533,30.232742651419162,0.9447732078568488,0.05994416092889256,0.0574712444796421,-0.29352238760328003,1.490575156564816,1.4905751565648162
sis_mixture_base,1,32,13666,0.8197559864757319,0.8197559864757312,0.6149445563917644,0.6149445563917644,30.410842880387644,0.9503388400121139,0.07179539843379984,0.051815579386416934,0.2835943385777681,3.4786517270269592,3.4786517270269592
sis_mixture_base,1,32,13667,0.8869420647527139,0.8869420647527126,0.4098604090980502,0.4098604090980502,30.501987837275564,0.9531871199148614,0.06020279746896702,0.05388531781541843,0.013319413047337235,2.318520596904991,2.318520596904991
sis_mixture_base,1,64,13985,0.5675400893765284,0.5675400893765282,0.20795089719310775,0.20795089719310744,61.81793679416099,0.9659052624087655,0.11385724714646062,0.026871085092788464,-0.10782297827439187,1.663607177544862,1.6636071775448595
sis_mixture_base,1,64,13986,0.6596531454667816,0.6596531454667819,0.6724356119096468,0.6724356119096467,61.476110439580076,0.9605642256184387,0.3776882686941046,0.02547103467222487,-0.06201403146142792,5.379484895277175,5.379484895277174
sis_mixture_base,1,64,13987,0.554831741991305,0.5548317419913044,0.14959352237237908,0.14959352237237886,63.513693097448915,0.9924014546476393,0.0044600386226326194,0.02647705121291342,-0.025197897269976646,1.1967481789790326,1.1967481789790309
sis_mixture_base,1,128,14625,0.4444632586031331,0.4444632586031332,0.13065919071825557,0.13065919071825513,119.76692244062887,0.9356790815674131,0.18821590145333283,0.01575323699767346,0.07801293602676597,1.478239996499599,1.4782399964995938
sis_mixture_base,1,128,14626,0.4050117297298163,0.40501172972981636,0.37882147351002327,0.37882147351002277,122.82705236895598,0.9595863466324686,0.18434368146696412,0.01505143218304402,-0.18723941318989143,4.285875724448281,4.2858757244482755
sis_mixture_base,1,128,14627,0.4828082792557214,0.4828082792557201,0.15403542984796553,0.1540354298479635,124.81796193422903,0.9751403276111643,0.06351463159293816,0.014605476369618347,-0.03194654989365174,1.7427119518156986,1.7427119518156757
sis_mixture_base,1,256,15905,0.2848418903283359,0.28484189032833535,0.11479815226475121,0.11479815226475132,246.87567756107111,0.964358115472934,0.04698941307510618,0.007425104600170768,0.009990738085915277,1.8367704362360193,1.836770436236021
sis_mixture_base,1,256,15906,0.3282473386681237,0.3282473386681226,0.20403710452945809,0.20403710452945792,244.65634390323385,0.9556888433720072,0.16771704200166665,0.007823509085176842,0.08910000182198022,3.2645936724713294,3.2645936724713267
sis_mixture_base,1,256,15907,0.30085410312647853,0.3008541031264798,0.10929096838684522,0.10929096838684522,250.0784829660161,0.9768690740860004,0.050525933479151026,0.007602105889109775,0.044439063709717216,1.7486554941895236,1.7486554941895236
sis_mixture_base,1,512,18465,0.23017888471227912,0.2301788847122791,0.06725198201715267,0.06725198201715163,495.22620738503036,0.9672386862988874,0.13355831900397927,0.0037586237356512725,-0.03584699415280839,1.521738641042061,1.5217386410420375
sis_mixture_base,1,512,18466,0.24474806898457743,0.24474806898457802,0.1488006979154355,0.14880069791543632,497.97167587694395,0.9726009294471561,0.0879308201059502,0.0034935943512139486,0.019341342222271747,3.366975441321453,3.366975441321472
sis_mixture_base,1,512,18467,0.21934210078450936,0.2193421007845091,0.03846533587882125,0.038465335878822546,493.939480665898,0.964725548175582,0.33785701305297366,0.0038191113821619423,0.13113237141929304,0.8703711948970468,0.8703711948970763
sis_mixture_base,1,1024,23585,0.19474819633872556,0.19474819633872514,0.05818474580163766,0.05818474580163584,986.0627961385825,0.9629519493540845,0.09782561901556328,0.001956327680126898,0.01092366905494563,1.8619118656524052,1.8619118656523468
sis_mixture_base,1,1024,23586,0.1698148902731524,0.16981489027315322,0.0442556333271225,0.044255633327128195,987.9571745464037,0.9648019282679724,0.08817549852590156,0.0019275468476795002,0.05036141062010299,1.41618026646792,1.4161802664681022
sis_mixture_base,1,1024,23587,0.1496696233640323,0.14966962336403172,0.09474566092256355,0.09474566092256523,988.0866888157694,0.9649284070466498,0.08418368980934124,0.0019349122180490341,-0.011641620602987025,3.0318611495220336,3.0318611495220873
basis_sample,1,8,13425,1.4577389012043775,1.457738901204379,0.6321261734932275,0.6321261734932284,nan,nan,nan,nan,nan,1.7879228153702609,1.7879228153702635
