cut,J,m,probe_draw,entropy
10,1.0,32,0,0.011136688661637136
10,1.0,64,0,0.013775798692096844
10,1.0,4,1,0.005205456017464382
10,1.0,8,1,0.009208335946674234
10,1.0,16,1,0.014561226673727688
10,1.0,32,1,0.010825486737254785
10,1.0,64,1,0.009581031239335283
10,1.0,4,2,0.008289132224578943
10,1.0,8,2,0.004493373507299856
10,1.0,16,2,0.011422842450481793
10,1.0,32,2,0.009853156191950369
10,1.0,64,2,0.011737047279577941
10,1.0,4,3,0.022010897491539
10,1.0,8,3,0.009707040197492856
10,1.0,16,3,0.013473232219348439
10,1.0,32,3,0.01382265439771868
10,1.0,64,3,0.014930512746093536
10,1.0,4,4,0.004848820527428197
10,1.0,8,4,0.005516859319939483
10,1.0,16,4,0.00798771625798232
10,1.0,32,4,0.01098786306492033
10,1.0,64,4,0.014269853878156324
10,1.2,4,0,0.005274358126443009
10,1.2,8,0,0.02218281572403038
10,1.2,16,0,0.024925439903446332
10,1.2,32,0,0.02736325988111009
10,1.2,64,0,0.034948020353623495
10,1.2,4,1,0.012655232916779662
10,1.2,8,1,0.009758082600059635
10,1.2,16,1,0.018199062535852885
10,1.2,32,1,0.023467753860222273
10,1.2,64,1,0.026598771998107017
10,1.2,4,2,0.0161908347493806
10,1.2,8,2,0.01533214658964982
10,1.2,16,2,0.027692539930348075
10,1.2,32,2,0.025692814608304092
10,1.2,64,2,0.021739313231872084
10,1.2,4,3,0.008127662607922883
10,1.2,8,3,0.011109480260226162
10,1.2,16,3,0.02091672704810963
10,1.2,32,3,0.020851993294365066
10,1.2,64,3,0.024509372779276804
10,1.2,4,4,0.016356640830308466
10,1.2,8,4,0.02451244094914993
10,1.2,16,4,0.02893923393199384
10,1.2,32,4,0.027258822798803786
10,1.2,64,4,0.027966456703831355
10,1.4,4,0,0.1541769959483591
10,1.4,8,0,0.09581247434545787
10,1.4,16,0,0.06249290762707922
10,1.4,32,0,0.04784773051637852
10,1.4,64,0,0.04624294144674477
10,1.4,4,1,0.00833398245473872
10,1.4,8,1,0.01687933194534838
10,1.4,16,1,0.05599563668590524
10,1.4,32,1,0.06525968696873244
10,1.4,64,1,0.053745865985643536
10,1.4,4,2,0.005927772850371452
10,1.4,8,2,0.006844961946434416
10,1.4,16,2,0.03214088135051149
10,1.4,32,2,0.03153292894110985
10,1.4,64,2,0.03437068242149675
10,1.4,4,3,0.007389804358738015
10,1.4,8,3,0.017887660784316108
10,1.4,16,3,0.032569839977285554
10,1.4,32,3,0.06524922950894638
10,1.4,64,3,0.047193871821605796
10,1.4,4,4,0.024861767298879463
10,1.4,8,4,0.07669752538146785
10,1.4,16,4,0.0769867292898493
10,1.4,32,4,0.05675024604274998
10,1.4,64,4,0.055057227833353546
10,1.6,4,0,0.053006776119992924
10,1.6,8,0,0.09782421486934965
10,1.6,16,0,0.06063193734892252
10,1.6,32,0,0.07028051161535362
