L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,3,0.5,32,32,1,1.0,0.0015889038108533227,0.0,8.759667457089426,1
6,20,0.1,1.0,3,0.6,32,32,1,1.0,0.0031318469056906733,0.0,8.54668327847802,1
6,20,0.1,1.0,3,0.7,32,32,1,1.0,0.005360541607020022,0.0,8.296364155031615,1
6,20,0.1,1.0,3,0.8,32,32,1,1.0,0.008255540213913866,0.0,8.019039163134636,1
6,20,0.1,1.0,3,0.9,32,32,1,1.0,0.011772760570168276,0.0,7.7311136269333325,1
6,20,0.1,1.0,3,1.0,32,32,1,1.0,0.01594124375217041,0.0,7.453118599275208,1
6,20,0.1,1.0,3,1.1,32,32,1,1.0,0.020923577957339533,0.0,7.2060580673396455,1
6,20,0.1,1.0,3,1.2,32,32,1,1.0,0.0269471876185712,0.0,7.007030138854109,1
6,20,0.1,1.0,3,1.3,32,32,1,1.0,0.034103827469724214,0.0,6.865789222446216,1
6,20,0.1,1.0,3,1.4,32,32,1,1.0,0.042170250429545454,0.0,6.783688238451263,1
6,20,0.1,1.0,3,1.5,32,32,1,1.0,0.0506193056011226,0.0,6.755150078124077,1
6,20,0.1,1.0,3,1.6,32,32,1,1.0,0.058816399930184435,0.0,6.770406717031059,1
6,20,0.1,1.0,3,1.7,32,32,1,1.0,0.06624796592775223,0.0,6.817913801111999,1
6,20,0.1,1.0,3,1.8,32,32,1,1.0,0.07265354461685032,0.0,6.885701265673644,1
6,20,0.1,1.0,3,1.9,32,32,1,1.0,0.07804134593073143,0.0,6.961967760952202,1
6,20,0.1,1.0,3,2.0,32,32,1,1.0,0.0826270909558695,0.0,7.035602024322176,1
6,20,0.1,1.0,4,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,8.41434856387485,1
6,20,0.1,1.0,4,0.1,32,32,1,1.0,5.882443105015503e-06,0.0,8.454418768218545,1
6,20,0.1,1.0,4,0.2,32,32,1,1.0,7.8791477839653e-05,0.0,8.476466860838912,1
6,20,0.1,1.0,4,0.3,32,32,1,1.0,0.00036506931061341524,0.0,8.471897466587668,1
6,20,0.1,1.0,4,0.4,32,32,1,1.0,0.0010809711788991835,0.0,8.42961533679383,1
6,20,0.1,1.0,4,0.5,32,32,1,1.0,0.0024513777731677575,0.0,8.339513114599253,1
6,20,0.1,1.0,4,0.6,32,32,1,1.0,0.004625732800607525,0.0,8.195978133552428,1
6,20,0.1,1.0,4,0.7,32,32,1,1.0,0.007656857940278423,0.0,8.000665927191625,1
6,20,0.1,1.0,4,0.8,32,32,1,1.0,0.011609952372571088,0.0,7.764063715796995,1
