method,x_fraction,theta,median_infidelity,minimum_infidelity,maximum_infidelity,sample_count,below_plot_floor
tebd_swap,0.25,1.5707963267948966,0.7044531297848458,0.5882434888540558,0.7683091596156801,9,False
tebd_swap,0.31622776601683794,1.9869176531592203,0.694919902614821,0.5844799084230483,0.7671125053784948,9,False
tebd_swap,0.46415888336127775,2.9163962761324638,0.6318807873058723,0.5550174595711701,0.733497502796757,9,False
tebd_swap,0.5,3.141592653589793,0.6275606353942293,0.5503369582209768,0.7277108175071024,9,False
tebd_swap,0.6812920690579608,4.280684318202959,0.69890290371727,0.5766878641441016,0.7659989991563076,9,False
tebd_swap,0.75,4.71238898038469,0.7044531297848461,0.5882434888540561,0.7683091596156808,9,False
tebd_swap,1.0,6.283185307179586,0.6275606353942296,0.5503369582209774,0.7277108175071023,9,False
mpo_zipup,0.0001,0.0006283185307179586,0.2230074351748168,0.09489654743468723,0.2459506793357551,9,False
mpo_zipup,0.0001467799267622069,0.0009222454792211941,0.2230074351748209,0.09489654743469078,0.24595067933575254,9,False
mpo_zipup,0.00021544346900318845,0.0013536712389686342,0.2230074351748218,0.0948965474346819,0.2459506793357551,9,False
mpo_zipup,0.00031622776601683794,0.0019869176531592202,0.22300743517481836,0.09489654743468723,0.2459506793357561,9,False
mpo_zipup,0.00046415888336127773,0.0029163962761324636,0.22300743517481636,0.09489654743468323,0.24595067933574966,9,False
mpo_zipup,0.0006812920690579609,0.0042806843182029595,0.22300743517481758,0.09489654743468634,0.24595067933575177,9,False
mpo_zipup,0.001,0.006283185307179587,0.22300743517481714,0.09489654743468656,0.24595067933574855,9,False
mpo_zipup,0.0014677992676220691,0.009222454792211942,0.22300743517481758,0.09489654743468612,0.24595067933575376,9,False
mpo_zipup,0.002154434690031882,0.013536712389686328,0.22300743517482102,0.09489654743468567,0.24595067933575565,9,False
mpo_zipup,0.0031622776601683794,0.019869176531592203,0.22300743517481947,0.094896547434687,0.24595067933575399,9,False
mpo_zipup,0.004641588833612777,0.029163962761324633,0.22300743517481947,0.09489654743468612,0.24595067933575532,9,False
mpo_zipup,0.006812920690579608,0.0428068431820296,0.2230074351748189,0.09489654743468534,0.24595067933575487,9,False
mpo_zipup,0.01,0.06283185307179587,0.2230074351748148,0.09489654743468534,0.24595067933575432,9,False
mpo_zipup,0.01467799267622069,0.09222454792211941,0.2230074351748228,0.09489654743469078,0.24595067933575565,9,False
mpo_zipup,0.021544346900318822,0.13536712389686328,0.2230074351748189,0.09489654743468612,0.2459506793357541,9,False
mpo_zipup,0.03162277660168379,0.198691765315922,0.22300743517481914,0.0948965474346859,0.24595067933575354,9,False
mpo_zipup,0.046415888336127774,0.29163962761324635,0.22300743517481847,0.09489654743468912,0.245950679335753,9,False
mpo_zipup,0.06812920690579609,0.42806843182029597,0.22300743517481936,0.09489654743468956,0.24595067933575476,9,False
mpo_zipup,0.1,0.6283185307179586,0.22300743517481514,0.0948965474346849,0.24595067933574932,9,False
mpo_zipup,0.1467799267622069,0.9222454792211943,0.2230074351748207,0.09489654743468567,0.24595067933575399,9,False
mpo_zipup,0.21544346900318823,1.353671238968633,0.2230074351748199,0.094896547434688,0.24595067933575243,9,False
mpo_zipup,0.25,1.5707963267948966,0.22300743517481758,0.09489654743468989,0.2459506793357582,9,False
mpo_zipup,0.31622776601683794,1.9869176531592203,0.22300743517481736,0.09489654743469078,0.2459506793357532,9,False
mpo_zipup,0.46415888336127775,2.9163962761324638,0.22300743517481914,0.09489654743468867,0.24595067933575743,9,False
mpo_zipup,0.5,3.141592653589793,0.0,0.0,5.10702591327572e-15,9,True
mpo_zipup,0.6812920690579608,4.280684318202959,0.2230074351748218,0.09489654743468778,0.2459506793357532,9,False
mpo_zipup,0.75,4.71238898038469,0.2230074351748209,0.09489654743468567,0.24595067933575743,9,False
mpo_zipup,1.0,6.283185307179586,0.0,0.0,2.6645352591003757e-15,9,True
variational_mpo,0.0001,0.0006283185307179586,0.2230074351748168,0.09489654743468723,0.2459506793357551,9,False
variational_mpo,0.0001467799267622069,0.0009222454792211941,0.2230074351748209,0.09489654743469078,0.24595067933575254,9,False
variational_mpo,0.00021544346900318845,0.0013536712389686342,0.2230074351748218,0.0948965474346819,0.2459506793357551,9,False
