experiment,method,gate_type,theta,q0,q1,chi_max,tdvp_substeps,sequence,gate_count,infidelity_median,infidelity_min,infidelity_max,n_seeds
single_gate_angle_v4,hybrid_tdvp,rzz,0.0009222454792211941,2,9,8,1,,1,1.593560675638983e-07,1.593560675638983e-07,1.593560675638983e-07,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.0013536712389686342,2,9,8,1,,1,3.433235588046202e-07,3.433235588046202e-07,3.433235588046202e-07,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.0019869176531592202,2,9,8,1,,1,7.396721686259156e-07,7.396721686259156e-07,7.396721686259156e-07,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.0029163962761324636,2,9,8,1,,1,1.5935871984229522e-06,1.5935871984229522e-06,1.5935871984229522e-06,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.0042806843182029595,2,9,8,1,,1,3.433313169876051e-06,3.433313169876051e-06,3.433313169876051e-06,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.006283185307179587,2,9,8,1,,1,6.676227870539009e-06,6.676227870539009e-06,6.676227870539009e-06,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.009222454792211942,2,9,8,1,,1,1.4383666713024823e-05,1.4383666713024823e-05,1.4383666713024823e-05,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.013536712389686328,2,9,8,1,,1,3.0988827421252196e-05,3.0988827421252196e-05,3.0988827421252196e-05,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.019869176531592203,2,9,8,1,,1,6.676213509249074e-05,6.676213509249074e-05,6.676213509249074e-05,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.029163962761324633,2,9,8,1,,1,0.00014382243292665464,0.00014382243292665464,0.00014382243292665464,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.0428068431820296,2,9,8,1,,1,0.000309779119191389,0.000309779119191389,0.000309779119191389,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.06283185307179587,2,9,8,1,,1,0.0006669767892949485,0.0006669767892949485,0.0006669767892949485,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.09222454792211941,2,9,8,1,,1,0.0014347806986302336,0.0014347806986302336,0.0014347806986302336,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.13536712389686328,2,9,8,1,,1,0.0030802237860082515,0.0030802237860082515,0.0030802237860082515,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.198691765315922,2,9,8,1,,1,0.00658162353810865,0.00658162353810865,0.00658162353810865,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.29163962761324635,2,9,8,1,,1,0.013900026970245505,0.013900026970245505,0.013900026970245505,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.42806843182029597,2,9,8,1,,1,0.028393748579707556,0.028393748579707556,0.028393748579707556,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.6283185307179586,2,9,8,1,,1,0.05240104308625049,0.05240104308625049,0.05240104308625049,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.9222454792211943,2,9,8,1,,1,0.08098137987335052,0.08098137987335052,0.08098137987335052,1
single_gate_angle_v4,hybrid_tdvp,rzz,1.353671238968633,2,9,8,1,,1,0.12063207022869238,0.12063207022869238,0.12063207022869238,1
single_gate_angle_v4,hybrid_tdvp,rzz,1.5707963267948966,2,9,8,1,,1,0.1395665300048352,0.1395665300048352,0.1395665300048352,1
single_gate_angle_v4,hybrid_tdvp,rzz,1.9869176531592203,2,9,8,1,,1,0.1704095345010742,0.1704095345010742,0.1704095345010742,1
single_gate_angle_v4,hybrid_tdvp,rzz,2.9163962761324638,2,9,8,1,,1,0.19510438687729026,0.19510438687729026,0.19510438687729026,1
single_gate_angle_v4,hybrid_tdvp,rzz,3.141592653589793,2,9,8,1,,1,0.19267585130306986,0.19267585130306986,0.19267585130306986,1
single_gate_angle_v4,hybrid_tdvp,rzz,4.280684318202959,2,9,8,1,,1,0.15738424868561174,0.15738424868561174,0.15738424868561174,1
single_gate_angle_v4,hybrid_tdvp,rzz,4.71238898038469,2,9,8,1,,1,0.15137055809477273,0.15137055809477273,0.15137055809477273,1
single_gate_angle_v4,hybrid_tdvp,rzz,6.283185307179586,2,9,8,1,,1,0.15131179231505387,0.15131179231505387,0.15131179231505387,1
single_gate_angle_v4,mpo_zipup,rxx,0.0,2,9,8,1,,1,0.0,0.0,0.0,1
single_gate_angle_v4,mpo_zipup,rxx,0.0006283185307179586,2,9,8,1,,1,0.2459506793357551,0.2459506793357551,0.2459506793357551,1
single_gate_angle_v4,mpo_zipup,rxx,0.0009222454792211941,2,9,8,1,,1,0.24595067933575254,0.24595067933575254,0.24595067933575254,1
single_gate_angle_v4,mpo_zipup,rxx,0.0013536712389686342,2,9,8,1,,1,0.2459506793357551,0.2459506793357551,0.2459506793357551,1
single_gate_angle_v4,mpo_zipup,rxx,0.0019869176531592202,2,9,8,1,,1,0.2459506793357561,0.2459506793357561,0.2459506793357561,1
single_gate_angle_v4,mpo_zipup,rxx,0.0029163962761324636,2,9,8,1,,1,0.24595067933574966,0.24595067933574966,0.24595067933574966,1
single_gate_angle_v4,mpo_zipup,rxx,0.0042806843182029595,2,9,8,1,,1,0.24595067933575177,0.24595067933575177,0.24595067933575177,1
single_gate_angle_v4,mpo_zipup,rxx,0.006283185307179587,2,9,8,1,,1,0.24595067933574855,0.24595067933574855,0.24595067933574855,1
single_gate_angle_v4,mpo_zipup,rxx,0.009222454792211942,2,9,8,1,,1,0.24595067933575376,0.24595067933575376,0.24595067933575376,1
single_gate_angle_v4,mpo_zipup,rxx,0.013536712389686328,2,9,8,1,,1,0.24595067933575565,0.24595067933575565,0.24595067933575565,1
single_gate_angle_v4,mpo_zipup,rxx,0.019869176531592203,2,9,8,1,,1,0.24595067933575399,0.24595067933575399,0.24595067933575399,1
single_gate_angle_v4,mpo_zipup,rxx,0.029163962761324633,2,9,8,1,,1,0.24595067933575532,0.24595067933575532,0.24595067933575532,1
single_gate_angle_v4,mpo_zipup,rxx,0.0428068431820296,2,9,8,1,,1,0.24595067933575487,0.24595067933575487,0.24595067933575487,1
single_gate_angle_v4,mpo_zipup,rxx,0.06283185307179587,2,9,8,1,,1,0.24595067933575432,0.24595067933575432,0.24595067933575432,1
single_gate_angle_v4,mpo_zipup,rxx,0.09222454792211941,2,9,8,1,,1,0.24595067933575565,0.24595067933575565,0.24595067933575565,1
single_gate_angle_v4,mpo_zipup,rxx,0.13536712389686328,2,9,8,1,,1,0.2459506793357541,0.2459506793357541,0.2459506793357541,1
single_gate_angle_v4,mpo_zipup,rxx,0.198691765315922,2,9,8,1,,1,0.24595067933575354,0.24595067933575354,0.24595067933575354,1
single_gate_angle_v4,mpo_zipup,rxx,0.29163962761324635,2,9,8,1,,1,0.245950679335753,0.245950679335753,0.245950679335753,1
single_gate_angle_v4,mpo_zipup,rxx,0.42806843182029597,2,9,8,1,,1,0.24595067933575476,0.24595067933575476,0.24595067933575476,1
single_gate_angle_v4,mpo_zipup,rxx,0.6283185307179586,2,9,8,1,,1,0.24595067933574932,0.24595067933574932,0.24595067933574932,1
single_gate_angle_v4,mpo_zipup,rxx,0.9222454792211943,2,9,8,1,,1,0.24595067933575399,0.24595067933575399,0.24595067933575399,1
single_gate_angle_v4,mpo_zipup,rxx,1.353671238968633,2,9,8,1,,1,0.24595067933575243,0.24595067933575243,0.24595067933575243,1
single_gate_angle_v4,mpo_zipup,rxx,1.5707963267948966,2,9,8,1,,1,0.2459506793357582,0.2459506793357582,0.2459506793357582,1
single_gate_angle_v4,mpo_zipup,rxx,1.9869176531592203,2,9,8,1,,1,0.2459506793357532,0.2459506793357532,0.2459506793357532,1
single_gate_angle_v4,mpo_zipup,rxx,2.9163962761324638,2,9,8,1,,1,0.24595067933575743,0.24595067933575743,0.24595067933575743,1
single_gate_angle_v4,mpo_zipup,rxx,3.141592653589793,2,9,8,1,,1,0.0,0.0,0.0,1
single_gate_angle_v4,mpo_zipup,rxx,4.280684318202959,2,9,8,1,,1,0.2459506793357532,0.2459506793357532,0.2459506793357532,1
single_gate_angle_v4,mpo_zipup,rxx,4.71238898038469,2,9,8,1,,1,0.24595067933575743,0.24595067933575743,0.24595067933575743,1
single_gate_angle_v4,mpo_zipup,rxx,6.283185307179586,2,9,8,1,,1,0.0,0.0,0.0,1
single_gate_angle_v4,mpo_zipup,ryy,0.0,2,9,8,1,,1,0.0,0.0,0.0,1
single_gate_angle_v4,mpo_zipup,ryy,0.0006283185307179586,2,9,8,1,,1,0.24093531925439027,0.24093531925439027,0.24093531925439027,1
single_gate_angle_v4,mpo_zipup,ryy,0.0009222454792211941,2,9,8,1,,1,0.24093531925439216,0.24093531925439216,0.24093531925439216,1
single_gate_angle_v4,mpo_zipup,ryy,0.0013536712389686342,2,9,8,1,,1,0.2409353192543885,0.2409353192543885,0.2409353192543885,1
single_gate_angle_v4,mpo_zipup,ryy,0.0019869176531592202,2,9,8,1,,1,0.24093531925438638,0.24093531925438638,0.24093531925438638,1
single_gate_angle_v4,mpo_zipup,ryy,0.0029163962761324636,2,9,8,1,,1,0.24093531925439293,0.24093531925439293,0.24093531925439293,1
single_gate_angle_v4,mpo_zipup,ryy,0.0042806843182029595,2,9,8,1,,1,0.24093531925439193,0.24093531925439193,0.24093531925439193,1
single_gate_angle_v4,mpo_zipup,ryy,0.006283185307179587,2,9,8,1,,1,0.2409353192543897,0.2409353192543897,0.2409353192543897,1
single_gate_angle_v4,mpo_zipup,ryy,0.009222454792211942,2,9,8,1,,1,0.24093531925439038,0.24093531925439038,0.24093531925439038,1
single_gate_angle_v4,mpo_zipup,ryy,0.013536712389686328,2,9,8,1,,1,0.24093531925439415,0.24093531925439415,0.24093531925439415,1
single_gate_angle_v4,mpo_zipup,ryy,0.019869176531592203,2,9,8,1,,1,0.24093531925439293,0.24093531925439293,0.24093531925439293,1
single_gate_angle_v4,mpo_zipup,ryy,0.029163962761324633,2,9,8,1,,1,0.2409353192543957,0.2409353192543957,0.2409353192543957,1
single_gate_angle_v4,mpo_zipup,ryy,0.0428068431820296,2,9,8,1,,1,0.2409353192543937,0.2409353192543937,0.2409353192543937,1
single_gate_angle_v4,mpo_zipup,ryy,0.06283185307179587,2,9,8,1,,1,0.2409353192543895,0.2409353192543895,0.2409353192543895,1
single_gate_angle_v4,mpo_zipup,ryy,0.09222454792211941,2,9,8,1,,1,0.24093531925439338,0.24093531925439338,0.24093531925439338,1
single_gate_angle_v4,mpo_zipup,ryy,0.13536712389686328,2,9,8,1,,1,0.24093531925439182,0.24093531925439182,0.24093531925439182,1
single_gate_angle_v4,mpo_zipup,ryy,0.198691765315922,2,9,8,1,,1,0.24093531925439082,0.24093531925439082,0.24093531925439082,1
single_gate_angle_v4,mpo_zipup,ryy,0.29163962761324635,2,9,8,1,,1,0.24093531925439116,0.24093531925439116,0.24093531925439116,1
single_gate_angle_v4,mpo_zipup,ryy,0.42806843182029597,2,9,8,1,,1,0.2409353192543957,0.2409353192543957,0.2409353192543957,1
single_gate_angle_v4,mpo_zipup,ryy,0.6283185307179586,2,9,8,1,,1,0.24093531925439182,0.24093531925439182,0.24093531925439182,1
single_gate_angle_v4,mpo_zipup,ryy,0.9222454792211943,2,9,8,1,,1,0.24093531925438905,0.24093531925438905,0.24093531925438905,1
single_gate_angle_v4,mpo_zipup,ryy,1.353671238968633,2,9,8,1,,1,0.2409353192543895,0.2409353192543895,0.2409353192543895,1
single_gate_angle_v4,mpo_zipup,ryy,1.5707963267948966,2,9,8,1,,1,0.2409353192543945,0.2409353192543945,0.2409353192543945,1
single_gate_angle_v4,mpo_zipup,ryy,1.9869176531592203,2,9,8,1,,1,0.24093531925438771,0.24093531925438771,0.24093531925438771,1
single_gate_angle_v4,mpo_zipup,ryy,2.9163962761324638,2,9,8,1,,1,0.24093531925439415,0.24093531925439415,0.24093531925439415,1
single_gate_angle_v4,mpo_zipup,ryy,3.141592653589793,2,9,8,1,,1,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,1
single_gate_angle_v4,mpo_zipup,ryy,4.280684318202959,2,9,8,1,,1,0.24093531925439216,0.24093531925439216,0.24093531925439216,1
single_gate_angle_v4,mpo_zipup,ryy,4.71238898038469,2,9,8,1,,1,0.24093531925439138,0.24093531925439138,0.24093531925439138,1
single_gate_angle_v4,mpo_zipup,ryy,6.283185307179586,2,9,8,1,,1,0.0,0.0,0.0,1
