task_id,seed,n_sub,infidelity_vs_exact,norm_drift,discarded_weight,final_bond_profile,final_max_bond,min_kept_singular,cap_reached,positive_weight_truncated,cap_truncation_occurred,distance_to_finest,adjacent_refinement_distance
ffcff5e0fa476def73f34b84,22,16,0.2650655958906888,-1.3322676295501878e-15,0.0016366722310831863,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.004916130065180497,True,True,True,0.013006748391199804,0.006636348015257595
dfef4cfd3941a01fadca124d,22,32,0.26727682832704647,-8.881784197001252e-16,0.0008184305772580395,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.004917301719735924,True,True,True,0.006372368638779996,0.0032962085587587217
01dd5e5ef3f082c3f96c7502,22,64,0.2683794360481614,-1.1102230246251565e-15,0.0004092658741694197,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.004917604084683205,True,True,True,0.00307639511374933,0.0016424437508976268
6c5f5f886292e4a7671ed43f,22,128,0.26892986409551844,-1.3322676295501878e-15,0.00020464893239781034,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0049177658694525795,True,True,True,0.0014339779562037964,0.0008197813898923519
656384b3e7e1ab3f0e0e2fff,22,256,0.26920484239845566,-1.887379141862766e-15,0.00010232888212907764,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0049178424921294175,True,True,True,0.0006141992289132937,0.00040952716221510514
22cc02ac5ff9c1c27ead4ca0,22,512,0.26934227044333314,-1.3322676295501878e-15,5.116559708936074e-05,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.00491788474516803,True,True,True,0.00020467225700772276,0.00020467225700772194
93952c75394d02f63e1e8f79,22,1024,0.2694109689121007,-1.1102230246251565e-15,2.5583094050216215e-05,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0049179070140558095,True,True,True,0.0,
3dfd854f23f187c915e5b95f,33,1,0.2077373944211538,4.440892098500626e-16,0.026880903342684486,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.01225310316995353,True,True,True,0.2602461164790823,0.15698031147724012
89a055e3a6880bd747435cc6,33,2,0.24235035428447527,6.661338147750939e-16,0.01748666587109848,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.006656736660780115,True,True,True,0.13482529649641675,0.08258804093582559
0c38a39fc459dacd0248c770,33,4,0.27232061545723596,8.881784197001252e-16,0.008909812425907394,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0029243301318323638,True,True,True,0.05582433719033199,0.029576216875358604
03ebcd5ad4789f2a7d831bd3,33,8,0.2846877034936559,4.440892098500626e-16,0.0044872537030844865,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.001807107901979908,True,True,True,0.026471467540971568,0.01364987805783118
ecfc756848f5abce170ba0dd,33,16,0.2905332347015751,6.661338147750939e-16,0.0022513078330141305,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0018452814599907482,True,True,True,0.012847035542021023,0.006594409223564759
501dc34deac4921094981d62,33,32,0.2933769676440232,4.440892098500626e-16,0.001127537401173154,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0018095441269725939,True,True,True,0.0062556378194186255,0.003244577374096411
da070feb9d62099127b4ed4f,33,64,0.2947794857837235,1.5543122344752192e-15,0.0005642361427306516,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0018097786054156455,True,True,True,0.0030114138952441224,0.0016096964379690435
66f29ebb32e989c15f811637,33,128,0.2954759526778685,4.440892098500626e-16,0.00028223458944708253,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.001806572806222175,True,True,True,0.0014017570864174142,0.0008017677261636056
7d3ba4ad910818ba49b663ef,33,256,0.2958229934459321,3.3306690738754696e-16,0.00014114638735838761,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.001806610947172674,True,True,True,0.0005999933095169153,0.000400122018259708
5f3d16f436d1c06097a79067,33,512,0.2959962163187012,6.661338147750939e-16,7.058046261550488e-05,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0018065404951164684,True,True,True,0.0001998715728626284,0.0001998715728626286
62b109442a85fb297d54ad06,33,1024,0.2960827534589907,0.0,3.529204803889078e-05,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.001806467202769783,True,True,True,0.0,
