task_id,family,gate,control,target,theta,x,seed,chi_max,method,n_sub,svd_threshold,infidelity_normalized,fidelity_normalized,norm_approx,norm_exact,norm_drift,discarded_weight,final_bond_profile,final_max_bond,final_param_count,min_kept_singular,cap_reached,positive_weight_truncated,cap_truncation_occurred,git_commit,git_dirty,git_diff_hash
e952deb507428b66c20a13ab,pauli,rxx,,,0.6283185307179586,0.1,11,8,tebd_swap,1,1e-13,0.02848544518607643,0.9715145548139236,0.9819505139840246,0.9999999999999994,-0.01804948601597489,0.03635160014778651,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.00406076177093858,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
3dfe74d9ceca3ef5ef733d21,pauli,rxx,,,1.5707963267948966,0.25,11,8,gate_local_2tdvp,1,1e-13,0.13361173742365273,0.8663882625763473,1.0,0.9999999999999994,5.551115123125783e-16,0.011552560103659253,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.003570115554085443,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
1acfed7f47471de6d66de1e2,pauli,rxx,,,1.5707963267948966,0.25,11,8,mpo_zipup,1,1e-13,0.04078906060756926,0.9592109393924307,0.9793931485325131,0.9999999999999994,-0.02060685146748631,0.041434030520397125,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.017764505168188942,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
f59d29dc46cc32fd01218eb5,pauli,rxx,,,1.5707963267948966,0.25,11,8,tebd_swap,1,1e-13,0.04608811469170171,0.9539118853082983,0.973644371459934,0.9999999999999994,-0.026355628540065457,0.053233170390336024,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.00406076177093858,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
ce12637906b9914a42c69f8f,pauli,rxx,,,0.0,0.0,11,16,gate_local_2tdvp,1,1e-13,0.0,1.0,0.9999999999999997,0.9999999999999993,3.3306690738754696e-16,1.514101646660061e-32,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.0014152132570470254,False,False,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
e1f4c5cdd463337da45ed2d5,pauli,rxx,,,0.0,0.0,11,16,mpo_zipup,1,1e-13,0.0,1.0,0.9999999999999999,0.9999999999999993,5.551115123125783e-16,6.300181768593453e-33,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.001415213257047054,False,False,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
86dc01cda0b892ce934cb045,pauli,rxx,,,0.0,0.0,11,16,tebd_swap,1,1e-13,0.0,1.0,1.0000000000000016,0.9999999999999993,2.220446049250313e-15,1.3837485184963834e-30,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.00015502728930315342,False,False,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
4f925345ebc270e1d093c183,pauli,rxx,,,0.0006283185307179586,0.0001,11,16,gate_local_2tdvp,1,1e-13,9.698697400750689e-11,0.999999999903013,0.9999999999999724,0.9999999999999994,-2.708944180085382e-14,5.567711299895232e-14,"[1, 2, 4, 8, 16, 16, 16, 16, 16, 8, 4, 2, 1]",16,2728,3.171720439886384e-07,True,True,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
0828337072823e00bf44adba,pauli,rxx,,,0.0006283185307179586,0.0001,11,16,mpo_zipup,1,1e-13,2.220446049250313e-16,0.9999999999999998,0.9999999999999997,0.9999999999999994,2.220446049250313e-16,1.911292871963718e-31,"[1, 2, 4, 8, 16, 16, 16, 16, 16, 8, 4, 2, 1]",16,2728,9.868326254153685e-07,True,False,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
42b8c213447875bcddb809bd,pauli,rxx,,,0.0006283185307179586,0.0001,11,16,tebd_swap,1,1e-13,0.0,1.0,1.0,0.9999999999999994,5.551115123125783e-16,6.819531606931875e-31,"[1, 2, 4, 8, 16, 16, 16, 16, 16, 8, 4, 2, 1]",16,2728,9.868326254118995e-07,True,False,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
