task_id,family,gate,control,target,theta,x,seed,chi_max,method,n_sub,svd_threshold,infidelity_normalized,fidelity_normalized,norm_approx,norm_exact,norm_drift,discarded_weight,final_bond_profile,final_max_bond,final_param_count,min_kept_singular,cap_reached,positive_weight_truncated,cap_truncation_occurred,git_commit,git_dirty,git_diff_hash,resolution_label
66b03ed9c9f6fb4b4df9485b,cnot_rank,cx,1,10,,,11,10,gate_local_2tdvp,1,1e-300,0.044470931221706755,0.9555290687782932,1.0000000000000007,0.9999999999999993,1.3322676295501878e-15,0.005138210501618098,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.0059149924754851434,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_1
2a52d739a5c27063c2ac8475,cnot_rank,cx,1,10,,,11,10,gate_local_2tdvp,16,1e-300,0.046831244527699156,0.9531687554723008,0.9999999999999998,0.9999999999999993,4.440892098500626e-16,0.0006684655722964701,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.0005444257444035018,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_16
b1cd54671ab465def1242176,cnot_rank,cx,1,10,,,11,10,gate_local_2tdvp,128,1e-300,0.04867169078764888,0.9513283092123511,0.9999999999999994,0.9999999999999993,1.1102230246251565e-16,8.783714887482064e-05,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,6.805888519819355e-05,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_128
7b87a02cb41f0b58176f24e6,cnot_rank,cx,1,10,,,11,10,gate_local_2tdvp,256,1e-300,0.04900824459611641,0.9509917554038836,1.0000000000000002,0.9999999999999993,8.881784197001252e-16,4.417179442059603e-05,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,3.402941558746916e-05,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,fine_resolution
8041d6fa00846d40d0cffbfa,cnot_rank,cx,1,10,,,22,10,mpo_zipup,1,1e-300,0.03276207952932897,0.967237920470671,0.9834825471103591,1.0000000000000013,-0.016517452889642237,0.03318295574850647,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.010969840218885382,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,direct
934425b441b97a3011afc509,cnot_rank,cx,1,10,,,22,10,tebd_swap,1,1e-300,0.2589988724935216,0.7410011275064784,0.839745973727279,1.0000000000000013,-0.16025402627272234,0.42406761420694083,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.020507605910711175,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,direct
4962b23dbc09303dc48943f2,cnot_rank,cx,1,10,,,22,10,gate_local_2tdvp,1,1e-300,0.06753937164098855,0.9324606283590114,0.9999999999999993,1.0000000000000013,-1.9984014443252818e-15,0.012006393028159456,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.01239322659185812,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_1
e034a00e70c366bc3f4c2cd8,cnot_rank,cx,1,10,,,22,10,gate_local_2tdvp,16,1e-300,0.07795310103989472,0.9220468989601053,1.0000000000000007,1.0000000000000013,-6.661338147750939e-16,0.0014035901720897412,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.0008625833470771157,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_16
6a20e5245bd461cb72a4701d,cnot_rank,cx,1,10,,,22,10,gate_local_2tdvp,128,1e-300,0.0795453495748476,0.9204546504251524,1.0,1.0000000000000013,-1.3322676295501878e-15,0.0001828192962925348,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.00010729319496344158,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_128
899abeb1f92013cc6385d727,cnot_rank,cx,1,10,,,22,10,gate_local_2tdvp,256,1e-300,0.07967004812675937,0.9203299518732406,0.9999999999999997,1.0000000000000013,-1.6653345369377348e-15,9.169125880642315e-05,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,5.362633159340345e-05,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,fine_resolution
eff488c5ada56b4fb8075a11,cnot_rank,cx,1,10,,,33,10,mpo_zipup,1,1e-300,0.04292175268039322,0.9570782473196068,0.9783037602501619,0.9999999999999996,-0.021696239749837698,0.04363167425427372,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.04193792905117293,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,direct
