gate,method,chi_max,n_sub,x,theta,n_states,infidelity_min,infidelity_median,infidelity_max,is_identity_angle,seeds
rzz,gate_local_2tdvp,8,1,0.000316227766,0.001986917653053424,3,6.998678987457652e-07,7.975764317880163e-07,9.26543079815545e-07,False,"[11, 22, 33]"
rzz,gate_local_2tdvp,8,1,0.001,0.006283185307179587,3,6.998830505033915e-06,7.973455683263353e-06,9.265625265819644e-06,False,"[11, 22, 33]"
rzz,gate_local_2tdvp,8,1,0.00316227766,0.019869176530534244,3,6.999083679404272e-05,7.965764995532254e-05,9.265969839977739e-05,False,"[11, 22, 33]"
rzz,gate_local_2tdvp,8,1,0.01,0.06283185307179587,3,0.000699762636761192,0.000793744415589992,0.0009264371161020746,False,"[11, 22, 33]"
rzz,gate_local_2tdvp,8,1,0.1,0.6283185307179586,3,0.06073310406506538,0.06831426285794262,0.08684233052329615,False,"[11, 22, 33]"
rzz,gate_local_2tdvp,8,1,0.25,1.5707963267948966,3,0.18051761144062328,0.23106183312316675,0.23721971797624264,False,"[11, 22, 33]"
rzz,mpo_zipup,8,1,0.0,0.0,3,0.0,0.0,2.220446049250313e-16,True,"[11, 22, 33]"
rzz,mpo_zipup,8,1,0.0001,0.0006283185307179586,3,6.998779222833207e-08,7.976488758387745e-08,9.265383571488428e-08,False,"[11, 22, 33]"
rzz,mpo_zipup,8,1,0.000316227766,0.001986917653053424,3,7.000238774201861e-07,7.975830400575035e-07,9.265658000856547e-07,False,"[11, 22, 33]"
rzz,mpo_zipup,8,1,0.001,0.006283185307179587,3,7.014954234052517e-06,7.974116643438833e-06,9.26788747745988e-06,False,"[11, 22, 33]"
rzz,mpo_zipup,8,1,0.00316227766,0.019869176530534244,3,7.21644098287122e-05,7.972431480329778e-05,9.288816061059357e-05,False,"[11, 22, 33]"
rzz,mpo_zipup,8,1,0.01,0.06283185307179587,3,0.0007891502013962493,0.0008011505780251005,0.0009845887697119693,False,"[11, 22, 33]"
rzz,mpo_zipup,8,1,0.1,0.6283185307179586,3,0.02998189210842095,0.051154668256267466,0.052823108615628556,False,"[11, 22, 33]"
rzz,mpo_zipup,8,1,0.25,1.5707963267948966,3,0.05281537454231433,0.10420833126831774,0.11449096639838618,False,"[11, 22, 33]"
rzz,tebd_swap,8,1,0.0,0.0,3,0.01647655250273572,0.05981319124312212,0.06972273567495968,True,"[11, 22, 33]"
rzz,tebd_swap,8,1,0.0001,0.0006283185307179586,3,0.016476716684997283,0.05981377262552234,0.06972247504561846,False,"[11, 22, 33]"
rzz,tebd_swap,8,1,0.000316227766,0.001986917653053424,3,0.016477542354797703,0.05981565873499284,0.06972252881147134,False,"[11, 22, 33]"
rzz,tebd_swap,8,1,0.001,0.006283185307179587,3,0.01648441235963205,0.0598272296204142,0.0697281484885851,False,"[11, 22, 33]"
rzz,tebd_swap,8,1,0.00316227766,0.019869176530534244,3,0.016549238869869032,0.059917312014097335,0.06980564822627877,False,"[11, 22, 33]"
rzz,tebd_swap,8,1,0.01,0.06283185307179587,3,0.01715003942418558,0.06061675803955713,0.07082813984910952,False,"[11, 22, 33]"
rzz,tebd_swap,8,1,0.1,0.6283185307179586,3,0.03635610571371051,0.08942907341094841,0.09429434343141196,False,"[11, 22, 33]"
rzz,tebd_swap,8,1,0.25,1.5707963267948966,3,0.05739883760111897,0.12418840298424794,0.1336836748254533,False,"[11, 22, 33]"
