case_id,family,method,tdvp_chi,tdvp_error,tebd_recovery_chi,recovery_chi_ratio,recovery_status,tdvp_time,tebd_recovery_time,time_ratio
sparse_long_range_n10_d4_s0_small,sparse_long_range,hybrid_tdvp_unpadded,32,6.636131852526874e-05,32.0,1.0,recovered,0.03818346200569067,0.022605065008974634,0.5920119292903742
sparse_long_range_n10_d4_s0_small,sparse_long_range,hybrid_tdvp_padded4,32,0.00044660444658309713,32.0,1.0,recovered,0.03367769000760745,0.022605065008974634,0.6712178003856077
sparse_long_range_n10_d4_s1_small,sparse_long_range,hybrid_tdvp_unpadded,16,0.00045105576815688246,32.0,2.0,recovered,0.039855385999544524,0.02354670100612566,0.5908034865449492
sparse_long_range_n10_d4_s1_small,sparse_long_range,hybrid_tdvp_padded4,16,0.0004518916902841611,32.0,2.0,recovered,0.03507904899015557,0.02354670100612566,0.6712468463079971
sparse_long_range_n10_d4_s1_small,sparse_long_range,hybrid_tdvp_unpadded,32,0.00045105576815688246,32.0,1.0,recovered,0.034203599992906675,0.02354670100612566,0.6884275635023477
sparse_long_range_n10_d4_s1_small,sparse_long_range,hybrid_tdvp_padded4,32,0.0004518916902841611,32.0,1.0,recovered,0.05656312499195337,0.02354670100612566,0.41629066656899516
periodic_1d_n8_d4_s0_small,periodic_1d,hybrid_tdvp_unpadded,16,0.006388952049136069,8.0,0.5,recovered,0.024995318002765998,0.011173987004440278,0.44704320237909184
periodic_1d_n8_d4_s0_small,periodic_1d,hybrid_tdvp_padded4,16,1.4156463570629261e-12,8.0,0.5,recovered,0.020081202004803345,0.011173987004440278,0.5564401474457308
periodic_1d_n8_d4_s0_small,periodic_1d,hybrid_tdvp_unpadded,24,0.006388952049136069,8.0,0.3333333333333333,recovered,0.01678649999666959,0.011173987004440278,0.6656531740778111
periodic_1d_n8_d4_s0_small,periodic_1d,hybrid_tdvp_padded4,24,1.4156463570629261e-12,8.0,0.3333333333333333,recovered,0.021293639001669362,0.011173987004440278,0.5247570414603285
periodic_1d_n8_d4_s0_small,periodic_1d,hybrid_tdvp_unpadded,32,0.006388952049136069,8.0,0.25,recovered,0.016820054006529972,0.011173987004440278,0.6643252750616765
periodic_1d_n8_d4_s0_small,periodic_1d,hybrid_tdvp_padded4,32,1.4156463570629261e-12,8.0,0.25,recovered,0.02081768999050837,0.011173987004440278,0.5367544146125219
periodic_1d_n8_d4_s0_medium,periodic_1d,hybrid_tdvp_unpadded,16,0.03997476560198393,8.0,0.5,recovered,0.016735640005208552,0.014313722000224516,0.8552838132135805
periodic_1d_n8_d4_s0_medium,periodic_1d,hybrid_tdvp_padded4,16,1.1140138600782396e-15,nan,,not_recovered,0.021414575006929226,nan,
periodic_1d_n8_d4_s0_medium,periodic_1d,hybrid_tdvp_unpadded,24,0.03997476560198393,8.0,0.3333333333333333,recovered,0.016738997990614735,0.014313722000224516,0.8551122360042083
periodic_1d_n8_d4_s0_medium,periodic_1d,hybrid_tdvp_padded4,24,1.1140138600782396e-15,nan,,not_recovered,0.02131181200093124,nan,
