case_id,family,n_qubits,depth_or_cycles,seed,angle_regime,chi_max,tdvp_variant,tebd_error,tdvp_error,tdvp_error_over_tebd_error,tdvp_infidelity_over_tebd_infidelity,tdvp_time_over_tebd_time,tdvp_peak_chi_over_tebd_peak_chi,outcome
sparse_long_range_n8_d2_s0_small,sparse_long_range,8,2,0,small,32,unpadded,3.711213983451393e-09,0.00011286410635443158,30411.640734730434,88641880.28850283,1.8681308746057064,0.75,tebd_win
sparse_long_range_n8_d2_s0_small,sparse_long_range,8,2,0,small,32,padded4,3.711213983451393e-09,0.0001145479998020164,30865.371900622093,88639190.35655941,1.9244385903499397,0.75,tebd_win
sparse_long_range_n8_d2_s1_small,sparse_long_range,8,2,1,small,8,unpadded,2.4272228905943157e-09,9.838317087618784e-06,4053.322472255455,798176.9746386256,1.7824518309072914,0.7142857142857143,both_good
sparse_long_range_n8_d2_s1_small,sparse_long_range,8,2,1,small,8,padded4,2.4272228905943157e-09,0.00012477432197689078,51406.206846681176,12362472.901386255,1.8874670656035728,1.0,tebd_win
sparse_long_range_n8_d2_s1_small,sparse_long_range,8,2,1,small,16,unpadded,2.4272228905943157e-09,9.838317087618784e-06,4053.322472255455,798176.9746386256,1.80662771527843,0.7142857142857143,both_good
sparse_long_range_n8_d2_s1_small,sparse_long_range,8,2,1,small,16,padded4,2.4272228905943157e-09,0.00012477432197689078,51406.206846681176,12362472.901386255,1.9069712389949904,1.0,tebd_win
sparse_long_range_n8_d2_s1_small,sparse_long_range,8,2,1,small,32,unpadded,2.4272228905943157e-09,9.838317087618784e-06,4053.322472255455,798176.9746386256,1.8112531290106515,0.7142857142857143,both_good
sparse_long_range_n8_d2_s1_small,sparse_long_range,8,2,1,small,32,padded4,2.4272228905943157e-09,0.00012477432197689078,51406.206846681176,12362472.901386255,3.393608491909013,1.0,tebd_win
sparse_long_range_n8_d4_s0_small,sparse_long_range,8,4,0,small,8,unpadded,0.004066367822060834,0.00013374780797859235,0.032891222297447995,0.03637725770386754,2.5985760940562863,1.0,tdvp_win
sparse_long_range_n8_d4_s0_small,sparse_long_range,8,4,0,small,8,padded4,0.004066367822060834,0.00015434069378074386,0.03795541882448894,0.06846918345777428,1.8211856820691934,1.0,tdvp_win
sparse_long_range_n8_d4_s0_small,sparse_long_range,8,4,0,small,16,unpadded,1.890908375203531e-08,0.0001307678698099293,6915.611117109463,221857203.92960778,1.806819064245977,0.8125,tebd_win
sparse_long_range_n8_d4_s0_small,sparse_long_range,8,4,0,small,16,padded4,1.890908375203531e-08,0.00013005365674189108,6877.840219407381,175320141.86877126,1.8274095880540935,0.8125,tebd_win
sparse_long_range_n8_d4_s0_small,sparse_long_range,8,4,0,small,32,unpadded,1.890908375203531e-08,0.0001307678698099293,6915.611117109463,221857203.92960778,1.794415299177137,0.8125,tebd_win
