case_id,family,n_qubits,depth_or_cycles,seed,angle_regime,chi_max,tdvp_variant,tebd_error,tdvp_error,tdvp_error_over_tebd_error,tdvp_infidelity_over_tebd_infidelity,tdvp_time_over_tebd_time,tdvp_peak_chi_over_tebd_peak_chi,outcome,tebd_accuracy_limited,tebd_bond_limited,tebd_hit_chi_max,tdvp_hit_chi_max
sparse_long_range_n12_d4_s0_medium,sparse_long_range,12,4,0,medium,48,padded4,0.00014635864690504922,0.001369786495325282,9.359108766658228,20.060163483032678,0.743153402940912,0.6666666666666666,tebd_win,True,True,True,False
sparse_long_range_n12_d4_s1_small,sparse_long_range,12,4,1,small,8,unpadded,0.009945819567923413,0.0006211551968616815,0.062453897601861735,0.03136623581635224,1.8751201611108284,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s1_small,sparse_long_range,12,4,1,small,8,padded4,0.009945819567923413,0.0006082721660178966,0.061158576411305,0.03878229204122677,1.8389754561023612,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s1_small,sparse_long_range,12,4,1,small,16,unpadded,0.006763080964696582,0.0004224877890719736,0.062469722198709186,0.05306326891138822,1.6710121515285647,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s1_small,sparse_long_range,12,4,1,small,16,padded4,0.006763080964696582,0.0003893173424594027,0.05756508675434274,0.059711816508303116,1.6214581202896863,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s1_small,sparse_long_range,12,4,1,small,24,unpadded,0.0031086194980360867,0.0003219759540262926,0.10357522180817091,0.13901920119252112,1.5859828378180034,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s1_small,sparse_long_range,12,4,1,small,24,padded4,0.0031086194980360867,0.0002511277093774753,0.08078431906385734,0.15489829054770146,2.3190458795944306,0.9166666666666666,tdvp_win,True,True,True,False
sparse_long_range_n12_d4_s1_medium,sparse_long_range,12,4,1,medium,8,unpadded,0.01760421111256709,0.0023407202165386803,0.13296365293345716,0.20927307380870488,2.675000463856939,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s1_medium,sparse_long_range,12,4,1,medium,8,padded4,0.01760421111256709,0.0026318209869466993,0.14949951293573874,0.17936845331591997,1.9225582743951957,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s1_medium,sparse_long_range,12,4,1,medium,16,unpadded,0.0017723882377943523,0.0019530089051897894,1.1019080715747755,1.849637134944009,1.8145466215267199,1.0,similar,True,True,True,True
