case_id,family,chi_max,unpadded_error,padded4_error,error_ratio,classification
periodic_1d_n16_d8_s1_small,periodic_1d,16,0.011022948941321277,1.1045102347704947e-12,1.0020097531524095e-10,padding_required
periodic_1d_n16_d8_s1_small,periodic_1d,24,0.011022948941321277,1.1045102347704947e-12,1.0020097531524095e-10,padding_required
periodic_1d_n16_d8_s1_small,periodic_1d,32,0.011022948941321277,1.1045102347704947e-12,1.0020097531524095e-10,padding_required
periodic_1d_n16_d8_s1_small,periodic_1d,48,0.011022948941321277,1.1045102347704947e-12,1.0020097531524095e-10,padding_required
periodic_1d_n16_d8_s1_small,periodic_1d,64,0.011022948941321277,1.1045102347704947e-12,1.0020097531524095e-10,padding_required
periodic_1d_n16_d8_s1_medium,periodic_1d,8,0.0009157596682421369,5.8829033001659e-14,6.424069004325702e-11,padding_required
periodic_1d_n16_d8_s1_medium,periodic_1d,16,0.0009157596682421369,5.8829033001659e-14,6.424069004325702e-11,padding_required
periodic_1d_n16_d8_s1_medium,periodic_1d,24,0.0009157596682421369,5.8829033001659e-14,6.424069004325702e-11,padding_required
periodic_1d_n16_d8_s1_medium,periodic_1d,32,0.0009157596682421369,5.8829033001659e-14,6.424069004325702e-11,padding_required
periodic_1d_n16_d8_s1_medium,periodic_1d,48,0.0009157596682421369,5.8829033001659e-14,6.424069004325702e-11,padding_required
periodic_1d_n16_d8_s1_medium,periodic_1d,64,0.0009157596682421369,5.8829033001659e-14,6.424069004325702e-11,padding_required
periodic_1d_n16_d8_s2_small,periodic_1d,8,0.014961721595679107,6.036260417681816e-13,4.034469147872038e-11,padding_required
periodic_1d_n16_d8_s2_small,periodic_1d,16,0.014961721595679107,6.036260417681816e-13,4.034469147872038e-11,padding_required
periodic_1d_n16_d8_s2_small,periodic_1d,24,0.014961721595679107,6.036260417681816e-13,4.034469147872038e-11,padding_required
periodic_1d_n16_d8_s2_small,periodic_1d,32,0.014961721595679107,6.036260417681816e-13,4.034469147872038e-11,padding_required
periodic_1d_n16_d8_s2_small,periodic_1d,48,0.014961721595679107,6.036260417681816e-13,4.034469147872038e-11,padding_required
