case_id,family,method,chi_max,J_over_pi,seed,lattice_shape,depth_or_cycles,patch_shape,patch_sites,ipr2_z,s2_z,ipr2_z_error,s2_z_error,reference_type,mean_abs_z_parity_error,max_abs_z_parity_error,num_z_parity_terms
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,tebd_swap,16,0.005,1,3x4,2,2x2,"[4, 5, 10, 11]",0.9739138422017698,0.026432436950603187,0.0005848276558548804,0.0006003119665863969,exact_statevector,0.0027898509239151796,0.0049675858547924,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,tebd_swap,16,0.005,1,3x4,2,1x2,"[5, 4]",0.9791447207552909,0.02107582229466427,0.00043786291376191055,0.00044708920947446676,exact_statevector,0.0027898509239151796,0.0049675858547924,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_unpadded,16,0.005,1,3x4,2,1x1,[5],0.9827300653290959,0.01742079946580972,0.0007767776988448771,0.0007901161207524397,exact_statevector,0.001802060710172279,0.0034639137392671326,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_unpadded,16,0.005,1,3x4,2,2x2,"[4, 5, 10, 11]",0.977275388047762,0.022986795574881206,0.0027767181901373617,0.0028453294091355837,exact_statevector,0.001802060710172279,0.0034639137392671326,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_unpadded,16,0.005,1,3x4,2,1x2,"[5, 4]",0.9825217325556114,0.017632815833879368,0.0029391488865585513,0.002995917251310435,exact_statevector,0.001802060710172279,0.0034639137392671326,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_padded4,16,0.005,1,3x4,2,1x1,[5],0.9827300653290959,0.01742079946580972,0.0007767776988448771,0.0007901161207524397,exact_statevector,0.001802060710172279,0.0034639137392671326,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_padded4,16,0.005,1,3x4,2,2x2,"[4, 5, 10, 11]",0.977275388047762,0.022986795574881206,0.0027767181901373617,0.0028453294091355837,exact_statevector,0.001802060710172279,0.0034639137392671326,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_padded4,16,0.005,1,3x4,2,1x2,"[5, 4]",0.9825217325556114,0.017632815833879368,0.0029391488865585513,0.002995917251310435,exact_statevector,0.001802060710172279,0.0034639137392671326,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,tebd_swap,32,0.005,1,3x4,2,1x1,[5],0.9834945108868955,0.016643222371551445,1.2332141045234835e-05,1.2539026494163413e-05,exact_statevector,5.851532972768091e-06,1.4096144327790938e-05,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,tebd_swap,32,0.005,1,3x4,2,2x2,"[4, 5, 10, 11]",0.9744911820756802,0.02583980874074553,7.487781944481853e-06,7.683756728740082e-06,exact_statevector,5.851532972768091e-06,1.4096144327790938e-05,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,tebd_swap,32,0.005,1,3x4,2,1x2,"[5, 4]",0.9795751393625669,0.020636332582053617,7.44430648591532e-06,7.5994968638144755e-06,exact_statevector,5.851532972768091e-06,1.4096144327790938e-05,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_unpadded,32,0.005,1,3x4,2,1x1,[5],0.9832338451359306,0.016908297872896615,0.000272997892010185,0.0002776145278393337,exact_statevector,0.001783261234570707,0.0038057765312721203,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_unpadded,32,0.005,1,3x4,2,2x2,"[4, 5, 10, 11]",0.977821231208508,0.02242841583082966,0.0033225613508832685,0.003403709153187131,exact_statevector,0.001783261234570707,0.0038057765312721203,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_unpadded,32,0.005,1,3x4,2,1x2,"[5, 4]",0.9830709902271062,0.017073943510610465,0.0034884065580533807,0.003554789574579338,exact_statevector,0.001783261234570707,0.0038057765312721203,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_padded4,32,0.005,1,3x4,2,1x1,[5],0.9832338451359306,0.016908297872896615,0.000272997892010185,0.0002776145278393337,exact_statevector,0.001783261234570707,0.0038057765312721203,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_padded4,32,0.005,1,3x4,2,2x2,"[4, 5, 10, 11]",0.977821231208508,0.02242841583082966,0.0033225613508832685,0.003403709153187131,exact_statevector,0.001783261234570707,0.0038057765312721203,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_padded4,32,0.005,1,3x4,2,1x2,"[5, 4]",0.9830709902271062,0.017073943510610465,0.0034884065580533807,0.003554789574579338,exact_statevector,0.001783261234570707,0.0038057765312721203,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,tebd_swap,64,0.005,1,3x4,2,1x1,[5],0.9835066454967163,0.016630884188849802,1.9753122448840088e-07,2.0084379252077733e-07,exact_statevector,9.998606831878637e-08,2.007298866013585e-07,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,tebd_swap,64,0.005,1,3x4,2,2x2,"[4, 5, 10, 11]",0.9744984734083816,0.02583232657409482,1.9644924309503153e-07,2.0159007802986184e-07,exact_statevector,9.998606831878637e-08,2.007298866013585e-07,22
