model,method,chi_max,trotter_step,time,infidelity,fidelity,state_norm,norm_drift,phase_aligned_distance,current_max_bond,peak_max_bond,param_count,memory_bytes,peak_param_count,peak_memory_bytes,step_runtime_s,cumulative_runtime_s,discarded_weight_step,compression_residual_step,tdvp_substeps,variational_init,variational_converged,variational_sweeps,failed,failure_message
ising,mpo_zipup,16,8,0.8,0.0021059527270803624,0.9978940472729196,0.9997222997847475,0.00027770021525252986,0.045902752154291605,16,16,4776,76416,4776,76416,0.11243302334332839,0.9438758944161236,0.0004601544609336718,0.0,2,,,,0,
ising,mpo_zipup,16,9,0.9,0.004525939325627948,0.995474060674372,0.9994280047324067,0.0005719952675933282,0.06731323776901597,16,16,4776,76416,4776,76416,0.11147666716715321,1.0553525615832768,0.0010985080598558603,0.0,2,,,,0,
ising,mpo_zipup,16,10,1.0,0.008882836578940512,0.9911171634210595,0.9988830709396112,0.0011169290603888493,0.09435385989508968,16,16,4776,76416,4776,76416,0.11225561023456976,1.1676081718178466,0.0021177047468833084,0.0,2,,,,0,
ising,mpo_zipup,16,11,1.1,0.015498485445085253,0.9845015145549147,0.9980609181271596,0.0019390818728404202,0.12473574512902184,16,16,4776,76416,4776,76416,0.11354975664289668,1.2811579284607433,0.003073799852861906,0.0,2,,,,0,
ising,hybrid_tdvp,24,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,hybrid_tdvp,24,1,0.1,1.950831794639285e-05,0.9999804916820536,1.0000000000000253,2.531308496145357e-14,0.0044168329253232285,7,7,264,4224,264,4224,0.19651021697791293,0.19651021697791293,1.7264563646089748e-18,0.0,2,,,,0,
ising,hybrid_tdvp,24,2,0.2,0.0002951599765399493,0.99970484002346,0.9999999999992146,7.853717676198357e-13,0.01718085444940196,13,13,1488,23808,1488,23808,0.4426089152111672,0.6391191321890801,1.6495566627329093e-12,0.0,2,,,,0,
ising,hybrid_tdvp,24,3,0.30000000000000004,0.0004473730287378741,0.9995526269712621,1.0000000011899002,1.1899001783888252e-09,0.021152377539916386,21,24,6514,104224,7704,123264,0.6004902198328637,1.2396093520219438,1.1681264442991788e-10,0.0,2,,,,0,
ising,hybrid_tdvp,24,4,0.4,0.00044618488842307347,0.9995538151115769,0.9999999986909094,1.309090613688113e-09,0.02112426731909642,24,24,9128,146048,9128,146048,1.1965124829439446,2.4361218349658884,1.0893079964156044e-06,0.0,2,,,,0,
ising,hybrid_tdvp,24,5,0.5,0.000462872736287423,0.9995371272637126,0.9999999938690108,6.130989160801903e-09,0.021515722425246193,24,24,9128,146048,9128,146048,1.472799111099448,3.9089209460653365,9.304507385349945e-05,0.0,2,,,,0,
ising,hybrid_tdvp,24,6,0.6000000000000001,0.0005149581930652403,0.9994850418069348,0.9999999651771951,3.482280486188927e-08,0.022694151352830046,24,24,9128,146048,9128,146048,1.3095374271506444,5.218458373215981,0.00011933780512220026,0.0,2,,,,0,
ising,hybrid_tdvp,24,7,0.7000000000000001,0.0006946609187828967,0.9993053390812171,0.9999998221969402,1.778030598309499e-07,0.02635871011923353,24,24,9128,146048,9128,146048,1.4568240459775552,6.675282419193536,0.00017952385678609816,0.0,2,,,,0,
ising,hybrid_tdvp,24,8,0.8,0.001124075005545122,0.9988759249944549,0.9999999999999994,5.551115123125783e-16,0.03353194103186045,24,24,9128,146048,9128,146048,1.2046787879080512,7.879961207101587,0.0003054175863949284,0.0,2,,,,0,
ising,hybrid_tdvp,24,9,0.9,0.001922948356852805,0.9980770516431472,1.0000000000000002,2.220446049250313e-16,0.04386198444366344,24,24,9128,146048,9128,146048,1.4580763364792801,9.338037543580867,0.000541664187746037,0.0,2,,,,0,
ising,hybrid_tdvp,24,10,1.0,0.0033701100270688844,0.9966298899729311,0.9999999999999991,8.881784197001252e-16,0.05807714035775525,24,24,9128,146048,9128,146048,2.9585447779973038,12.296582321578171,0.0009791689407599247,0.0,2,,,,0,
ising,hybrid_tdvp,24,11,1.1,0.006256332620501959,0.993743667379498,1.0000000000000009,8.881784197001252e-16,0.07915900944063012,24,24,9128,146048,9128,146048,2.6613264291081578,14.957908750686329,0.0019884757509662926,0.0,2,,,,0,
ising,hybrid_tdvp,24,12,1.2000000000000002,0.012340184136291232,0.9876598158637088,0.9999999999999993,6.661338147750939e-16,0.11125866660851393,24,24,9128,146048,9128,146048,1.7930115640047006,16.75092031469103,0.003258022034684777,0.0,2,,,,0,
ising,tebd_swap,24,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,tebd_swap,24,1,0.1,-9.325873406851315e-15,1.0000000000000093,1.000000000000001,1.1102230246251565e-15,1.0321174407473645e-14,16,16,4776,76416,4776,76416,0.053276463760994375,0.053276463760994375,3.435604010133862e-30,0.0,2,,,,0,
ising,tebd_swap,24,2,0.2,0.0017351247017698412,0.9982648752982302,0.9988522466456079,0.0011477533543921004,0.04166386947821728,24,24,9128,146048,9128,146048,0.08193247101735324,0.1352089347783476,0.0076003411488948245,0.0,2,,,,0,
ising,tebd_swap,24,3,0.30000000000000004,0.03030289372246897,0.969697106277531,0.9829336601330108,0.017066339866989244,0.17474554538661427,24,24,9128,146048,9128,146048,0.09710802818881348,0.2323169629671611,0.18615301929495068,0.0,2,,,,0,
ising,mpo_zipup,24,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,mpo_zipup,24,1,0.1,-1.7763568394002505e-15,1.0000000000000018,0.9999999999999998,2.220446049250313e-16,4.5872861104482045e-08,11,14,2396,38336,2396,38336,0.0801337460288778,0.0801337460288778,2.104320561700768e-15,0.0,2,,,,0,
ising,mpo_zipup,24,2,0.2,3.433031636745909e-12,0.999999999996567,0.9999999999991346,8.654188476953095e-13,1.8521913196014798e-06,19,22,5704,91264,5704,91264,0.10284226987278089,0.18297601590165868,1.7325077480309725e-12,0.0,2,,,,0,
ising,mpo_zipup,24,3,0.30000000000000004,3.202071274799323e-09,0.9999999967979287,0.9999999983209196,1.6790804302502238e-09,5.658684821490459e-05,24,24,9048,144768,9048,144768,0.23417587100993842,0.4171518869115971,1.029917531982862e-07,0.0,2,,,,0,
ising,mpo_zipup,24,4,0.4,1.4489277374574172e-06,0.9999985510722625,0.9999993787161312,6.212838687957856e-07,0.0012037143605909816,24,24,9128,146048,9128,146048,0.786365492909681,1.2035173798212782,6.164796471002511e-06,0.0,2,,,,0,
ising,mpo_zipup,24,5,0.5,1.5287102553385168e-05,0.9999847128974466,0.9999960885380349,3.9114619651003935e-06,0.0039098799185953775,24,24,9128,146048,9128,146048,1.5016163169057108,2.705133696726989,1.621151694167095e-05,0.0,2,,,,0,
