p,S_V,w,F_av
0.35999999999999999,0.92190273266378142,-0.15333333333333354,0.82000000000000017
0.37,0.9089587423689649,-0.14833333333333321,0.81499999999999984
0.38,0.89578148716290062,-0.14333333333333353,0.81000000000000016
0.39000000000000001,0.88237182429107741,-0.1383333333333332,0.80499999999999983
0.40000000000000002,0.86873092991857315,-0.1333333333333333,0.79999999999999993
0.41000000000000003,0.85486031560726039,-0.1283333333333333,0.79499999999999993
0.41999999999999998,0.84076184510799912,-0.12333333333333341,0.79000000000000004
0.42999999999999999,0.82643775144371046,-0.1183333333333334,0.78500000000000003
0.44,0.81189065425695606,-0.11333333333333351,0.78000000000000014
0.45000000000000001,0.79712357739337247,-0.10833333333333339,0.77500000000000002
0.46000000000000002,0.78213996669014585,-0.10333333333333339,0.77000000000000002
0.47000000000000003,0.76694370793661437,-0.098333333333333384,0.76500000000000001
0.47999999999999998,0.75153914497214869,-0.093333333333333268,0.7599999999999999
0.48999999999999999,0.73593109788469069,-0.088333333333333375,0.755
0.5,0.72012488127180996,-0.08333333333333337,0.75
0.51000000000000001,0.70412632252487339,-0.078333333333333366,0.745
0.52000000000000002,0.68794178009603779,-0.073333333333333472,0.7400000000000001
0.53000000000000003,0.67157816170726869,-0.068333333333333357,0.73499999999999999
0.54000000000000004,0.65504294246060135,-0.063333333333333353,0.72999999999999998
0.55000000000000004,0.63834418280941307,-0.058333333333333348,0.72499999999999998
0.56000000000000005,0.62149054635172962,-0.053333333333333233,0.71999999999999986
0.57000000000000006,0.60449131740858009,-0.048333333333333339,0.71499999999999997
0.57999999999999996,0.58735641835333108,-0.043333333333333335,0.70999999999999996
0.58999999999999997,0.57009642666185001,-0.038333333333333441,0.70500000000000007
0.59999999999999998,0.55272259165846926,-0.033333333333333437,0.70000000000000007
0.60999999999999999,0.53524685093918922,-0.028333333333333544,0.69500000000000017
0.62,0.51768184646160531,-0.023333333333333317,0.68999999999999995
0.63,0.50004094030088331,-0.018333333333333424,0.68500000000000005
0.64000000000000001,0.48233823008304144,-0.013333333333333197,0.67999999999999983
0.65000000000000002,0.46458856412114946,-0.0083333333333333037,0.67499999999999993
0.66000000000000003,0.44680755629721314,-0.0033333333333332993,0.66999999999999993
0.66666666666666663,0.43494420225825942,-2.2204460492503131e-16,0.66666666666666685
0.68000000000000005,0.41121788647735824,0.0066666666666665986,0.66000000000000003
0.69000000000000006,0.39344441190669815,0.011666666666666492,0.65500000000000014
0.70000000000000007,0.37570999968949098,0.016666666666666718,0.64999999999999991
0.70999999999999996,0.35803431180710893,0.021666666666666612,0.64500000000000002
0.71999999999999997,0.34043786529222658,0.026666666666666616,0.64000000000000001
0.72999999999999998,0.32294204884523858,0.031666666666666732,0.6349999999999999
0.73999999999999999,0.30556914072044061,0.036666666666666625,0.63
0.75,0.2883423283404285,0.04166666666666663,0.625
0.76000000000000001,0.27128573020324609,0.046666666666666634,0.62
0.77000000000000002,0.254424420777698,0.051666666666666528,0.6150000000000001
0.78000000000000003,0.23778445924515579,0.056666666666666643,0.60999999999999999
0.79000000000000004,0.22139292315101911,0.061666666666666647,0.60499999999999998
0.80000000000000004,0.2052779482892933,0.066666666666666652,0.59999999999999998
0.81000000000000005,0.18946877647848551,0.071666666666666767,0.59499999999999986
0.82000000000000006,0.17399581332299935,0.076666666666666661,0.58999999999999997
0.83000000000000007,0.15889069862994223,0.081666666666666665,0.58499999999999996
0.83999999999999997,0.14418639292316973,0.086666666666666559,0.58000000000000007
0.84999999999999998,0.12991728454841106,0.091666666666666563,0.57500000000000007
0.85999999999999999,0.11611932332338365,0.096666666666666456,0.57000000000000017
0.87,0.1028301887541707,0.10166666666666668,0.56499999999999995
0.88,0.090089503832708848,0.10666666666666658,0.56000000000000005
0.89000000000000001,0.0779391098758698,0.1116666666666668,0.55499999999999983
0.90000000000000002,0.066423424661645122,0.1166666666666667,0.54999999999999993
0.91000000000000003,0.055589916855332391,0.1216666666666667,0.54499999999999993
0.92000000000000004,0.045489747360125857,0.12666666666666659,0.54000000000000004
0.93000000000000005,0.036178658589061233,0.1316666666666666,0.53500000000000003
0.94000000000000006,0.027718247945241234,0.13666666666666649,0.53000000000000014
0.95000000000000007,0.020177869813988836,0.14166666666666672,0.52499999999999991
0.95999999999999996,0.013637641393097082,0.14666666666666661,0.52000000000000002
0.96999999999999997,0.0081935859261985117,0.15166666666666662,0.51500000000000001
0.97999999999999998,0.0039675562866305922,0.15666666666666673,0.5099999999999999
0.98999999999999999,0.0011307871871792932,0.16166666666666663,0.505
1,0,0.16666666666666663,0.5
