J,entropy_mean,entropy_std,modes_mean,modes_std,entropy_old_raw_xyz_mean,modes_old_raw_xyz_mean,entropy_old_centered_xyz_mean,modes_old_centered_xyz_mean,resolved_rank_mean,resolved_rank_std,rank_tol,spectrum_discarded_weight_threshold,cut,m_spectrum,basis,orientation,weight_scope,centered,probability_power,raw_file,raw_sha256
1.8,1.0800518011399185e-05,0.0,1.0000108005763373,0.0,2.5321346676573164e-05,1.0000253216672645,9.487865386814632e-05,1.00009488315499,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p8.npz,af3bd249461c64225990c00fd5a386a458585a4be577a548b52d2a9ed2fe2d2e
1.85,8.265086595145979e-06,0.0,1.0000082651207511,0.0,1.8794626878514776e-05,1.0000187948034986,5.275820901176597e-05,1.0000527596007505,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p85.npz,c029f2af5911b32b8fbd5249a311b3078b90d431986d3df3109d4c2afeeb591d
1.9,1.0120914360324732e-05,0.0,1.000010120965577,0.0,2.3083496966494506e-05,1.0000230837633926,8.171946131870398e-05,1.0000817228004448,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p9.npz,33a2b985074da947980547070443a91b9d6594c1ebee36396c131a8128e8f42b
1.95,1.2561203455929583e-05,0.0,1.0000125612823483,0.0,2.8259940700409162e-05,1.0000282603400164,0.00010500692589301614,1.0001050124393132,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p95.npz,57d4e54845b47a625728a0398620d93927a0832793bd248a5a123c370bf8cb77
2.0,1.2426188486029736e-05,0.0,1.0000124262656915,0.0,2.9050657465052027e-05,1.0000290510794394,0.00011026042730925167,1.0001102665062136,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_2.npz,72bd88a9f5207d7f01c8e975c27b0dc8978e1e4c7b7fcd59256cab8f877fe11e
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,46.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0.npz,9f82d0c087ba67ee89d1a2dd897ef02ef1450e6640a09759a6a7094f48d4b7df
0.05,1.4096317853157257e-07,0.0,1.0000001409631885,0.0,2.721229399231214e-07,1.000000272122977,7.420425636135846e-07,1.000000742042839,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p05.npz,85b5f3abe377f4d3f26c13fbf593a692cf57674466b53b7f9971daba62284f1e
0.1,1.3114772383436638e-06,0.0,1.0000013114780983,0.0,2.5215734549027755e-06,1.0000025215766342,1.2080785690138713e-05,1.0000120808586632,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p1.npz,3e7c515891b0c351469e686ff1c851a7ea571357e3a8f8199f1d953095528818
0.15,9.454282776970372e-06,0.0,1.000009454327469,0.0,1.810856933829875e-05,1.0000181087332993,6.172786552930026e-05,1.0000617297707333,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p15.npz,2d92e4a87de9fdafb1f38cb7910e9c4c12492bf3daee40733ce174d2d74f244b
0.2,2.6469107471797876e-05,0.0,1.0000264694577816,0.0,5.062500501696493e-05,1.0000506262864841,0.0001897113240066367,1.000189729320338,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p2.npz,ff05358e7ee6731f3a36e0a5f0be183d567fea1956ad3d626b1efe601c450d84
0.25,7.394832108925404e-05,0.0,1.0000739510553338,0.0,0.00014122850288805886,1.0001412384761026,0.0004953910154409032,1.000495513741835,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p25.npz,56e4b7515646010a04e0b160b9ad39823cf5f0807d15f41b7cf923948f5e08cb
0.3,9.673098801745193e-05,0.0,1.0000967356666104,0.0,0.00018539929667686365,1.0001854164841886,0.0006931520751290304,1.0006933923605437,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p3.npz,efaa288f6a78bc510c5d3171bdb043f270434a6e52095c84fcb4fbdc965339a6
0.35,0.0002180995761295007,0.0,1.0002181233615712,0.0,0.00041780263435764025,1.0004178899260348,0.001308224813700967,1.0013090809130654,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p35.npz,940569af133072b766341800ad57c8916adc60627d3df41b5097991d6e3b561d
0.4,0.0004293235549204779,0.0,1.000429415727468,0.0,0.0008225168586076475,1.0008228552183616,0.003115652110117255,1.003120510798837,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p4.npz,1a91c628224007e9713d79adbaacd104d500b70bcf9717bb1144ce67d94308a4
0.45,0.00037233725580187484,0.0,1.000372406581922,0.0,0.0007192349076959308,1.0007194936191433,0.0026863599733562525,1.0026899714715134,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p45.npz,1ece873d39355307eaf273015a3a672928b269646d83962ff6e03c688ed9c8bb
0.5,0.0006816415719421557,0.0,1.0006818739423533,0.0,0.0013192917408608592,1.001320162389047,0.004181290146679569,1.0041900439367846,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p5.npz,3fd29ad019764888aa7fcc6ade3ceada7bf5c06e1f57005c50f1323a16a9d19b
0.55,0.0008647052404212099,0.0,1.0008650792057798,0.0,0.0016909894226561956,1.0016924199514927,0.005286536278329023,1.005300534668034,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p55.npz,70c30fee42e8a13dc3513730d5d5ddf22e3f2bcbaa192e187014812823b4c6c8
0.6,0.0012263134179717084,0.0,1.0012270656477296,0.0,0.0024237118847146633,1.0024266514487705,0.007285466818990672,1.0073120703996343,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p6.npz,86314297054b139f7c5bac187fb7506e249082435917608b9bacdffb8f17d2d8
0.65,0.002484699731907584,0.0,1.0024877891565207,0.0,0.00492418959310039,1.0049363333391954,0.01943119270736745,1.0196212070721642,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p65.npz,2932cd51241f610e70bf8f37607458cdef3f3c437b6af725bc921d17db5333fc
0.7,0.0019123654499105334,0.0,1.0019141951869068,0.0,0.0038497423164407544,1.003857162092746,0.011871675077784928,1.0119424231010183,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p7.npz,e9adf952ed977efce9f4632f929b8a4ef5d01df10c61b1f28c6da262595b088d
0.75,0.0023815472398814046,0.0,1.0023843853761139,0.0,0.0048388647275286415,1.0048505909396765,0.01920971117621879,1.0193954048124683,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p75.npz,1b64acb69ec6ec427517878e0b0805384e20e8fea7da9253dc4860312744934f
0.8,0.00266949716387557,0.0,1.0026730634441152,0.0,0.005473623354427085,1.0054886310003126,0.017740800236623604,1.0178991029866742,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p8.npz,90b654d80fab8433b3c17afba217c014b1943038ec2da178515d9e6f2dbf9d99
0.85,0.002873525344341922,0.0,1.0028776578756573,0.0,0.00601202919921387,1.00603013771822,0.019887192912160127,1.020086260575588,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p85.npz,0a79eb4608b1765f54bf601fba0105d5b18cd23c74b1e74819936db9e8c2ea63
0.9,0.0043794940405739455,0.0,1.0043890980397003,0.0,0.009217416365021935,1.0092600275683543,0.02781470610981813,1.0282051466377011,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p9.npz,488ca9b9f6303d8ba8921e9a991b442f1aa6538968a12ffab1297582c8f81f5e
0.95,0.006196817042148304,0.0,1.0062160570345815,0.0,0.013565240692301929,1.0136576660209016,0.05268232744744442,1.0540947349611995,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_0p95.npz,834c6008fbfec7eaedeb221cc1e033c8ba000b1e0a2fedf4eee007ddf4ab70df
1.0,0.008422158393941911,0.0,1.008457724547758,0.0,0.018889742875096156,1.019069282773758,0.05655881606378011,1.0581888514729296,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_1.npz,6fe8c5751adf3ae5c33b505d0f6bd63df641def47308d39c36bbe43a6fd05970
1.05,0.007416738216927315,0.0,1.0074443103427453,0.0,0.01661114784613952,1.0167498800651356,0.04456719006827406,1.0455752266212432,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_1p05.npz,c5af9dda74681eaca5600b32b0befc85175b80fb26b17d6ee46712b44eb24ebe
1.1,0.010851273693415792,0.0,1.0109103622992697,0.0,0.024998097031385128,1.0253131693837907,0.0751006041718169,1.077992595981869,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_1p1.npz,7764e9f5a874933ce211c1e7200871b2225ad2e4e5c886a8aa04156395ae86a8
