representation,u_minus_i_l2,u_minus_i_fro,max_bond,bond_dims,max_coeff,frobenius_norm,near_zero_branch_count,mpo_vs_identity_fro,notes,section,chi_max,input_max_bond,input_norm,copy_infidelity,canonical_infidelity,copy_max_bond,canonical_max_bond,identical_across_methods,method,x_fraction,theta,input_output_infidelity,exact_infidelity,phase_aligned_distance,norm_before,norm_after,norm_change,output_max_bond,peak_bond,bond_profile,discarded_weight,compression_residual,variational_objective_initial,variational_objective_final,variational_converged,variational_sweeps,variational_worse_than_input,unchanged_input_baseline_infidelity,pass_check,failure_message
dense_gate_matrix,0.0,0.0,1,[1],1.0,2.0,0,,4×4 dense gate matrix at θ=0 via normal benchmark construction,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dense_make_gate,0.0,0.0,1,[1],1.0,2.0,0,,4×4 dense gate matrix at θ=0 via normal benchmark construction,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpo_from_gate_theta0,0.0,0.0,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.4142135623730951,17.142135623730955,0,0.0,MPO.from_gate(RZZ(0)); tensor Frobenius diff vs I_MPO=4.182e+00; operator-action infidelity=0.000e+00; bond>1 on support is allowed if action matches identity,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpo_identity_reference,0.0,0.0,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,16.970562748477146,0,0.0,Minimal bond-dimension-one identity MPO reference,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,continuity,12,8,,,,,,,mpo_zipup,1e-12,6.283185307179586e-12,2.6645352591003757e-15,1.5543122344752192e-15,3.141092390566715e-12,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9739208818958328e-23,3.3306690738754696e-15,,,,,,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,variational_mpo,1e-12,6.283185307179586e-12,2.6645352591003757e-15,1.5543122344752192e-15,3.141092390566715e-12,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,3.3306690738754696e-15,0.0,0.0,True,0,False,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,hybrid_tdvp,1e-10,6.283185307179587e-10,0.0,0.0,2.499292117259056e-10,0.9999999999999996,1.0000000000000224,2.2870594307278225e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9768916308013294e-19,,,,,,,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,tebd_swap,1e-10,6.283185307179587e-10,0.42032749797349755,0.42032749797336555,0.4940411282578967,0.9999999999999996,0.8756718397640453,0.12432816023595428,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.4716442927416308,,,,,,,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,mpo_zipup,1e-10,6.283185307179587e-10,2.6645352591003757e-15,1.7763568394002505e-15,3.141024721090605e-10,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9739208802180394e-19,3.3306690738754696e-15,,,,,,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,variational_mpo,1e-10,6.283185307179587e-10,2.6645352591003757e-15,1.7763568394002505e-15,3.141024721090605e-10,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,3.3306690738754696e-15,0.0,0.0,True,0,False,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,hybrid_tdvp,1e-08,6.283185307179586e-08,0.0,0.0,2.499291934051559e-08,0.9999999999999996,1.000000000000013,1.354472090042691e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.976891631691396e-15,,,,,,,3.1086244689504383e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,tebd_swap,1e-08,6.283185307179586e-08,0.4203274983536295,0.42032749834042515,0.49404112849454995,0.9999999999999996,0.8756718396222818,0.12432816037771777,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.47164429285796394,,,,,,,3.1086244689504383e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,mpo_zipup,1e-08,6.283185307179586e-08,4.440892098500626e-15,5.329070518200751e-15,3.1410240658854e-08,0.9999999999999996,0.9999999999999984,1.1102230246251565e-15,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9739208802178694e-15,4.884981308350689e-15,,,,,,3.1086244689504383e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,variational_mpo,1e-08,6.283185307179586e-08,4.440892098500626e-15,5.329070518200751e-15,3.1410240658854e-08,0.9999999999999996,0.9999999999999984,1.1102230246251565e-15,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,4.884981308350689e-15,0.0,0.0,True,0,False,3.1086244689504383e-15,True,
