chi_max,x_fraction,runtime_hybrid_tdvp,runtime_tebd_swap,runtime_mpo_zipup,runtime_variational_mpo,fastest,tdvp_vs_zipup,tdvp_vs_tebd,tdvp_vs_variational
8,0.6812920690579608,0.1374007779522799,0.0044842169736512005,0.005686679971404374,1.697445627010893,tebd_swap,24.16186221894031,30.640974502267127,0.08094561367142875
8,1.0,0.44588668301003054,0.005607764993328601,0.006261750997509807,0.018124734982848167,tebd_swap,71.20798690132395,79.51236964111179,24.601004286792765
12,0.0001,0.06505147699499503,0.00594750395976007,0.006908359006047249,1.1215950640034862,tebd_swap,9.416342859143837,10.937609698980223,0.05799907567602565
12,0.0001467799267622069,0.04116573999635875,0.01405522902496159,0.01260001998161897,2.1522656299639493,mpo_zipup,3.2671170407992784,2.9288558673252387,0.019126700451490408
12,0.00021544346900318845,0.05704968801001087,0.012173530994914472,0.0042988070053979754,1.732727910974063,mpo_zipup,13.271051233138417,4.68637144258667,0.03292478158208929
12,0.00031622776601683794,0.10709648299962282,0.006375167053192854,0.006308236974291503,1.4418111150152981,mpo_zipup,16.97724474145189,16.79900810536189,0.07427913537654098
12,0.00046415888336127773,0.032160277012735605,0.0037052520201541483,0.005896487971767783,1.151088384038303,tebd_swap,5.454141035599173,8.679646306865154,0.027939016203003795
12,0.0006812920690579609,0.09989269101060927,0.0033370520104654133,0.004334850993473083,1.5372306060162373,tebd_swap,23.044088749766978,29.93441237875025,0.06498224184430149
12,0.001,0.021197153022512794,0.0050199260003864765,0.00724001502385363,1.2547161710099317,tebd_swap,2.9277774911619208,4.2226026879441765,0.01689398248964228
12,0.0014677992676220691,0.04146655497606844,0.003264907980337739,0.007569862005766481,1.001115706982091,tebd_swap,5.477848201787632,12.700681068438236,0.041420342011285846
12,0.002154434690031882,0.060083479969762266,0.003216342011000961,0.0042057340033352375,1.0971758679952472,tebd_swap,14.286086548059096,18.680687490402683,0.05476194083592671
12,0.0031622776601683794,0.029789933003485203,0.003166167007293552,0.008831607992760837,1.0560658890171908,tebd_swap,3.3731040856776766,9.408831857214542,0.028208403768451115
12,0.004641588833612777,0.09040391398593783,0.0031773329828865826,0.005378164991270751,1.173606899974402,tebd_swap,16.80943484119055,28.452766667158244,0.0770308303299083
12,0.006812920690579608,0.03738390700891614,0.0033152360119856894,0.004227472993079573,1.314860806975048,tebd_swap,8.843085945224031,11.276393859671161,0.028431836138549965
12,0.01,0.03511909203371033,0.005885844002477825,0.007401701994240284,2.057506166980602,tebd_swap,4.744731963140186,5.966704523416842,0.017068766352835642
12,0.01467799267622069,0.08417828800156713,0.005574420967604965,0.005601621000096202,1.5994620450073853,tebd_swap,15.027487222024027,15.100812889941123,0.0526291250638451
12,0.021544346900318822,0.1349422589992173,0.00828164303675294,0.006845868017990142,2.090097760024946,mpo_zipup,19.711490003109144,16.29414095733899,0.06456265423565963
12,0.03162277660168379,0.07418045197846368,0.0047047859989106655,0.00484133796999231,3.1728957089944743,tebd_swap,15.322303966021506,15.767019370411159,0.02337941703163395
12,0.046415888336127774,0.157116650021635,0.007800043968018144,0.014086181996390224,1.6114307359675877,tebd_swap,11.153955703674585,20.143046714332254,0.09750133624408865
12,0.06812920690579609,0.03730594099033624,0.003469462040811777,0.004133658017963171,1.9159310800023377,tebd_swap,9.024921952474061,10.752658640302483,0.01947144204701284
12,0.1,0.12694533600006253,0.010024432966019958,0.01225132995750755,3.8722972969990224,tebd_swap,10.361759616332192,12.663592687024986,0.03278295189226391
12,0.1467799267622069,0.111919476010371,0.003169030009303242,0.006185723003000021,2.4817730469512753,tebd_swap,18.093192332746074,35.31663495827171,0.045096579700491975
12,0.21544346900318823,0.15198469097958878,0.003253200964536518,0.007011134002823383,2.0485904270317405,tebd_swap,21.6776189013624,46.7185066758524,0.07418988635996099
12,0.25,0.07576121896272525,0.003241472993977368,0.005943149968516082,2.4728440459584817,tebd_swap,12.747653914855144,23.3724665001032,0.03063728142765266
12,0.31622776601683794,0.10422624601051211,0.005833053961396217,0.00831840600585565,2.908586837002076,tebd_swap,12.529593522742603,17.868212209297685,0.03583398119134021
12,0.46415888336127775,0.10707508900668472,0.008205074002034962,0.00458333600545302,3.3707927250070497,mpo_zipup,23.361823981329803,13.049862680108522,0.03176555123437938
