task_type,method,chi_max,theta,x_fraction,special_angle,substeps,infidelity,fidelity,max_bond,param_count,runtime_s,peak_memory_mb,norm_before,norm_after,discarded_weight,variational_converged,variational_failed,failure_message
chi_scan,hybrid_tdvp,12,0.06283185307179587,0.01,0,64,1.6190667585069818e-05,0.9999838093324149,12,1704,1.2543671690509655,258.80859375,0.9999999999999996,0.9999999499164364,2.0033444323231246e-07,,,
chi_scan,mpo_zipup,12,0.06283185307179587,0.01,0,64,0.012509004494319798,0.9874909955056802,12,1704,0.010764875973109156,258.80859375,0.9999999999999996,0.9968579713552355,0.012576972145545338,,,
chi_scan,tebd_swap,12,0.06283185307179587,0.01,0,64,0.42098085865804424,0.5790191413419558,12,1704,0.009723110008053482,258.80859375,0.9999999999999996,0.8754740110961421,0.4720339268629071,,,
chi_scan,variational_mpo,12,0.06283185307179587,0.01,0,64,0.012509004494319798,0.9874909955056802,12,1704,0.35558637202484533,258.80859375,0.9999999999999996,0.9968579713552355,0.0,1,0,
chi_scan,hybrid_tdvp,12,0.6283185307179586,0.1,0,64,0.001394913463179881,0.9986050865368201,12,1704,1.0112726940424182,258.80859375,0.9999999999999996,0.9999999999999998,1.8069979365878827e-05,,,
chi_scan,mpo_zipup,12,0.6283185307179586,0.1,0,64,0.012509004494322018,0.987490995505678,12,1704,0.0032067479914985597,258.80859375,0.9999999999999996,0.9968579713552345,0.012576972145545307,,,
chi_scan,tebd_swap,12,0.6283185307179586,0.1,0,64,0.43123242476585777,0.5687675752341422,12,1704,0.0038021589862182736,258.80859375,0.9999999999999996,0.872079275900451,0.48269720759210055,,,
chi_scan,variational_mpo,12,0.6283185307179586,0.1,0,64,0.012509004494322018,0.987490995505678,12,1704,0.3905899269739166,258.80859375,0.9999999999999996,0.9968579713552345,0.0,1,0,
chi_scan,hybrid_tdvp,12,1.8849555921538759,0.3,0,64,0.007433370329112621,0.9925666296708874,12,1704,0.866079316008836,258.80859375,0.9999999999999996,0.9999999999999998,0.00012305807770702484,,,
chi_scan,mpo_zipup,12,1.8849555921538759,0.3,0,64,0.012509004494324016,0.987490995505676,12,1704,0.003944231022614986,258.80859375,0.9999999999999996,0.9968579713552337,0.012576972145545305,,,
chi_scan,tebd_swap,12,1.8849555921538759,0.3,0,64,0.43959162239726435,0.5604083776027357,12,1704,0.0037979079643264413,258.80859375,0.9999999999999996,0.8692972986766818,0.49296234953834994,,,
chi_scan,variational_mpo,12,1.8849555921538759,0.3,0,64,0.012509004494324016,0.987490995505676,12,1704,0.861580005963333,258.80859375,0.9999999999999996,0.9968579713552337,0.0,1,0,
chi_scan,hybrid_tdvp,16,0.006283185307179587,0.001,0,64,2.229595841285459e-09,0.9999999977704042,16,2376,0.639931641984731,259.27734375,0.9999999999999996,0.9999999999914526,3.4820080319844884e-11,,,
chi_scan,mpo_zipup,16,0.006283185307179587,0.001,0,64,0.0,1.0000000000000036,16,2728,0.004143321013543755,259.43359375,0.9999999999999996,1.0000000000000022,2.3723037474384163e-31,,,
chi_scan,tebd_swap,16,0.006283185307179587,0.001,0,64,0.0,1.0000000000000062,16,2728,0.0035622649593278766,259.27734375,0.9999999999999996,1.0000000000000033,1.685581168132305e-30,,,
chi_scan,variational_mpo,16,0.006283185307179587,0.001,0,64,0.0,1.0000000000000036,16,2728,0.02418712299549952,259.43359375,0.9999999999999996,1.0000000000000022,0.0,1,0,
chi_scan,hybrid_tdvp,16,0.06283185307179587,0.01,0,64,2.5320656682481513e-10,0.9999999997467934,16,2680,0.6818039329955354,259.43359375,0.9999999999999996,0.9999999999991411,3.936209339413436e-12,,,
chi_scan,mpo_zipup,16,0.06283185307179587,0.01,0,64,0.0,1.0000000000000009,16,2728,0.004242228984367102,259.43359375,0.9999999999999996,1.0000000000000009,2.3623946440532253e-31,,,
chi_scan,tebd_swap,16,0.06283185307179587,0.01,0,64,0.0,1.0000000000000022,16,2728,0.004064423963427544,259.43359375,0.9999999999999996,1.0000000000000016,1.678894052048886e-30,,,
chi_scan,variational_mpo,16,0.06283185307179587,0.01,0,64,0.0,1.0000000000000009,16,2728,0.01785090600606054,259.43359375,0.9999999999999996,1.0000000000000009,0.0,1,0,
chi_scan,hybrid_tdvp,16,0.6283185307179586,0.1,0,64,8.909317728011956e-12,0.9999999999910907,16,2728,0.6557714309892617,259.43359375,0.9999999999999996,1.0000000000000275,9.457544065903174e-15,,,
chi_scan,mpo_zipup,16,0.6283185307179586,0.1,0,64,2.886579864025407e-15,0.9999999999999971,16,2728,0.008857717970386147,259.43359375,0.9999999999999996,0.9999999999999989,2.3786830794505395e-31,,,
chi_scan,tebd_swap,16,0.6283185307179586,0.1,0,64,1.9984014443252818e-15,0.999999999999998,16,2728,0.009491112024988979,259.43359375,0.9999999999999996,0.9999999999999993,1.6775062946441064e-30,,,
chi_scan,variational_mpo,16,0.6283185307179586,0.1,0,64,2.886579864025407e-15,0.9999999999999971,16,2728,0.19400590501027182,259.43359375,0.9999999999999996,0.9999999999999989,0.0,1,0,
