section,target_label,theta,plain_tdvp_error,plain_tdvp_l2,enrichment_error,tebd_error,dense_exact_error,circuit,target_gate_index,gate,sites,window_size,tdvp_sweeps,substeps,tdvp_circuit_full_sweep,fidelity_error_after_gate,phase_aligned_l2_error_after_gate,max_bond_before,max_bond_after,mean_bond_after,wall_time_s,policy,repair_name,fidelity_error,pauli_obs_max_error,max_bond,mean_bond
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",full,1,8,False,0.0005699186797042399,0.023872959919283863,15,16,7.375,0.3153188999858685,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",full,1,8,True,0.00781108545003617,0.08936434033158579,15,15,7.125,0.5216369999980088,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,2,1,False,0.025191165275762595,0.15941214765033512,15,16,7.375,0.06070719999843277,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,2,1,True,0.005037815011617264,0.0719451331855929,15,15,7.25,0.1843108999892138,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,2,1,False,0.02519116527571319,0.15941214765034023,15,16,7.375,0.09455800001160242,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,2,1,True,0.005037815011611935,0.07194513318559273,15,15,7.25,0.06638020000536926,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,2,1,False,0.02519116527574239,0.15941214765033754,15,16,7.375,0.06492490001255646,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,2,1,True,0.00503781501159184,0.07194513318559312,15,15,7.25,0.14882800000486895,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",full,2,1,False,0.02519116527574239,0.15941214765033754,15,16,7.375,0.06347140000434592,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",full,2,1,True,0.00503781501159184,0.07194513318559312,15,15,7.25,0.1365286000072956,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,2,2,False,0.020130930367318944,0.14264305118454296,15,16,7.375,0.09748920000856742,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,2,2,True,0.005618637260700665,0.07587432057711573,15,15,7.125,0.17139860001043417,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,2,2,False,0.020130930367292743,0.142643051184534,15,16,7.375,0.11846019999939017,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,2,2,True,0.0056186372606776835,0.07587432057711581,15,15,7.125,0.17033280001487583,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,2,2,False,0.020130930367309285,0.14264305118453235,15,16,7.375,0.09363280000980012,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,2,2,True,0.00561863726068168,0.07587432057711696,15,15,7.125,0.25015070001245476,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",full,2,2,False,0.020130930367309285,0.14264305118453235,15,16,7.375,0.15562520001549274,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",full,2,2,True,0.00561863726068168,0.07587432057711696,15,15,7.125,0.2699564000067767,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,2,4,False,0.016218044906915585,0.128190802670582,15,16,7.375,0.18695249999291264,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,2,4,True,0.005965105166135687,0.07812411253364374,15,15,7.125,0.22905640001408756,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,2,4,False,0.016218044906933682,0.12819080267057806,15,16,7.375,0.21479950001230463,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,2,4,True,0.005965105166133022,0.07812411253364487,15,15,7.125,0.2812895000097342,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,2,4,False,0.016218044906949003,0.12819080267057653,15,16,7.375,0.26646439998876303,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,2,4,True,0.005965105166128359,0.07812411253364404,15,15,7.125,0.4410669999779202,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",full,2,4,False,0.016218044906949003,0.12819080267057653,15,16,7.375,0.31343209999613464,,,,,,
