stage,family,model,n_qubits,alpha,max_range,initial_state,dt,theta_max,theta_mean,theta_min_nonzero,layers,method,circuit_name,circuit_key,svd_threshold,max_bond_dim_setting,reference_method,fidelity_error,observable_error_max,observable_error_mean,energy_error,energy_density_error,magnetization_x_error,magnetization_z_error,long_range_corr_error_max,practical_pass_1e3,practical_pass_1e2,max_bond_observed,mean_bond_observed,sum_chi_cubed,wall_time_s,num_swaps_inserted,num_lr_pauli_gates,num_nn_2q_gates,tdvp_lr_pauli_count,enriched_lr_pauli_count,tdvp_lr_pauli_fraction,status
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,24,qiskit_statevector,1.5869843849047882e-06,0.9408392773675365,0.2647846064104572,0.9408392773675365,0.020907539497056364,1.6916524588142523e-05,4.070436309094871e-06,0.36215522822679597,False,False,24,11.181818181818182,42471.0,7.030059200013056,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,24,qiskit_statevector,0.3011156164783223,0.6401949534056581,0.20163400654336897,0.6401949534056581,0.014226554520125737,0.03239938469604729,0.05769817631102059,0.26365096378399294,False,False,24,12.0,50832.0,2.8540894000034314,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,32,qiskit_statevector,1.524920562046006e-06,0.9408315991553753,0.26478221439102934,0.9408315991553753,0.02090736887011945,1.66251255790395e-05,4.709770462074658e-06,0.362150769033611,False,False,30,12.181818181818182,66212.0,6.109607700025663,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,32,qiskit_statevector,0.016835831401495582,0.8249690793893014,0.24011438021659562,0.8249690793893014,0.018332646208651143,0.0021049479576950997,0.0046249734118849195,0.35054025411544554,False,False,32,13.727272727272727,95407.0,3.285209199995734,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,48,qiskit_statevector,1.524920562046006e-06,0.9408315991553753,0.26478221439102934,0.9408315991553753,0.02090736887011945,1.66251255790395e-05,4.709770462074658e-06,0.362150769033611,False,False,30,12.181818181818182,66212.0,6.506503899989184,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,48,qiskit_statevector,0.011278463586217202,0.8651146905441545,0.2488745675334592,0.8651146905441545,0.01922477090098121,0.0023655991958694417,0.002733575635826324,0.35493420139046455,False,False,48,15.636363636363637,185488.0,3.674464600015199,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,64,qiskit_statevector,1.524920562046006e-06,0.9408315991553753,0.26478221439102934,0.9408315991553753,0.02090736887011945,1.66251255790395e-05,4.709770462074658e-06,0.362150769033611,False,False,30,12.181818181818182,66212.0,6.819750599999679,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,64,qiskit_statevector,1.892067243991491e-07,0.940848982279493,0.264774746544549,0.940848982279493,0.02090775516176651,7.562571199826174e-07,1.6909746985982466e-06,0.3621145480496671,False,False,42,13.909090909090908,126315.0,3.321003200020641,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,20,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L20_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,8,qiskit_statevector,3.1254935101143744e-05,0.007697517038286507,0.0020343999052383774,0.007697517038286507,0.00017105593418414452,2.951295104003382e-05,9.788966637778534e-06,0.002264124636043424,False,True,8,6.090909090909091,3559.0,12.26249480000115,3200,680,0,680,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,20,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L20_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,8,qiskit_statevector,0.4216416899757489,0.3725827370436975,0.13051325016016457,0.24466103025094005,0.0054369117833542235,0.3725827370436975,0.0066071771212191325,0.023278394601611976,False,False,8,6.181818181818182,3728.0,4.100231300020823,3200,680,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,20,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L20_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,12,qiskit_statevector,1.4118901822457453e-05,0.0078215190515845,0.002045947716333149,0.0078215190515845,0.00017381153447965553,8.292309293556066e-06,2.195880539395143e-06,0.002223919805768637,False,True,12,7.909090909090909,9639.0,14.734005000005709,3200,680,0,680,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,20,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L20_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,12,qiskit_statevector,0.40173249799999566,0.3620156272003968,0.08715118900616517,0.033040773280788464,0.0007342394062397437,0.3620156272003968,0.0116496153954598,0.028315689747941054,False,False,12,8.0,9808.0,4.008864000003086,3200,680,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,20,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L20_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,16,qiskit_statevector,1.1096071854788114e-05,0.0073125234483930185,0.001925332722466471,0.0073125234483930185,0.00016250052107540043,6.069046764034525e-07,8.9595649569956e-07,0.002150136781691835,False,True,16,9.181818181818182,17759.0,11.45301689999178,3200,680,0,680,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,20,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L20_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,16,qiskit_statevector,0.19952628175243226,0.2045714944535615,0.07783897375570463,0.2045714944535615,0.004546033210079144,0.16758072427406123,0.004198456522585327,0.008298160318235952,False,False,16,9.727272727272727,20927.0,6.55784669998684,3200,680,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,20,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L20_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,24,qiskit_statevector,9.516508122087153e-06,0.0074415035590177855,0.001973589549974291,0.0074415035590177855,0.00016536674575595077,1.6104114998194419e-06,1.438024216414066e-05,0.0022450867914337574,False,True,24,11.090909090909092,41330.0,12.630026500002714,3200,680,0,680,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,20,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L20_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,24,qiskit_statevector,0.48805755448075805,0.44019132000175665,0.12552980201459962,0.14655888438665737,0.0032568640974812747,0.44019132000175665,0.005463288031315544,0.03217865355578716,False,False,24,12.0,50832.0,4.914032600005157,3200,680,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,20,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L20_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,32,qiskit_statevector,9.435085171149993e-06,0.007451395255855784,0.001975637877740733,0.007451395255855784,0.00016558656124123964,1.6098973859568488e-06,1.4601589068526042e-05,0.0022449960851521596,False,True,30,12.090909090909092,65071.0,12.008856700005708,3200,680,0,680,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,20,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L20_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,32,qiskit_statevector,0.013991216688191477,0.04156478692688172,0.012733985703415185,0.04156478692688172,0.0009236619317084826,0.011666379086416434,0.00359175446895474,0.005923346103114552,False,False,32,13.909090909090908,98919.0,6.520812100003241,3200,680,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,20,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L20_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,48,qiskit_statevector,9.435085171149993e-06,0.007451395255855784,0.001975637877740733,0.007451395255855784,0.00016558656124123964,1.6098973859568488e-06,1.4601589068526042e-05,0.0022449960851521596,False,True,30,12.090909090909092,65071.0,13.686210799991386,3200,680,0,680,0,1.0,ok
