circuit_name,method,n_qubits,depth,fidelity_error,pauli_obs_max_error,pauli_obs_mean_error,pauli_obs_l2_error,worst_observable,max_bond_before,max_bond_after_expansion,max_bond_final,mean_bond_final,sum_chi_cubed,wall_time_s,projected_ratio_before_expansion,projection_defect_before_expansion,projected_ratio_after_expansion,projection_defect_after_expansion,state_delta_from_expansion,route_summary
rand_n8_d4_s4,exact_pauli_enrichment,8,4,4.440892098500626e-16,1.1102230246251565e-15,2.827777782160005e-16,2.265949092773496e-15,Z(3),2,,4,2.2857142857142856,112.0,0.010789899999508634,,,,,,
rand_n8_d4_s4,subspace_expanded_tdvp,8,4,4.440892098500626e-16,4.440892098500626e-15,8.363990102499036e-16,8.1410077982265e-15,X(1),2,2,4,2.2857142857142856,112.0,0.03218149999156594,0.12319961061584278,0.8768003893841572,1.0,0.0,0.0,
rand_n8_d8_s0,plain_tdvp,8,8,0.15908954922606033,0.2591683254870159,0.050369783828040166,0.48671043579503354,Y(0),2,,4,2.2857142857142856,112.0,0.03669589999481104,,,,,,
rand_n8_d8_s0,current_projection_defect_router,8,8,0.04205728404382125,0.23201315476174308,0.01047038055472893,0.24033106983878688,Y(0),2,,4,2.857142857142857,224.0,0.039220300008310005,,,,,,
rand_n8_d8_s0,exact_pauli_enrichment,8,8,8.881784197001252e-16,1.6653345369377348e-15,5.3786941230893e-16,4.0892756854526e-15,Z(1),2,,4,3.4285714285714284,336.0,0.03489900002023205,,,,,,
rand_n8_d8_s0,subspace_expanded_tdvp,8,8,0.023946535442794237,0.06947736545790939,0.00619446797840701,0.09448186206138959,X(0),2,2,4,3.4285714285714284,336.0,0.0826023000117857,0.4214760792248759,0.578523920775124,1.0851921882131186,0.0,0.0,
rand_n8_d8_s1,plain_tdvp,8,8,0.04671654385800217,0.10304581273558033,0.018404340928830313,0.17090455938303098,"XX(2,3)",2,,8,4.285714285714286,1176.0,0.04378889998770319,,,,,,
rand_n8_d8_s1,current_projection_defect_router,8,8,0.0,9.658940314238862e-15,1.8123129259932243e-15,1.563076609336265e-14,Y(6),2,,8,4.285714285714286,1176.0,0.033430400013457984,,,,,,
rand_n8_d8_s1,exact_pauli_enrichment,8,8,0.0,2.3314683517128287e-15,7.579690242457449e-16,5.848629653658328e-15,Z(0),2,,8,4.285714285714286,1176.0,0.02211760001955554,,,,,,
rand_n8_d8_s1,subspace_expanded_tdvp,8,8,0.0017623646300438667,0.015224049585159716,0.0008810256675622432,0.01646739223234099,X(1),2,2,8,3.4285714285714284,672.0,0.06326130000525154,0.4337490363820884,0.5662509636179116,0.9999999999999998,2.220446049250313e-16,8.881784197001252e-16,
rand_n8_d8_s2,plain_tdvp,8,8,0.10739132253990957,0.18753159113553258,0.03252773939975728,0.3185304371448937,X(7),2,,8,3.4285714285714284,672.0,0.045786700007738546,,,,,,
rand_n8_d8_s2,current_projection_defect_router,8,8,1.554312234475219e-14,2.3596055664931725e-13,2.9519106014782547e-14,3.029190168028955e-13,X(0),2,,8,4.571428571428571,1232.0,0.042349299998022616,,,,,,
rand_n8_d8_s2,exact_pauli_enrichment,8,8,0.0,3.552713678800501e-15,7.50872428207658e-16,6.225566561865361e-15,Z(0),2,,8,4.571428571428571,1232.0,0.022611799999140203,,,,,,
