case_id,family,n_qubits,depth,seed,angle_regime,chi_max,tdvp_sweeps,tdvp_padding_dim,tdvp_mean_obs_error,tebd_mean_obs_error,tdvp_error_over_tebd_error,tebd_error_over_tdvp_error,tdvp_peak_chi,tebd_peak_chi,tdvp_peak_chi_over_tebd_peak_chi,tdvp_time_over_tebd_time,tdvp_hit_chi_max,tebd_hit_chi_max,outcome
random_all_to_all_n16_d8_s0_medium,random_all_to_all,16,8,0,medium,64,1,,0.17196059193993882,0.045291785651959966,0.2633846809958596,3.7967280261668677,64,64,1.0,0.13151097048493054,True,True,tebd_wins
random_all_to_all_n16_d8_s1_small,random_all_to_all,16,8,1,small,16,1,,0.0045823607418627585,0.025408909454313042,5.544938708597647,0.1803446444681995,16,16,1.0,1.7523946111156559,True,True,tdvp_wins
random_all_to_all_n16_d8_s1_small,random_all_to_all,16,8,1,small,32,1,,0.004559866067810143,0.02320414806747403,5.088778425156186,0.19651081584856148,32,32,1.0,0.5609095566371454,True,True,tdvp_wins
random_all_to_all_n16_d8_s1_small,random_all_to_all,16,8,1,small,64,1,,0.004559866067810143,0.00429591163470612,0.9421135557100284,1.0614431709841443,32,64,0.5,0.08298156258298353,False,True,similar
random_all_to_all_n16_d8_s1_medium,random_all_to_all,16,8,1,medium,16,1,,0.050489694481908876,0.10812303019773777,2.1414871154841246,0.46696521906176897,16,16,1.0,2.2003834653449976,True,True,tdvp_wins
random_all_to_all_n16_d8_s1_medium,random_all_to_all,16,8,1,medium,32,1,,0.05368139487117111,0.0703163231366461,1.3098825636963574,0.7634272168476693,32,32,1.0,0.6086064183822542,True,True,similar
random_all_to_all_n16_d8_s1_medium,random_all_to_all,16,8,1,medium,64,1,,0.053509489212249496,0.042341563127922165,0.7912907364892067,1.2637580018145962,63,64,0.984375,0.13547572026896854,False,True,similar
random_all_to_all_n16_d8_s2_small,random_all_to_all,16,8,2,small,16,1,,0.02645271666130969,0.008969360746344824,0.3390714406079737,2.9492309886286656,15,16,0.9375,1.1913253518224542,False,True,tebd_wins
random_all_to_all_n16_d8_s2_small,random_all_to_all,16,8,2,small,32,1,,0.02645271666130969,0.00541207709658108,0.2045943774272871,4.887719851223186,15,32,0.46875,0.5748048054679096,False,True,tebd_wins
random_all_to_all_n16_d8_s2_small,random_all_to_all,16,8,2,small,64,1,,0.02645271666130969,0.0016791309682336617,0.06347669276213111,15.753813824978915,15,64,0.234375,0.12701213852630427,False,True,tebd_wins
random_all_to_all_n16_d8_s2_medium,random_all_to_all,16,8,2,medium,16,1,,0.10631025229485225,0.06137071739382837,0.5772793881028168,1.7322634769386471,16,16,1.0,1.2028075526194126,True,True,similar
random_all_to_all_n16_d8_s2_medium,random_all_to_all,16,8,2,medium,32,1,,0.10630683672681862,0.04062477790071053,0.38214642775145136,2.6167979794656135,18,32,0.5625,0.7391765689079576,False,True,tebd_wins
random_all_to_all_n16_d8_s2_medium,random_all_to_all,16,8,2,medium,64,1,,0.10630683672681862,0.018452055996979112,0.1735735590025708,5.761246158380546,18,64,0.28125,0.12225032148212805,False,True,tebd_wins
