family,angle_regime,n_qubits,depth,chi_max,dominant_outcome,tdvp_win_fraction,tebd_win_fraction,similar_fraction,both_fail_fraction,mean_tdvp_error_over_tebd_error,mean_tdvp_time_over_tebd_time,mean_tdvp_peak_chi_over_tebd_peak_chi,chi_saturation_fraction_tdvp,chi_saturation_fraction_tebd,interpretation
flattened_2d_grid,medium,12,8,16,tebd_wins,0.0,1.0,0.0,0.0,2.1351161167158439e-13,2.3707252102310754,1.0,1.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,12,8,32,tebd_wins,0.0,1.0,0.0,0.0,2.8515690273092033e-13,3.7999324550605533,2.0,1.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,12,8,64,tebd_wins,0.0,1.0,0.0,0.0,2.8515690273092033e-13,2.6600633144318055,2.0,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,16,4,16,tebd_wins,0.0,1.0,0.0,0.0,2.095150007531776e-14,2.95476436094055,1.0,1.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,16,4,32,tebd_wins,0.0,1.0,0.0,0.0,2.098068334682754e-14,3.3917730124611065,2.0,1.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,16,4,64,tebd_wins,0.0,1.0,0.0,0.0,2.111433765109491e-14,2.9623625248347802,4.0,1.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,16,8,16,tebd_wins,0.0,1.0,0.0,0.0,2.0397653236183434e-12,2.601173376788408,1.0,1.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,16,8,32,tebd_wins,0.0,1.0,0.0,0.0,1.5105351746272006e-12,3.6658728816015853,2.0,1.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,16,8,64,tebd_wins,0.0,1.0,0.0,0.0,1.4081418923991147e-12,6.320272134554682,4.0,1.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,8,4,16,tebd_wins,0.0,1.0,0.0,0.0,2.0504024685211053e-14,1.5957479567865551,1.0,1.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
