case_id,family,n_qubits,depth,seed,angle_regime,chi_max,tebd_error,unpadded_tdvp_error,padded4_tdvp_error,tebd_fidelity,unpadded_tdvp_fidelity,padded4_tdvp_fidelity,tebd_peak_chi,unpadded_tdvp_peak_chi,padded4_tdvp_peak_chi,tebd_wall_time,unpadded_tdvp_wall_time,padded4_tdvp_wall_time,tebd_hit_chi_max,unpadded_tdvp_hit_chi_max,padded4_tdvp_hit_chi_max,padded4_error_over_tebd_error,padded4_peak_chi_over_tebd_peak_chi,padded4_time_over_tebd_time,unpadded_error_over_padded4_error,outcome
nn_brickwork_n12_d4_s1_medium,nn_brickwork,12,4,1,medium,32,2.7461603231577573e-15,2.7461603231577573e-15,2.7461603231577573e-15,0.9999999999999891,0.9999999999999891,0.9999999999999891,8,8,8,0.06908859999384731,0.07115159998647869,0.06587580003542826,False,False,False,1.0,1.0,0.95349739380006,1.0,similar
nn_brickwork_n12_d4_s1_medium,nn_brickwork,12,4,1,medium,64,2.7461603231577573e-15,2.7461603231577573e-15,2.7461603231577573e-15,0.9999999999999891,0.9999999999999891,0.9999999999999891,8,8,8,0.06420979998074472,0.13434970000525936,0.09437480004271492,False,False,False,1.0,1.0,1.4697881019877979,1.0,similar
nn_brickwork_n12_d4_s2_small,nn_brickwork,12,4,2,small,16,3.755997115423191e-08,3.755997115423191e-08,3.755997115423191e-08,0.999999999890059,0.999999999890059,0.999999999890059,8,8,8,0.0578525000018999,0.06059200002346188,0.054452600015792996,False,False,False,1.0,1.0,0.9412315805540772,1.0,similar
nn_brickwork_n12_d4_s2_small,nn_brickwork,12,4,2,small,32,3.755997115423191e-08,3.755997115423191e-08,3.755997115423191e-08,0.999999999890059,0.999999999890059,0.999999999890059,8,8,8,0.06950839998899028,0.07240940001793206,0.07298499997705221,False,False,False,1.0,1.0,1.050016976201619,1.0,similar
nn_brickwork_n12_d4_s2_small,nn_brickwork,12,4,2,small,64,3.755997115423191e-08,3.755997115423191e-08,3.755997115423191e-08,0.999999999890059,0.999999999890059,0.999999999890059,8,8,8,0.060530400020070374,0.04084620001958683,0.05169610003940761,False,False,False,1.0,1.0,0.854051848695308,1.0,similar
nn_brickwork_n12_d4_s2_medium,nn_brickwork,12,4,2,medium,16,1.830759393910142e-15,1.830759393910142e-15,1.830759393910142e-15,1.0,1.0,1.0,8,8,8,0.06576249998761341,0.060550800000783056,0.05552740005077794,False,False,False,1.0,1.0,0.8443626696253445,1.0,similar
nn_brickwork_n12_d4_s2_medium,nn_brickwork,12,4,2,medium,32,1.830759393910142e-15,1.830759393910142e-15,1.830759393910142e-15,1.0,1.0,1.0,8,8,8,0.06513350002933294,0.049345600011292845,0.04958509997231886,False,False,False,1.0,1.0,0.7612841310537306,1.0,similar
nn_brickwork_n12_d4_s2_medium,nn_brickwork,12,4,2,medium,64,1.830759393910142e-15,1.830759393910142e-15,1.830759393910142e-15,1.0,1.0,1.0,8,8,8,0.09601900004781783,0.09537120000459254,0.056629099999554455,False,False,False,1.0,1.0,0.5897697327753147,1.0,similar
nn_brickwork_n12_d8_s0_small,nn_brickwork,12,8,0,small,16,7.655892952208144e-07,7.655892952208144e-07,7.655892952208144e-07,0.9999999820941682,0.9999999820941682,0.9999999820941682,16,16,16,0.17920140002388507,0.14842189999762923,0.14411190000828356,True,True,True,1.0,1.0,0.8041895877435971,1.0,similar
nn_brickwork_n12_d8_s0_small,nn_brickwork,12,8,0,small,32,6.540545394614139e-08,6.540545394614139e-08,6.540545394614139e-08,0.999999999912035,0.999999999912035,0.999999999912035,31,31,31,0.1443672999739647,0.17114039999432862,0.07685020001372322,False,False,False,1.0,1.0,0.5323241483880522,1.0,similar
nn_brickwork_n12_d8_s0_small,nn_brickwork,12,8,0,small,64,6.540545394614139e-08,6.540545394614139e-08,6.540545394614139e-08,0.999999999912035,0.999999999912035,0.999999999912035,31,31,31,0.134080600051675,0.17576200002804399,0.15055479999864474,False,False,False,1.0,1.0,1.1228678864848498,1.0,similar
nn_brickwork_n12_d8_s0_medium,nn_brickwork,12,8,0,medium,16,0.002018622865725726,0.002018622865725726,0.002018622865725726,0.9885542017702436,0.9885542017702436,0.9885542017702436,16,16,16,0.13457619998371229,0.11082569998688996,0.19666380004491657,True,True,True,1.0,1.0,1.461356466215562,1.0,similar
nn_brickwork_n12_d8_s0_medium,nn_brickwork,12,8,0,medium,32,0.0003385567453612087,0.0003385567453612087,0.0003385567453612087,0.9995880297190826,0.9995880297190826,0.9995880297190826,32,32,32,0.17198879999341443,0.19799409998813644,0.11876649997429922,True,True,True,1.0,1.0,0.6905478727617547,1.0,similar
nn_brickwork_n12_d8_s0_medium,nn_brickwork,12,8,0,medium,64,3.470588978241966e-15,3.470588978241966e-15,3.470588978241966e-15,1.0,1.0,1.0,64,64,64,0.15426179999485612,0.16288770001847297,0.1538293000194244,True,True,True,1.0,1.0,0.9971963248487563,1.0,similar
nn_brickwork_n12_d8_s1_small,nn_brickwork,12,8,1,small,16,1.607411301997958e-07,1.607411301997958e-07,1.607411301997958e-07,0.9999999970184801,0.9999999970184801,0.9999999970184801,16,16,16,0.13979480002308264,0.11728039995068684,0.13517259998479858,True,True,True,1.0,1.0,0.966935822809426,1.0,similar
