case_id,family,n_qubits,depth,seed,angle_regime,chi_max,tdvp_sweeps,method,padding_dim,fidelity_to_reference,infidelity_to_reference,mean_abs_observable_error,max_abs_observable_error,rms_observable_error,wall_time_s,peak_bond_dim,mean_bond_dim,hit_chi_max,error_ratio_vs_unpadded,infidelity_ratio_vs_unpadded,fidelity_gain_vs_unpadded,time_ratio_vs_unpadded,peak_chi_ratio_vs_unpadded,classification
nn_brickwork_n8_d8_s2_small,nn_brickwork,8,8,2,small,32,1,hybrid_tdvp_padded4,4,0.9999999998647886,1.3521139763383871e-10,1.6789417242377278e-07,4.855422493992706e-06,7.516796255943501e-07,0.10102579998783767,14.0,6.0,False,1.0,1.0,0.0,2.022635722122475,1.0,padding_neutral
nn_brickwork_n8_d8_s2_small,nn_brickwork,8,8,2,small,32,1,hybrid_tdvp_unpadded,none,0.9999999998647886,1.3521139763383871e-10,1.6789417242377278e-07,4.855422493992706e-06,7.516796255943501e-07,0.04994759999681264,14.0,6.0,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s2_small,nn_brickwork,8,8,2,small,64,1,hybrid_tdvp_padded4,4,0.9999999998647886,1.3521139763383871e-10,1.6789417242377278e-07,4.855422493992706e-06,7.516796255943501e-07,0.07508959999540821,14.0,6.0,False,1.0,1.0,0.0,1.1650884331794369,1.0,padding_neutral
nn_brickwork_n8_d8_s2_small,nn_brickwork,8,8,2,small,64,1,hybrid_tdvp_unpadded,none,0.9999999998647886,1.3521139763383871e-10,1.6789417242377278e-07,4.855422493992706e-06,7.516796255943501e-07,0.06444970000302419,14.0,6.0,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s2_medium,nn_brickwork,8,8,2,medium,16,1,hybrid_tdvp_padded4,4,0.9999999999999996,4.440892098500626e-16,8.688920119118545e-16,2.55351295663786e-15,1.0050077550973253e-15,0.0774667999939993,16.0,6.285714285714286,True,1.0,1.0,0.0,0.9231480561473475,1.0,padding_neutral
nn_brickwork_n8_d8_s2_medium,nn_brickwork,8,8,2,medium,16,1,hybrid_tdvp_unpadded,none,0.9999999999999996,4.440892098500626e-16,8.688920119118545e-16,2.55351295663786e-15,1.0050077550973253e-15,0.08391590003157035,16.0,6.285714285714286,True,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s2_medium,nn_brickwork,8,8,2,medium,32,1,hybrid_tdvp_padded4,4,0.9999999999999996,4.440892098500626e-16,8.688920119118545e-16,2.55351295663786e-15,1.0050077550973253e-15,0.08636449999175966,16.0,6.285714285714286,False,1.0,1.0,0.0,0.8940637299278591,1.0,padding_neutral
nn_brickwork_n8_d8_s2_medium,nn_brickwork,8,8,2,medium,32,1,hybrid_tdvp_unpadded,none,0.9999999999999996,4.440892098500626e-16,8.688920119118545e-16,2.55351295663786e-15,1.0050077550973253e-15,0.09659770003054291,16.0,6.285714285714286,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s2_medium,nn_brickwork,8,8,2,medium,64,1,hybrid_tdvp_padded4,4,0.9999999999999996,4.440892098500626e-16,8.688920119118545e-16,2.55351295663786e-15,1.0050077550973253e-15,0.0760094000142999,16.0,6.285714285714286,False,1.0,1.0,0.0,1.1920705744525535,1.0,padding_neutral
nn_brickwork_n8_d8_s2_medium,nn_brickwork,8,8,2,medium,64,1,hybrid_tdvp_unpadded,none,0.9999999999999996,4.440892098500626e-16,8.688920119118545e-16,2.55351295663786e-15,1.0050077550973253e-15,0.06376250000903383,16.0,6.285714285714286,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n12_d4_s0_small,nn_brickwork,12,4,0,small,16,1,hybrid_tdvp_padded4,4,0.999999999950755,4.9245052480273444e-11,4.037675111867788e-08,5.38432893631112e-07,1.047862616939071e-07,0.07834319997346029,8.0,5.181818181818182,False,1.0,1.0,0.0,0.9629262712589236,1.0,padding_neutral
nn_brickwork_n12_d4_s0_small,nn_brickwork,12,4,0,small,16,1,hybrid_tdvp_unpadded,none,0.999999999950755,4.9245052480273444e-11,4.037675111867788e-08,5.38432893631112e-07,1.047862616939071e-07,0.08135950000723824,8.0,5.181818181818182,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n12_d4_s0_small,nn_brickwork,12,4,0,small,32,1,hybrid_tdvp_padded4,4,0.999999999950755,4.9245052480273444e-11,4.037675111867788e-08,5.38432893631112e-07,1.047862616939071e-07,0.06783109996467829,8.0,5.181818181818182,False,1.0,1.0,0.0,1.6779160815946603,1.0,padding_neutral
nn_brickwork_n12_d4_s0_small,nn_brickwork,12,4,0,small,32,1,hybrid_tdvp_unpadded,none,0.999999999950755,4.9245052480273444e-11,4.037675111867788e-08,5.38432893631112e-07,1.047862616939071e-07,0.04042580001987517,8.0,5.181818181818182,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n12_d4_s0_small,nn_brickwork,12,4,0,small,64,1,hybrid_tdvp_padded4,4,0.999999999950755,4.9245052480273444e-11,4.037675111867788e-08,5.38432893631112e-07,1.047862616939071e-07,0.06777490000240505,8.0,5.181818181818182,False,1.0,1.0,0.0,0.8715168208015207,1.0,padding_neutral
nn_brickwork_n12_d4_s0_small,nn_brickwork,12,4,0,small,64,1,hybrid_tdvp_unpadded,none,0.999999999950755,4.9245052480273444e-11,4.037675111867788e-08,5.38432893631112e-07,1.047862616939071e-07,0.07776660000672564,8.0,5.181818181818182,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n12_d4_s0_medium,nn_brickwork,12,4,0,medium,16,1,hybrid_tdvp_padded4,4,1.0,0.0,1.0767125942281556e-15,5.35682609381638e-15,1.603640508174864e-15,0.06235019996529445,8.0,6.181818181818182,False,1.0,1.0,0.0,1.2682909953433645,1.0,padding_neutral
nn_brickwork_n12_d4_s0_medium,nn_brickwork,12,4,0,medium,16,1,hybrid_tdvp_unpadded,none,1.0,0.0,1.0767125942281556e-15,5.35682609381638e-15,1.603640508174864e-15,0.04916080000111833,8.0,6.181818181818182,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n12_d4_s0_medium,nn_brickwork,12,4,0,medium,32,1,hybrid_tdvp_padded4,4,1.0,0.0,1.0767125942281556e-15,5.35682609381638e-15,1.603640508174864e-15,0.05348309996770695,8.0,6.181818181818182,False,1.0,1.0,0.0,0.7095771436911124,1.0,padding_neutral
nn_brickwork_n12_d4_s0_medium,nn_brickwork,12,4,0,medium,32,1,hybrid_tdvp_unpadded,none,1.0,0.0,1.0767125942281556e-15,5.35682609381638e-15,1.603640508174864e-15,0.07537320000119507,8.0,6.181818181818182,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n12_d4_s0_medium,nn_brickwork,12,4,0,medium,64,1,hybrid_tdvp_padded4,4,1.0,0.0,1.0767125942281556e-15,5.35682609381638e-15,1.603640508174864e-15,0.0873390999622643,8.0,6.181818181818182,False,1.0,1.0,0.0,1.3341831812229543,1.0,padding_neutral
