L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,4,0.45,32,32,1,1.0,0.0016724707507446387,0.0,8.391035313108427,1
6,20,0.1,1.0,4,0.5,32,32,1,1.0,0.0024513777731677575,0.0,8.339513114599253,1
6,20,0.1,1.0,4,0.55,32,32,1,1.0,0.003433063148029434,0.0,8.274516799863234,1
6,20,0.1,1.0,4,0.6000000000000001,32,32,1,1.0,0.00462573280060752,0.0,8.195978133552407,1
6,20,0.1,1.0,4,0.65,32,32,1,1.0,0.00603265676776319,0.0,8.104354005764698,1
6,20,0.1,1.0,4,0.7000000000000001,32,32,1,1.0,0.007656857940278429,0.0,8.00066592719162,1
6,20,0.1,1.0,4,0.75,32,32,1,1.0,0.009507916768635265,0.0,7.886514446567835,1
6,20,0.1,1.0,4,0.8,32,32,1,1.0,0.011609952372571088,0.0,7.764063715796995,1
6,20,0.1,1.0,4,0.8500000000000001,32,32,1,1.0,0.014008973951741412,0.0,7.635991579341255,1
6,20,0.1,1.0,4,0.9,32,32,1,1.0,0.01677697213077461,0.0,7.505401547671247,1
6,20,0.1,1.0,4,0.9500000000000001,32,32,1,1.0,0.020009645661675134,0.0,7.375693777189443,1
6,20,0.1,1.0,4,1.0,32,32,1,1.0,0.023815551632258868,0.0,7.250397183443119,1
6,20,0.1,1.0,4,1.05,32,32,1,1.0,0.028297119811534117,0.0,7.132970035193988,1
6,20,0.1,1.0,4,1.1,32,32,1,1.0,0.033527080404652576,0.0,7.026583958479791,1
6,20,0.1,1.0,4,1.1500000000000001,32,32,1,1.0,0.039525899576010576,0.0,6.933911603822256,1
6,20,0.1,1.0,4,1.2000000000000002,32,32,1,1.0,0.046245827701961124,0.0,6.856945229945054,1
6,20,0.1,1.0,4,1.25,32,32,1,1.0,0.05356625173206301,0.0,6.796871012682215,1
6,20,0.1,1.0,4,1.3,32,32,1,1.0,0.06130218686889695,0.0,6.754019102135402,1
6,20,0.1,1.0,4,1.35,32,32,1,1.0,0.06922451445636117,0.0,6.727898121566418,1
6,20,0.1,1.0,4,1.4000000000000001,32,32,1,1.0,0.07708712366238432,0.0,6.7173068941679945,1
6,20,0.1,1.0,4,1.4500000000000002,32,32,1,1.0,0.08465501785611144,0.0,6.7205046734026554,1
6,20,0.1,1.0,4,1.5,32,32,1,1.0,0.09172783951460309,0.0,6.735411459954357,1
6,20,0.1,1.0,4,1.55,32,32,1,1.0,0.0981557902903618,0.0,6.759808847059598,1
6,20,0.1,1.0,4,1.6,32,32,1,1.0,0.10384718192663754,0.0,6.791516375255842,1
6,20,0.1,1.0,4,1.6500000000000001,32,32,1,1.0,0.10876868220682225,0.0,6.828526738669237,1
6,20,0.1,1.0,4,1.7000000000000002,32,32,1,1.0,0.1129400955749716,0.0,6.869092260727429,1
6,20,0.1,1.0,4,1.75,32,32,1,1.0,0.11642547472352316,0.0,6.911764388982476,1
6,20,0.1,1.0,4,1.8,32,32,1,1.0,0.11932211213139547,0.0,6.9553928468270545,1
6,20,0.1,1.0,4,1.85,32,32,1,1.0,0.12174849499465232,0.0,6.99909530920079,1
6,20,0.1,1.0,4,1.9000000000000001,32,32,1,1.0,0.12383229294746258,0.0,7.042209467816642,1
6,20,0.1,1.0,4,1.9500000000000002,32,32,1,1.0,0.1256991782274383,0.0,7.084238500446901,1
6,20,0.1,1.0,4,2.0,32,32,1,1.0,0.1274633897158975,0.0,7.1247995895524445,1
6,20,0.1,1.0,5,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,10.160531773714693,1
6,20,0.1,1.0,5,0.05,32,32,1,1.0,6.317788107950223e-07,0.0,10.15883342419419,1
6,20,0.1,1.0,5,0.1,32,32,1,1.0,8.772140192848778e-06,0.0,10.151574188804027,1
6,20,0.1,1.0,5,0.15000000000000002,32,32,1,1.0,4.102885698233524e-05,0.0,10.1381898500775,1
6,20,0.1,1.0,5,0.2,32,32,1,1.0,0.00012325532176812892,0.0,10.117859594397276,1
6,20,0.1,1.0,5,0.25,32,32,1,1.0,0.0002901832622583125,0.0,10.089587087934387,1
6,20,0.1,1.0,5,0.30000000000000004,32,32,1,1.0,0.0005839884204134572,0.0,10.052297049711006,1
6,20,0.1,1.0,5,0.35000000000000003,32,32,1,1.0,0.0010513092287884405,0.0,10.004938631285777,1
6,20,0.1,1.0,5,0.4,32,32,1,1.0,0.0017389312733320345,0.0,9.946586505041902,1
6,20,0.1,1.0,5,0.45,32,32,1,1.0,0.0026888192257119984,0.0,9.876533248409737,1
6,20,0.1,1.0,5,0.5,32,32,1,1.0,0.003933448688619982,0.0,9.79436919839391,1
6,20,0.1,1.0,5,0.55,32,32,1,1.0,0.005492442895496796,0.0,9.700047528886032,1
6,20,0.1,1.0,5,0.6000000000000001,32,32,1,1.0,0.0073713912283776195,0.0,9.593933930177966,1
6,20,0.1,1.0,5,0.65,32,32,1,1.0,0.009563450479522792,0.0,9.476840934843842,1
6,20,0.1,1.0,5,0.7000000000000001,32,32,1,1.0,0.012053929632670395,0.0,9.350045483339814,1
6,20,0.1,1.0,5,0.75,32,32,1,1.0,0.014827587004143184,0.0,9.215287725765492,1
6,20,0.1,1.0,5,0.8,32,32,1,1.0,0.017877788322888482,0.0,9.074747568382657,1
