L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,centered,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,2,1.2000000000000002,32,32,1,1.0,0,0.003174812728551723,0.0,13.705770585281229,32
6,20,0.1,1.0,2,1.25,32,32,1,1.0,0,0.0036596673937405325,0.0,13.521534536089929,32
6,20,0.1,1.0,2,1.3,32,32,1,1.0,0,0.004174368466251015,0.0,13.37267058606173,32
6,20,0.1,1.0,2,1.35,32,32,1,1.0,0,0.004708198864502112,0.0,13.26109738471565,32
6,20,0.1,1.0,2,1.4000000000000001,32,32,1,1.0,0,0.00524859316109293,0.0,13.187292837901627,32
6,20,0.1,1.0,2,1.4500000000000002,32,32,1,1.0,0,0.005782526818227382,0.0,13.150296533351673,32
6,20,0.1,1.0,2,1.5,32,32,1,1.0,0,0.006297991876234162,0.0,13.14781596358059,32
6,20,0.1,1.0,2,1.55,32,32,1,1.0,0,0.0067852255143889114,0.0,13.176417062204195,32
6,20,0.1,1.0,2,1.6,32,32,1,1.0,0,0.007237461943589406,0.0,13.231773803495644,32
6,20,0.1,1.0,2,1.6500000000000001,32,32,1,1.0,0,0.007651155180030726,0.0,13.308945562483975,32
6,20,0.1,1.0,2,1.7000000000000002,32,32,1,1.0,0,0.008025723696696605,0.0,13.402657116761091,32
6,20,0.1,1.0,2,1.75,32,32,1,1.0,0,0.00836302999493955,0.0,13.507560163926872,32
6,20,0.1,1.0,2,1.8,32,32,1,1.0,0,0.008666725584476823,0.0,13.618465422297907,32
6,20,0.1,1.0,2,1.85,32,32,1,1.0,0,0.008941628484368516,0.0,13.730539320658394,32
6,20,0.1,1.0,2,1.9000000000000001,32,32,1,1.0,0,0.0091931740085433,0.0,13.839464385663085,32
6,20,0.1,1.0,2,1.9500000000000002,32,32,1,1.0,0,0.009426973391164457,0.0,13.941564291108081,32
6,20,0.1,1.0,2,2.0,32,32,1,1.0,0,0.009648454770379379,0.0,14.033894101599211,32
6,20,0.1,1.0,3,0.0,32,32,1,1.0,0,2.141404136484463e-27,0.0,18.087349020473766,1
6,20,0.1,1.0,3,0.05,32,32,1,1.0,0,5.756030310030476e-08,0.0,18.0903253041924,32
6,20,0.1,1.0,3,0.1,32,32,1,1.0,0,8.279078170510591e-07,0.0,18.0814148397509,32
6,20,0.1,1.0,3,0.15000000000000002,32,32,1,1.0,0,4.0011477338561995e-06,0.0,18.060055882357904,32
6,20,0.1,1.0,3,0.2,32,32,1,1.0,0,1.2411124335528578e-05,0.0,18.02533461897616,32
6,20,0.1,1.0,3,0.25,32,32,1,1.0,0,3.015175166891132e-05,0.0,17.976061985036566,32
6,20,0.1,1.0,3,0.30000000000000004,32,32,1,1.0,0,6.256266345088974e-05,0.0,17.910877233037706,32
6,20,0.1,1.0,3,0.35000000000000003,32,32,1,1.0,0,0.00011600521123982359,0.0,17.828370758220498,32
6,20,0.1,1.0,3,0.4,32,32,1,1.0,0,0.00019742347741307807,0.0,17.727220829903914,32
6,20,0.1,1.0,3,0.45,32,32,1,1.0,0,0.00031374454912617007,0.0,17.606336571227313,32
6,20,0.1,1.0,3,0.5,32,32,1,1.0,0,0.000471216211330662,0.0,17.465002725322265,32
6,20,0.1,1.0,3,0.55,32,32,1,1.0,0,0.0006747944678647588,0.0,17.3030171682462,32
6,20,0.1,1.0,3,0.6000000000000001,32,32,1,1.0,0,0.0009276916987908064,0.0,17.120816158283358,32
6,20,0.1,1.0,3,0.65,32,32,1,1.0,0,0.0012311806592054915,0.0,16.919577244846504,32
6,20,0.1,1.0,3,0.7000000000000001,32,32,1,1.0,0,0.001584702088662917,0.0,16.701290092691696,32
6,20,0.1,1.0,3,0.75,32,32,1,1.0,0,0.0019863067574332053,0.0,16.46878490286727,32
6,20,0.1,1.0,3,0.8,32,32,1,1.0,0,0.002433392238555472,0.0,16.22570726577139,32
6,20,0.1,1.0,3,0.8500000000000001,32,32,1,1.0,0,0.002923665353817579,0.0,15.976431469595008,32
6,20,0.1,1.0,3,0.9,32,32,1,1.0,0,0.003456187766737166,0.0,15.725909241222872,32
6,20,0.1,1.0,3,0.9500000000000001,32,32,1,1.0,0,0.004032286376642753,0.0,15.479455597171944,32
6,20,0.1,1.0,3,1.0,32,32,1,1.0,0,0.004656079696812816,0.0,15.2424851723507,32
