J,m,median,p16,p84,p05,p95,S_V_full
1.4000000000000001,8.0,0.0006834271055493216,0.0003060090940516729,0.003709899791264773,0.00014169139401524304,0.005028139110219169,0.0007541328005343014
1.6,8.0,0.0011767428448954819,0.0005509425125832263,0.005749959468690512,0.00026700685238003626,0.008411484116017815,0.001275523968769985
1.8,8.0,0.0018718790697235844,0.0008479917450760253,0.00899403225844254,0.0004418430177034528,0.013188177358095543,0.0020285443252110913
2.0,8.0,0.002926334470447253,0.0012214774093230114,0.013363317638543346,0.000667144873039585,0.019711619889621824,0.0030707499318952994
0.0,16.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
0.2,16.0,4.6532985854446e-07,2.3730280054498746e-07,8.616468286997742e-07,1.3198761725910102e-07,2.5568115829409538e-06,4.367238502583226e-07
0.4,16.0,6.5417037265131365e-06,3.3692076394553134e-06,1.1885293043413383e-05,1.917135589332336e-06,3.359501239701756e-05,6.057198464281415e-06
0.6000000000000001,16.0,3.039578397267108e-05,1.5619260954443974e-05,5.511488329126054e-05,9.516830212222333e-06,0.0001471815003208469,2.8330628124314688e-05
0.8,16.0,9.039656989547198e-05,4.7071041704403715e-05,0.00016423334974774046,2.9655969751783405e-05,0.00042470179253345747,8.535363161067756e-05
1.0,16.0,0.00021537225460589886,0.00011575055346694597,0.00037044507495522894,7.581699742096618e-05,0.0009569494871205251,0.00020233603562120958
1.2000000000000002,16.0,0.00043853429349348556,0.00023785338803171462,0.0007308740515166212,0.00016974879089187307,0.00185464769255236,0.0004119425449233594
1.4000000000000001,16.0,0.0008012780204191819,0.0004444486585136519,0.0013005697282847627,0.00032688235137177474,0.0032348002097856016,0.0007541328005343014
1.6,16.0,0.0013169265414538006,0.0007650832982681406,0.0021868044423837747,0.000571544908097796,0.005222292220973178,0.001275523968769985
1.8,16.0,0.0020592221200486428,0.001212762668880433,0.0034010078251944997,0.0008711648091736835,0.007952171334002929,0.0020285443252110913
2.0,16.0,0.0030873806735281003,0.001818502890311291,0.005145079739023773,0.0012488048578223347,0.011559805668190754,0.0030707499318952994
0.0,32.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
0.2,32.0,4.362240321556062e-07,3.059818305521458e-07,6.451742888633826e-07,2.1935915949369937e-07,7.849469871173472e-07,4.367238502583226e-07
0.4,32.0,5.991468616601868e-06,4.32047232035845e-06,8.887785655968036e-06,3.0849976553112467e-06,1.0955102901665898e-05,6.057198464281415e-06
0.6000000000000001,32.0,2.7833505181414167e-05,2.0346502027245284e-05,4.0970256935087724e-05,1.471333337709223e-05,5.033768565280776e-05,2.8330628124314688e-05
0.8,32.0,8.241771883023424e-05,6.158015210181193e-05,0.000122825024130535,4.702786179231044e-05,0.00014770571186845506,8.535363161067756e-05
1.0,32.0,0.0001953088425847946,0.00014418893975533834,0.00028176421073786503,0.00011857193887306099,0.0003423802206104345,0.00020233603562120958
1.2000000000000002,32.0,0.0003952135613070457,0.00029628433280226086,0.0005684687723023804,0.0002457652850813553,0.0006753359387127904,0.0004119425449233594
1.4000000000000001,32.0,0.0007215107706196198,0.0005380493319761486,0.0010364365081861403,0.0004572394770659858,0.0012073936790832924,0.0007541328005343014
1.6,32.0,0.0012013823143663398,0.0009212047957802373,0.0017376826529011437,0.000798939291780327,0.0020218842796386203,0.001275523968769985
1.8,32.0,0.0018951180146951994,0.0014887937987215203,0.0027637684258500356,0.00131093484838354,0.0031857305029858556,0.0020285443252110913
2.0,32.0,0.002877299255234087,0.002259406094955462,0.004115779925290614,0.0019647504690888,0.0047795692675965526,0.0030707499318952994
0.0,64.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.2,64.0,4.367238502583226e-07,4.367238502583226e-07,4.367238502583226e-07,4.367238502583226e-07,4.367238502583226e-07,4.367238502583226e-07
0.4,64.0,6.057198464281415e-06,6.057198464281415e-06,6.057198464281415e-06,6.057198464281415e-06,6.057198464281415e-06,6.057198464281415e-06
0.6000000000000001,64.0,2.8330628124314688e-05,2.8330628124314688e-05,2.8330628124314688e-05,2.8330628124314688e-05,2.8330628124314688e-05,2.8330628124314688e-05
0.8,64.0,8.535363161067756e-05,8.535363161067756e-05,8.535363161067756e-05,8.535363161067756e-05,8.535363161067756e-05,8.535363161067756e-05
1.0,64.0,0.00020233603562120958,0.00020233603562120958,0.00020233603562120958,0.00020233603562120958,0.00020233603562120958,0.00020233603562120958
1.2000000000000002,64.0,0.0004119425449233594,0.0004119425449233594,0.0004119425449233594,0.0004119425449233594,0.0004119425449233594,0.0004119425449233594
1.4000000000000001,64.0,0.0007541328005343014,0.0007541328005343014,0.0007541328005343014,0.0007541328005343014,0.0007541328005343014,0.0007541328005343014
1.6,64.0,0.001275523968769985,0.001275523968769985,0.001275523968769985,0.001275523968769985,0.001275523968769985,0.001275523968769985
1.8,64.0,0.0020285443252110913,0.0020285443252110913,0.0020285443252110913,0.0020285443252110913,0.0020285443252110913,0.0020285443252110913
