L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,seed,unitary_ensemble,basis,orientation,weight_scope,probability_power,centered,spectrum_discarded_weight_threshold,entropy,entropy_std,entropy_old_raw_xyz,entropy_old_raw_xyz_std,entropy_old_centered_xyz,entropy_old_centered_xyz_std,entropy_change_vs_raw_xyz,entropy_change_vs_centered_xyz,response_norm,rank,response_shape,probe_file,probe_sha256,raw_file,raw_sha256
6,20,0.1,1.0,1,1.0,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,2.556190147896645e-06,0.0,6.108214115804079e-06,0.0,2.4190770640732456e-05,0.0,-3.552023967907434e-06,-2.163458049283581e-05,45.783976913906834,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1.npz,3229dbba99f846182038f0db07e1a064de229697b03a9994c621adbb77bc5864
6,20,0.1,1.0,1,1.05,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,2.914768187621699e-06,0.0,7.108272401922891e-06,0.0,2.8157510007701146e-05,0.0,-4.193504214301192e-06,-2.5242741820079448e-05,45.44985494976504,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p05.npz,8fa23e3e052d9b678e4b1bf9ffd1100b14e35c885d26ac80d8cdfa8ab1d180e6
6,20,0.1,1.0,1,1.1,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,3.2986726695091677e-06,0.0,8.196533622123106e-06,0.0,3.247874480170389e-05,0.0,-4.897860952613939e-06,-2.9180072132194723e-05,45.150550499445,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p1.npz,38aa2695f7ac0d76b6bfc82fa4986a9d63d147b39fb5221460074c9046395eb6
6,20,0.1,1.0,1,1.1500000000000001,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,3.709167950904176e-06,0.0,9.36862841575842e-06,0.0,3.7138164308140345e-05,0.0,-5.659460464854244e-06,-3.342899635723617e-05,44.8917878867362,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p15.npz,f9ed6a25ec441e92a73e225eb68f1e623f529f2435fea6dc5d6294c49b7228d4
6,20,0.1,1.0,1,1.2000000000000002,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,4.147293618299341e-06,0.0,1.061631269284453e-05,0.0,4.210377031780201e-05,0.0,-6.469019074545188e-06,-3.795647669950267e-05,44.6775414371071,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p2.npz,c888bca6af2adb1fc5e173c983ed24259b3cdd5374f584b7007cc9a14639aa44
6,20,0.1,1.0,1,1.25,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,4.61345758988246e-06,0.0,1.1927013635665865e-05,0.0,4.7326479969386095e-05,0.0,-7.313556045783405e-06,-4.2713022379503635e-05,44.50987238912656,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p25.npz,8b131b316d855c2bfa70afe812153098c73d31b7dfbad0e1b5c44f8d6bb28fde
6,20,0.1,1.0,1,1.3,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,5.107121278595365e-06,0.0,1.328447719787923e-05,0.0,5.274192979774432e-05,0.0,-8.177355919283864e-06,-4.7634808519148955e-05,44.38892308101028,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p3.npz,e2e7320fe482bf54f0a795da6cd138945368cc02c398e9d0b06224695ff88a9f
6,20,0.1,1.0,1,1.35,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,5.6265610322601185e-06,0.0,1.4669693249670561e-05,0.0,5.82745311567654e-05,0.0,-9.043132217410443e-06,-5.264797012450528e-05,44.31306263390035,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p35.npz,d720b41b97089954d28eebfb48e4c345ef3ad9887518fe4ad578db0cadd0a583
6,20,0.1,1.0,1,1.4000000000000001,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,6.16862613875735e-06,0.0,1.6062410629582024e-05,0.0,6.384338521917171e-05,0.0,-9.893784490824672e-06,-5.767475908041436e-05,44.279157846713844,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p4.npz,f3ad9a62d7bf14709d9807c746cbe974eb5bf40417163a8314f17e9c548b068f
6,20,0.1,1.0,1,1.4500000000000002,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,6.728846480887129e-06,0.0,1.7442543165706792e-05,0.0,6.93678369498328e-05,0.0,-1.0713696684819664e-05,-6.263899046894568e-05,44.28292880519918,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p45.npz,c5b14eeb144b35b3137d6bfe87951bd369ba1f52e5cd892519441e7d16688d81
