panel,method,theta,median,min,max,median_display,min_display,max_display,sequence,gate_count,chi_max,x_median,x_min,x_max,y_median,y_min,y_max,y_median_display,y_min_display,y_max_display
b,mpo_zipup,,0.274394498330053,0.22504941199770412,0.2770827169816229,0.274394498330053,0.22504941199770412,0.2770827169816229,commuting,14,,,,,,,,,,
b,mpo_zipup,,0.27913500026374416,0.230021075339375,0.2797978196528359,0.27913500026374416,0.230021075339375,0.2797978196528359,commuting,15,,,,,,,,,,
b,mpo_zipup,,0.2824833409270209,0.23299477295559146,0.28298971005923235,0.2824833409270209,0.23299477295559146,0.28298971005923235,commuting,16,,,,,,,,,,
b,mpo_zipup,,0.2824833409270252,0.23299477295559334,0.28298971005922935,0.2824833409270252,0.23299477295559334,0.28298971005922935,commuting,17,,,,,,,,,,
b,mpo_zipup,,0.2850771658017349,0.23721123649095643,0.2873856076705873,0.2850771658017349,0.23721123649095643,0.2873856076705873,commuting,18,,,,,,,,,,
b,mpo_zipup,,0.28755894779309366,0.23997689754388973,0.2909220052473618,0.28755894779309366,0.23997689754388973,0.2909220052473618,commuting,19,,,,,,,,,,
b,mpo_zipup,,0.2875589477930939,0.23997689754388551,0.2909220052473577,0.2875589477930939,0.23997689754388551,0.2909220052473577,commuting,20,,,,,,,,,,
b,mpo_zipup,,0.29000123727091587,0.24365352897950732,0.2950199097431192,0.29000123727091587,0.24365352897950732,0.2950199097431192,commuting,21,,,,,,,,,,
b,mpo_zipup,,0.29232746626356176,0.24619416237180602,0.29822593543300946,0.29232746626356176,0.24619416237180602,0.29822593543300946,commuting,22,,,,,,,,,,
b,mpo_zipup,,0.2923274662635632,0.24619416237180225,0.2982259354330081,0.2923274662635632,0.24619416237180225,0.2982259354330081,commuting,23,,,,,,,,,,
b,mpo_zipup,,0.29462092246349636,0.24953275575424472,0.3020874187865559,0.29462092246349636,0.24953275575424472,0.3020874187865559,commuting,24,,,,,,,,,,
b,mpo_zipup,,0.296828811215771,0.2518635137225662,0.3050098800040054,0.296828811215771,0.2518635137225662,0.3050098800040054,commuting,25,,,,,,,,,,
b,mpo_zipup,,0.29682881121576954,0.25186351372256655,0.3050098800040054,0.29682881121576954,0.25186351372256655,0.3050098800040054,commuting,26,,,,,,,,,,
b,mpo_zipup,,0.29899008189444787,0.2549793442962577,0.3086862187432923,0.29899008189444787,0.2549793442962577,0.3086862187432923,commuting,27,,,,,,,,,,
b,mpo_zipup,,0.30110546620861545,0.2571101199446413,0.31137633982818214,0.30110546620861545,0.2571101199446413,0.31137633982818214,commuting,28,,,,,,,,,,
b,mpo_zipup,,0.3011054662086161,0.2571101199446457,0.3113763398281808,0.3011054662086161,0.2571101199446457,0.3113763398281808,commuting,29,,,,,,,,,,
b,mpo_zipup,,0.30315466407564096,0.26006105537280344,0.3149093854175753,0.30315466407564096,0.26006105537280344,0.3149093854175753,commuting,30,,,,,,,,,,
b,mpo_zipup,,0.3051977099329216,0.26198796431001414,0.3174110961096339,0.3051977099329216,0.26198796431001414,0.3174110961096339,commuting,31,,,,,,,,,,
b,mpo_zipup,,0.30519770993292006,0.2619879643100129,0.31741109610963536,0.30519770993292006,0.2619879643100129,0.31741109610963536,commuting,32,,,,,,,,,,
b,mpo_zipup,,0.30715284394807696,0.26480591217449123,0.32083483171324156,0.30715284394807696,0.26480591217449123,0.32083483171324156,commuting,33,,,,,,,,,,
b,mpo_zipup,,0.30914167717395724,0.2665190456027594,0.3231831559090391,0.30914167717395724,0.2665190456027594,0.3231831559090391,commuting,34,,,,,,,,,,
b,mpo_zipup,,0.3091416771739556,0.2665190456027625,0.3231831559090347,0.3091416771739556,0.2665190456027625,0.3231831559090347,commuting,35,,,,,,,,,,
b,mpo_zipup,,0.31101702676389575,0.26922710063538646,0.3265244655650228,0.31101702676389575,0.26922710063538646,0.3265244655650228,commuting,36,,,,,,,,,,
b,variational_mpo,,0.0,0.0,6.661338147750939e-15,1e-14,1e-14,1e-14,commuting,1,,,,,,,,,,
b,variational_mpo,,0.0,0.0,5.329070518200751e-15,1e-14,1e-14,1e-14,commuting,2,,,,,,,,,,
b,variational_mpo,,0.24215124261520715,0.19544213541240485,0.25624624212170977,0.24215124261520715,0.19544213541240485,0.25624624212170977,commuting,3,,,,,,,,,,
b,variational_mpo,,0.24634142314837038,0.19862039072226,0.260592380514295,0.24634142314837038,0.19862039072226,0.260592380514295,commuting,4,,,,,,,,,,
b,variational_mpo,,0.24634142314837315,0.19862039072225923,0.2605923805142971,0.24634142314837315,0.19862039072225923,0.2605923805142971,commuting,5,,,,,,,,,,
b,variational_mpo,,0.25221842208047496,0.2040695540091687,0.2626839227838269,0.25221842208047496,0.2040695540091687,0.2626839227838269,commuting,6,,,,,,,,,,
b,variational_mpo,,0.2561913637122841,0.20725810860834426,0.2658361000963064,0.2561913637122841,0.20725810860834426,0.2658361000963064,commuting,7,,,,,,,,,,
b,variational_mpo,,0.2561913637122848,0.20725810860834726,0.26583610009630776,0.2561913637122848,0.20725810860834726,0.26583610009630776,commuting,8,,,,,,,,,,
b,variational_mpo,,0.261425406105503,0.21311963420197955,0.268342781838527,0.261425406105503,0.21311963420197955,0.268342781838527,commuting,9,,,,,,,,,,
b,variational_mpo,,0.26534728521477113,0.21627287809019757,0.271433370657009,0.26534728521477113,0.21627287809019757,0.271433370657009,commuting,10,,,,,,,,,,
b,variational_mpo,,0.26534728521477247,0.21627287809019835,0.2714333706570081,0.26534728521477247,0.21627287809019835,0.2714333706570081,commuting,11,,,,,,,,,,
b,variational_mpo,,0.270389167123646,0.22194434592443535,0.27416380498451176,0.270389167123646,0.22194434592443535,0.27416380498451176,commuting,12,,,,,,,,,,
b,variational_mpo,,0.27439449833005203,0.22504941199770334,0.27708271698162523,0.27439449833005203,0.22504941199770334,0.27708271698162523,commuting,13,,,,,,,,,,
b,variational_mpo,,0.274394498330053,0.22504941199770412,0.2770827169816229,0.274394498330053,0.22504941199770412,0.2770827169816229,commuting,14,,,,,,,,,,
b,variational_mpo,,0.27913500026374416,0.230021075339375,0.2797978196528359,0.27913500026374416,0.230021075339375,0.2797978196528359,commuting,15,,,,,,,,,,
b,variational_mpo,,0.2824833409270209,0.23299477295559146,0.28298971005923235,0.2824833409270209,0.23299477295559146,0.28298971005923235,commuting,16,,,,,,,,,,
b,variational_mpo,,0.2824833409270252,0.23299477295559334,0.28298971005922935,0.2824833409270252,0.23299477295559334,0.28298971005922935,commuting,17,,,,,,,,,,
b,variational_mpo,,0.2850771658017349,0.23721123649095643,0.2873856076705873,0.2850771658017349,0.23721123649095643,0.2873856076705873,commuting,18,,,,,,,,,,
b,variational_mpo,,0.28755894779309366,0.23997689754388973,0.2909220052473618,0.28755894779309366,0.23997689754388973,0.2909220052473618,commuting,19,,,,,,,,,,
b,variational_mpo,,0.2875589477930939,0.23997689754388551,0.2909220052473577,0.2875589477930939,0.23997689754388551,0.2909220052473577,commuting,20,,,,,,,,,,
b,variational_mpo,,0.29000123727091587,0.24365352897950732,0.2950199097431192,0.29000123727091587,0.24365352897950732,0.2950199097431192,commuting,21,,,,,,,,,,
b,variational_mpo,,0.29232746626356176,0.24619416237180602,0.29822593543300946,0.29232746626356176,0.24619416237180602,0.29822593543300946,commuting,22,,,,,,,,,,
b,variational_mpo,,0.2923274662635632,0.24619416237180225,0.2982259354330081,0.2923274662635632,0.24619416237180225,0.2982259354330081,commuting,23,,,,,,,,,,
b,variational_mpo,,0.29462092246349636,0.24953275575424472,0.3020874187865559,0.29462092246349636,0.24953275575424472,0.3020874187865559,commuting,24,,,,,,,,,,
b,variational_mpo,,0.296828811215771,0.2518635137225662,0.3050098800040054,0.296828811215771,0.2518635137225662,0.3050098800040054,commuting,25,,,,,,,,,,
b,variational_mpo,,0.29682881121576954,0.25186351372256655,0.3050098800040054,0.29682881121576954,0.25186351372256655,0.3050098800040054,commuting,26,,,,,,,,,,
b,variational_mpo,,0.29899008189444787,0.2549793442962577,0.3086862187432923,0.29899008189444787,0.2549793442962577,0.3086862187432923,commuting,27,,,,,,,,,,
b,variational_mpo,,0.30110546620861545,0.2571101199446413,0.31137633982818214,0.30110546620861545,0.2571101199446413,0.31137633982818214,commuting,28,,,,,,,,,,
b,variational_mpo,,0.3011054662086161,0.2571101199446457,0.3113763398281808,0.3011054662086161,0.2571101199446457,0.3113763398281808,commuting,29,,,,,,,,,,
b,variational_mpo,,0.30315466407564096,0.26006105537280344,0.3149093854175753,0.30315466407564096,0.26006105537280344,0.3149093854175753,commuting,30,,,,,,,,,,
b,variational_mpo,,0.3051977099329216,0.26198796431001414,0.3174110961096339,0.3051977099329216,0.26198796431001414,0.3174110961096339,commuting,31,,,,,,,,,,
b,variational_mpo,,0.30519770993292006,0.2619879643100129,0.31741109610963536,0.30519770993292006,0.2619879643100129,0.31741109610963536,commuting,32,,,,,,,,,,
b,variational_mpo,,0.30715284394807696,0.26480591217449123,0.32083483171324156,0.30715284394807696,0.26480591217449123,0.32083483171324156,commuting,33,,,,,,,,,,
b,variational_mpo,,0.30914167717395724,0.2665190456027594,0.3231831559090391,0.30914167717395724,0.2665190456027594,0.3231831559090391,commuting,34,,,,,,,,,,
b,variational_mpo,,0.3091416771739556,0.2665190456027625,0.3231831559090347,0.3091416771739556,0.2665190456027625,0.3231831559090347,commuting,35,,,,,,,,,,
b,variational_mpo,,0.31101702676389575,0.26922710063538646,0.3265244655650228,0.31101702676389575,0.26922710063538646,0.3265244655650228,commuting,36,,,,,,,,,,
b,hybrid_tdvp,,0.0,0.0,4.699116651352142e-10,1e-14,1e-14,4.699116651352142e-10,mixed,1,,,,,,,,,,
b,hybrid_tdvp,,3.266824243253197e-05,8.968193710767736e-06,5.035462387803502e-05,3.266824243253197e-05,8.968193710767736e-06,5.035462387803502e-05,mixed,2,,,,,,,,,,
b,hybrid_tdvp,,0.000133328156135204,2.9483767134186323e-05,0.00018105567958104363,0.000133328156135204,2.9483767134186323e-05,0.00018105567958104363,mixed,3,,,,,,,,,,
