experiment,method,gate_type,theta,q0,q1,chi_max,tdvp_substeps,sequence,gate_count,infidelity_median,infidelity_min,infidelity_max,n_seeds
A,hybrid_tdvp,rzz,0.025,2,9,16,1,,1,5.823563853368796e-11,5.823563853368796e-11,5.823563853368796e-11,1
A,hybrid_tdvp,rzz,0.025,2,9,16,2,,1,1.4529710767874349e-11,1.4529710767874349e-11,1.4529710767874349e-11,1
A,hybrid_tdvp,rzz,0.025,2,9,16,4,,1,3.6268765768454614e-12,3.6268765768454614e-12,3.6268765768454614e-12,1
A,hybrid_tdvp,rzz,0.025,2,9,16,8,,1,8.757439218243235e-13,8.757439218243235e-13,8.757439218243235e-13,1
A,hybrid_tdvp,rzz,0.025,2,9,64,1,,1,5.823563853368796e-11,5.823563853368796e-11,5.823563853368796e-11,1
A,hybrid_tdvp,rzz,0.025,2,9,64,2,,1,1.4529710767874349e-11,1.4529710767874349e-11,1.4529710767874349e-11,1
A,hybrid_tdvp,rzz,0.025,2,9,64,4,,1,3.6268765768454614e-12,3.6268765768454614e-12,3.6268765768454614e-12,1
A,hybrid_tdvp,rzz,0.025,2,9,64,8,,1,8.757439218243235e-13,8.757439218243235e-13,8.757439218243235e-13,1
A,hybrid_tdvp,rzz,0.025,2,9,8,1,,1,9.901454446703539e-05,9.901454446703539e-05,9.901454446703539e-05,1
A,hybrid_tdvp,rzz,0.025,2,9,8,2,,1,9.90316582468731e-05,9.90316582468731e-05,9.90316582468731e-05,1
A,hybrid_tdvp,rzz,0.025,2,9,8,4,,1,9.904197224541722e-05,9.904197224541722e-05,9.904197224541722e-05,1
A,hybrid_tdvp,rzz,0.025,2,9,8,8,,1,9.904756303236173e-05,9.904756303236173e-05,9.904756303236173e-05,1
A,hybrid_tdvp,rzz,0.05,2,9,16,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.05,2,9,16,2,,1,5.823763693513229e-11,5.823763693513229e-11,5.823763693513229e-11,1
