case_id,n_qubits,depth,seed,angle_regime,chi_max,tdvp_sweeps,tebd_error,tdvp_error,tebd_fidelity,tdvp_fidelity,tebd_peak_chi,tdvp_peak_chi,tdvp_peak_chi_over_tebd_peak_chi,tebd_wall_time,tdvp_wall_time,tdvp_time_over_tebd_time,tebd_error_over_tdvp_error,tdvp_error_over_tebd_error,tebd_hit_chi_max,tdvp_hit_chi_max,tdvp_gate_count,tebd_gate_count,outcome
nn_brickwork_n8_d4_s1_medium,8,4,1,medium,32,1,8.871391344747855e-16,0.00011710873082591569,1.0,0.999771545063473,8,8,1.0,0.06127950001973659,0.42617109999991953,6.954545971534698,7.575345819378184e-12,117108730825.91568,False,False,28,28,tebd_wins
nn_brickwork_n8_d4_s1_medium,8,4,1,medium,64,1,8.871391344747855e-16,0.00011710873082591569,1.0,0.999771545063473,8,8,1.0,0.022500300023239106,0.33264619996771216,14.784078417805247,7.575345819378184e-12,117108730825.91568,False,False,28,28,tebd_wins
nn_brickwork_n8_d4_s2_small,8,4,2,small,16,1,2.134479537963055e-08,1.9540320289566258e-08,0.9999999999679094,0.9999999997141966,6,6,1.0,0.05048909998731688,0.38174289994640276,7.560897303423879,1.0923462391262753,0.9154606517434076,False,False,28,28,similar
nn_brickwork_n8_d4_s2_small,8,4,2,small,32,1,2.134479537963055e-08,1.9540320289566258e-08,0.9999999999679094,0.9999999997141966,6,6,1.0,0.010488500003702939,0.23778989998390898,22.671487810455055,1.0923462391262753,0.9154606517434076,False,False,28,28,similar
nn_brickwork_n8_d4_s2_small,8,4,2,small,64,1,2.134479537963055e-08,1.9540320289566258e-08,0.9999999999679094,0.9999999997141966,6,6,1.0,0.039006799983326346,0.10138409998035058,2.599139125067622,1.0923462391262753,0.9154606517434076,False,False,28,28,similar
nn_brickwork_n8_d4_s2_medium,8,4,2,medium,16,1,1.6309235088432915e-15,8.79720496374067e-05,1.0,0.9997624767733795,8,8,1.0,0.016090699995402247,0.202903299999889,12.609973466528276,1.8539110041944556e-11,53940021809.974144,False,False,28,28,tebd_wins
nn_brickwork_n8_d4_s2_medium,8,4,2,medium,32,1,1.6309235088432915e-15,8.79720496374067e-05,1.0,0.9997624767733795,8,8,1.0,0.015903000021353364,0.19373450003331527,12.182261194314469,1.8539110041944556e-11,53940021809.974144,False,False,28,28,tebd_wins
nn_brickwork_n8_d4_s2_medium,8,4,2,medium,64,1,1.6309235088432915e-15,8.79720496374067e-05,1.0,0.9997624767733795,8,8,1.0,0.011040500015951693,0.13443640002515167,12.176658650506168,1.8539110041944556e-11,53940021809.974144,False,False,28,28,tebd_wins
nn_brickwork_n8_d8_s0_small,8,8,0,small,16,1,6.836591062370879e-08,1.254677792661804e-06,0.9999999999444402,0.9999997343908992,12,12,1.0,0.021249899989925325,0.5403093000059016,25.426439666166182,0.05448881858239496,18.35238909589966,False,False,56,56,tebd_wins
nn_brickwork_n8_d8_s0_small,8,8,0,small,32,1,6.836591062370879e-08,1.254677792661804e-06,0.9999999999444402,0.9999997343908992,12,12,1.0,0.025939099956303835,0.24167790001956746,9.317127441842246,0.05448881858239496,18.35238909589966,False,False,56,56,tebd_wins
nn_brickwork_n8_d8_s0_small,8,8,0,small,64,1,6.836591062370879e-08,1.254677792661804e-06,0.9999999999444402,0.9999997343908992,12,12,1.0,0.020752499985974282,0.2580848000361584,12.436323344685546,0.05448881858239496,18.35238909589966,False,False,56,56,tebd_wins
nn_brickwork_n8_d8_s0_medium,8,8,0,medium,16,1,2.5527447219556415e-15,0.0039002899487391935,0.9999999999999893,0.9905937399542739,16,16,1.0,0.02689699997426942,0.5797474999562837,21.554355523325643,6.54501269266107e-13,1527880917819.0,True,True,56,56,tebd_wins
nn_brickwork_n8_d8_s0_medium,8,8,0,medium,32,1,2.5527447219556415e-15,0.0039002899487391935,0.9999999999999893,0.9905937399542739,16,16,1.0,0.024558299977798015,0.36187470000004396,14.73533185632546,6.54501269266107e-13,1527880917819.0,False,False,56,56,tebd_wins
nn_brickwork_n8_d8_s0_medium,8,8,0,medium,64,1,2.5527447219556415e-15,0.0039002899487391935,0.9999999999999893,0.9905937399542739,16,16,1.0,0.024986599979456514,0.4909181999973953,19.647258946836242,6.54501269266107e-13,1527880917819.0,False,False,56,56,tebd_wins
nn_brickwork_n8_d8_s1_small,8,8,1,small,16,1,4.0447520910703956e-08,8.911234554721467e-07,0.9999999999440179,0.9999999660214175,14,14,1.0,0.023220399976707995,0.34899119997862726,15.029508549753434,0.045389357290874496,22.03159638484349,False,False,56,56,tebd_wins
nn_brickwork_n8_d8_s1_small,8,8,1,small,32,1,4.0447520910703956e-08,8.911234554721467e-07,0.9999999999440179,0.9999999660214175,14,14,1.0,0.026658200018573552,0.5336911000194959,20.019772514560536,0.045389357290874496,22.03159638484349,False,False,56,56,tebd_wins
nn_brickwork_n8_d8_s1_small,8,8,1,small,64,1,4.0447520910703956e-08,8.911234554721467e-07,0.9999999999440179,0.9999999660214175,14,14,1.0,0.04066750005586073,0.34007229999406263,8.362262237092041,0.045389357290874496,22.03159638484349,False,False,56,56,tebd_wins
nn_brickwork_n8_d8_s1_medium,8,8,1,medium,16,1,9.716929641864372e-16,0.0019246884947761909,1.0,0.9929193692360199,16,16,1.0,0.08575750002637506,0.4674634999828413,5.450992622675231,5.048572622654082e-13,1924688494776.1907,True,True,56,56,tebd_wins
nn_brickwork_n8_d8_s1_medium,8,8,1,medium,32,1,9.716929641864372e-16,0.0019246884947761909,1.0,0.9929193692360199,16,16,1.0,0.08450619998620823,0.3900742999976501,4.615925222780244,5.048572622654082e-13,1924688494776.1907,False,False,56,56,tebd_wins
nn_brickwork_n8_d8_s1_medium,8,8,1,medium,64,1,9.716929641864372e-16,0.0019246884947761909,1.0,0.9929193692360199,16,16,1.0,0.03249300003517419,0.392441299976781,12.077718263994,5.048572622654082e-13,1924688494776.1907,False,False,56,56,tebd_wins
nn_brickwork_n8_d8_s2_small,8,8,2,small,16,1,1.0236435429833646e-07,1.925258672140904e-07,0.9999999999493112,0.9999999632167772,14,13,0.9285714285714286,0.0369840000057593,0.3868365000234917,10.459563594074517,0.5316914333620761,1.880790129862805,False,False,56,56,similar
nn_brickwork_n8_d8_s2_small,8,8,2,small,32,1,1.0236435429833646e-07,1.925258672140904e-07,0.9999999999493112,0.9999999632167772,14,13,0.9285714285714286,0.04491210001287982,0.5873086000210606,13.076845657464984,0.5316914333620761,1.880790129862805,False,False,56,56,similar
