chi_max,n,n2,trotter_step,time,I_n,I_2n,D_n
16,8,16,15,1.5,0.10494714453221787,0.09568796789046174,0.009259176641756128
32,1,2,0,0.0,0.0,0.0,0.0
32,1,2,1,0.1,1.95493735190011e-05,1.9508317847360956e-05,4.105567164014445e-08
32,1,2,2,0.2,0.00024154870997195044,0.00029515997652418413,5.3611266552233694e-05
32,1,2,3,0.30000000000000004,0.0003706901020489317,0.0004473696893835255,7.667958733459379e-05
32,1,2,4,0.4,0.0003707165735487017,0.0004473413520684755,7.662477851977378e-05
32,1,2,5,0.5,0.00037359662184877074,0.0004482857140279961,7.468909217922537e-05
32,1,2,6,0.6000000000000001,0.00040543138655935174,0.00047731575899900847,7.188437243965673e-05
32,1,2,7,0.7000000000000001,0.0004840289211101023,0.0005540519417804868,7.002302067038446e-05
32,1,2,8,0.8,0.0006380338772493666,0.00072684081781349,8.880694056412342e-05
32,1,2,9,0.9,0.0009637382936906747,0.0010913277055595305,0.00012758941186885586
32,1,2,10,1.0,0.001771088982275626,0.0018212027017868726,5.011371951124666e-05
