chi_max,tdvp_substeps,config_hash,cache_key,trotter_step,time,infidelity,state_norm,peak_max_bond,peak_param_count,param_count,cumulative_runtime_s,step_runtime_s,discarded_weight_step,failed,failure_message,krylov_failed,pairwise_infidelity_vs_2n,D_n
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,10.0,1.0,0.015976682697754097,1.0000000000000016,16.0,4776.0,4776.0,2.0227704875869676,0.24601766606792808,0.003118825594931088,0.0,,0.0,0.004156372152290033,0.002927660431192858
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,11.0,1.1,0.03141684215909524,1.0000000000000002,16.0,4776.0,4776.0,2.259489175165072,0.24055341398343444,0.004807466214644666,0.0,,0.0,0.00685894082250349,0.005768013945687933
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,12.0,1.2000000000000002,0.05402799029155836,0.9999999999999996,16.0,4776.0,4776.0,2.4966397741809487,0.24091617297381163,0.0063616650339508,0.0,,0.0,0.010743590107090473,0.009999561540973367
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,13.0,1.3,0.08182745006386904,0.9999999999999998,16.0,4776.0,4776.0,2.733573272358626,0.24070798105094582,0.007615705294099151,0.0,,0.0,0.015870100508722174,0.015065319645837127
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,14.0,1.4000000000000001,0.11249327686746713,1.000000000000002,16.0,4776.0,4776.0,2.971904121222906,0.2422427600249648,0.008348810798857324,0.0,,0.0,0.02238355959300753,0.019382542585899776
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,15.0,1.5,0.14337859510463602,0.9999999999999998,16.0,4776.0,4776.0,3.211457366240211,0.24333334201946855,0.008646719934155936,0.0,,0.0,0.030412245668404503,0.022084108243569545
16.0,2.0,60c5f6e09b155e7b,chi16_n2_60c5f6e09b155e7b,0.0,0.0,0.0,1.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
16.0,2.0,60c5f6e09b155e7b,chi16_n2_60c5f6e09b155e7b,1.0,0.1,1.9508317847360956e-05,0.9999999999999858,7.0,264.0,264.0,0.16608102538157254,0.16939606505911797,1.7264563646089748e-18,0.0,,0.0,1.747912248273309e-08,5.2432721830975026e-08
16.0,2.0,60c5f6e09b155e7b,chi16_n2_60c5f6e09b155e7b,2.0,0.2,0.00029515997652418413,0.9999999999992092,13.0,1488.0,1488.0,0.3828759823227301,0.22033810999710113,1.6495566627329093e-12,0.0,,0.0,5.314198656680702e-07,3.700425714514566e-06
16.0,2.0,60c5f6e09b155e7b,chi16_n2_60c5f6e09b155e7b,3.0,0.30000000000000004,0.000447710891619324,0.9999999995209274,16.0,4728.0,4680.0,0.6936362837441266,0.3148980349069461,8.525708211545102e-07,0.0,,0.0,5.615100501898951e-06,1.8267550295325563e-05
16.0,2.0,60c5f6e09b155e7b,chi16_n2_60c5f6e09b155e7b,4.0,0.4,0.00044799063330203115,0.9999999534423961,16.0,4776.0,4776.0,1.0380304718855768,0.34838431898970157,0.00011893646350324556,0.0,,0.0,3.6629515525965495e-05,1.4047278183326739e-05
16.0,2.0,60c5f6e09b155e7b,chi16_n2_60c5f6e09b155e7b,5.0,0.5,0.0005424539001812612,0.9999998261204821,16.0,4776.0,4776.0,1.377550020464696,0.3433338350150734,0.00013213599046462006,0.0,,0.0,9.375088953300637e-05,2.4270489461075684e-05
