L,J,c,entropy,k,dt,g,n_pasts,n_futures,n_seeds,branch_weight_beta
3,1.5,12,0.5142532195575426,20,0.1,1.0,32,32,1,1.0
3,1.5,13,0.37582338172137375,20,0.1,1.0,32,32,1,1.0
3,1.5,14,0.5103651326026287,20,0.1,1.0,32,32,1,1.0
3,1.5,15,0.3733937184847819,20,0.1,1.0,32,32,1,1.0
3,1.5,16,0.599191981778112,20,0.1,1.0,32,32,1,1.0
3,1.5,17,0.4592848630314352,20,0.1,1.0,32,32,1,1.0
3,1.5,18,0.3929929431039839,20,0.1,1.0,32,32,1,1.0
3,1.5,19,0.20944715774744707,20,0.1,1.0,32,32,1,1.0
3,1.5,20,0.1454682703860709,20,0.1,1.0,32,32,1,1.0
3,2.0,1,0.0001863816541891447,20,0.1,1.0,32,32,1,1.0
3,2.0,2,0.06566137932425585,20,0.1,1.0,32,32,1,1.0
3,2.0,3,0.22978587260434463,20,0.1,1.0,32,32,1,1.0
3,2.0,4,0.21948529075960818,20,0.1,1.0,32,32,1,1.0
3,2.0,5,0.2794999034969472,20,0.1,1.0,32,32,1,1.0
3,2.0,6,0.4105155092762932,20,0.1,1.0,32,32,1,1.0
3,2.0,7,0.6944325334237522,20,0.1,1.0,32,32,1,1.0
3,2.0,8,0.505178804212118,20,0.1,1.0,32,32,1,1.0
3,2.0,9,0.6464493413940853,20,0.1,1.0,32,32,1,1.0
3,2.0,10,0.8376203694607164,20,0.1,1.0,32,32,1,1.0
3,2.0,11,0.6435144964016959,20,0.1,1.0,32,32,1,1.0
3,2.0,12,0.706499309125791,20,0.1,1.0,32,32,1,1.0
3,2.0,13,0.7081250695846592,20,0.1,1.0,32,32,1,1.0
3,2.0,14,0.774235950029699,20,0.1,1.0,32,32,1,1.0
3,2.0,15,0.6087083405264893,20,0.1,1.0,32,32,1,1.0
3,2.0,16,0.6621105619585056,20,0.1,1.0,32,32,1,1.0
3,2.0,17,0.5262161229762893,20,0.1,1.0,32,32,1,1.0
3,2.0,18,0.45663885297145373,20,0.1,1.0,32,32,1,1.0
3,2.0,19,0.38069881691037305,20,0.1,1.0,32,32,1,1.0
3,2.0,20,0.249559610751101,20,0.1,1.0,32,32,1,1.0
4,0.5,1,1.318969631369833e-06,20,0.1,1.0,32,32,1,1.0
4,0.5,2,0.00101136092226102,20,0.1,1.0,32,32,1,1.0
4,0.5,3,0.0023450746372634737,20,0.1,1.0,32,32,1,1.0
4,0.5,4,0.002160051989799429,20,0.1,1.0,32,32,1,1.0
4,0.5,5,0.006207556870603813,20,0.1,1.0,32,32,1,1.0
4,0.5,6,0.006018474377542001,20,0.1,1.0,32,32,1,1.0
4,0.5,7,0.006662439895980865,20,0.1,1.0,32,32,1,1.0
4,0.5,8,0.009979094905364425,20,0.1,1.0,32,32,1,1.0
4,0.5,9,0.010714200021182401,20,0.1,1.0,32,32,1,1.0
4,0.5,10,0.012790731353883525,20,0.1,1.0,32,32,1,1.0
4,0.5,11,0.007458780096636984,20,0.1,1.0,32,32,1,1.0
4,0.5,12,0.010405401937403082,20,0.1,1.0,32,32,1,1.0
4,0.5,13,0.0061389951644260045,20,0.1,1.0,32,32,1,1.0
4,0.5,14,0.0056313002983881125,20,0.1,1.0,32,32,1,1.0
4,0.5,15,0.002380029591886563,20,0.1,1.0,32,32,1,1.0
4,0.5,16,0.005429575974748221,20,0.1,1.0,32,32,1,1.0
4,0.5,17,0.005001418929700725,20,0.1,1.0,32,32,1,1.0
4,0.5,18,0.0041748215589526684,20,0.1,1.0,32,32,1,1.0
4,0.5,19,0.0033949470829797435,20,0.1,1.0,32,32,1,1.0
4,0.5,20,0.002170013220749026,20,0.1,1.0,32,32,1,1.0
4,1.0,1,1.107045378636571e-05,20,0.1,1.0,32,32,1,1.0
4,1.0,2,0.00881781597003109,20,0.1,1.0,32,32,1,1.0
4,1.0,3,0.026160027744939876,20,0.1,1.0,32,32,1,1.0
4,1.0,4,0.025411048816309616,20,0.1,1.0,32,32,1,1.0
4,1.0,5,0.05369098673613633,20,0.1,1.0,32,32,1,1.0
4,1.0,6,0.04866517989125624,20,0.1,1.0,32,32,1,1.0
4,1.0,7,0.07368674131904283,20,0.1,1.0,32,32,1,1.0
4,1.0,8,0.07566251535848867,20,0.1,1.0,32,32,1,1.0
4,1.0,9,0.10289643844018947,20,0.1,1.0,32,32,1,1.0
4,1.0,10,0.12290014197519233,20,0.1,1.0,32,32,1,1.0
4,1.0,11,0.09885486524093567,20,0.1,1.0,32,32,1,1.0
4,1.0,12,0.07781334777672519,20,0.1,1.0,32,32,1,1.0
4,1.0,13,0.0544746791648808,20,0.1,1.0,32,32,1,1.0
4,1.0,14,0.058309525505317476,20,0.1,1.0,32,32,1,1.0
4,1.0,15,0.04493672544323729,20,0.1,1.0,32,32,1,1.0
4,1.0,16,0.0852407871554407,20,0.1,1.0,32,32,1,1.0
4,1.0,17,0.06156036161654965,20,0.1,1.0,32,32,1,1.0
4,1.0,18,0.0437072279974903,20,0.1,1.0,32,32,1,1.0
4,1.0,19,0.027042642969865322,20,0.1,1.0,32,32,1,1.0
4,1.0,20,0.014917470656101654,20,0.1,1.0,32,32,1,1.0
4,1.5,1,3.910664416384595e-05,20,0.1,1.0,32,32,1,1.0
4,1.5,2,0.021477630284067496,20,0.1,1.0,32,32,1,1.0
4,1.5,3,0.07261254229241268,20,0.1,1.0,32,32,1,1.0
4,1.5,4,0.07819795610172174,20,0.1,1.0,32,32,1,1.0
4,1.5,5,0.11842428028817079,20,0.1,1.0,32,32,1,1.0
4,1.5,6,0.16434996974250551,20,0.1,1.0,32,32,1,1.0
4,1.5,7,0.2736896434423704,20,0.1,1.0,32,32,1,1.0
4,1.5,8,0.23402306359139238,20,0.1,1.0,32,32,1,1.0
4,1.5,9,0.29438813278914244,20,0.1,1.0,32,32,1,1.0
4,1.5,10,0.3998643492513654,20,0.1,1.0,32,32,1,1.0
4,1.5,11,0.3442075160559426,20,0.1,1.0,32,32,1,1.0
4,1.5,12,0.3338109381819961,20,0.1,1.0,32,32,1,1.0
4,1.5,13,0.2812190881809779,20,0.1,1.0,32,32,1,1.0
4,1.5,14,0.343740546617674,20,0.1,1.0,32,32,1,1.0
4,1.5,15,0.16087178537519906,20,0.1,1.0,32,32,1,1.0
4,1.5,16,0.2752706256353117,20,0.1,1.0,32,32,1,1.0
4,1.5,17,0.17457938031578865,20,0.1,1.0,32,32,1,1.0
4,1.5,18,0.15654401339921958,20,0.1,1.0,32,32,1,1.0
4,1.5,19,0.17897029378496535,20,0.1,1.0,32,32,1,1.0
4,1.5,20,0.09006941409122768,20,0.1,1.0,32,32,1,1.0
