sequence,gate_count,layer,position_in_layer,gate_type,theta,q0,q1,exact_norm,tdvp_norm,tebd_norm,mpo_norm,infidelity_exact_tdvp,infidelity_exact_tebd,infidelity_exact_mpo,infidelity_tdvp_tebd,infidelity_tdvp_mpo,infidelity_tebd_mpo,exact_state_hash,gate_matrix_hash
commuting,27,9,3,rzz,0.05,3,9,1.0000000000000004,0.9999999999995146,0.9999999968000528,1.0000000000000213,1.581490494118043e-11,6.3999023858229975e-09,0.0,6.415716402585758e-09,1.57738266892693e-11,6.399860419392667e-09,87df95052f5ffb78bd18fe1a14689d9e7babb6b4e56477019525d5e3a8e89927,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
commuting,28,10,1,rzz,0.05,2,9,1.0000000000000004,0.9999999999995233,0.999999996945109,1.000000000000024,1.5798029551206128e-11,6.1097913395258274e-09,0.0,6.125587592720194e-09,1.5751622228776796e-11,6.1097438219803735e-09,b03cc64a8048713daef438956168f5c4b7f849e27ed8aa94a587f29edc1661d5,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,29,10,2,rzz,0.05,2,8,1.0000000000000007,0.9999999999995244,0.9999999959361757,1.0000000000000229,1.5795587060551952e-11,8.127659212320282e-09,0.0,8.143455021425439e-09,1.575095609496202e-11,8.127614359310087e-09,61997f57f25086df5d0e05eda7f48cf389822793f90aa6429e5900bfd92aeef6,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,30,10,3,rzz,0.05,3,9,1.0000000000000009,0.9999999999995249,0.9999999971989104,1.000000000000025,1.5794698882132252e-11,5.602189823150638e-09,0.0,5.6179847440773756e-09,1.574607111365367e-11,5.602140973337555e-09,164fba0435513ba60c5c1099bf781ef04142dce64b39dd095050b0a9d1f72eef,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
commuting,31,11,1,rzz,0.05,2,9,1.0000000000000007,0.9999999999995314,0.9999999975119432,1.0000000000000264,1.5781598250441675e-11,4.9761237352896615e-09,0.0,4.991905777629313e-09,1.5729861857494143e-11,4.976071998896714e-09,8166066163d0c0426d463f6aa826213be57fe389575b7a6802bff5949af0e5f1,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,32,11,2,rzz,0.05,2,8,1.0000000000000007,0.9999999999995303,0.9999999966973714,1.0000000000000258,1.5783374607281075e-11,6.6052687763829e-09,0.0,6.62105437143623e-09,1.5732748437358168e-11,6.605217706123767e-09,29f6f5038698f6a86906de559570e3b7d904134a729e83d0385f010e9d33302b,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,33,11,3,rzz,0.05,3,9,1.0000000000000007,0.9999999999995308,0.9999999982749042,1.000000000000027,1.5782486428861375e-11,3.450204122401601e-09,0.0,3.4659890513211167e-09,1.5729639812889218e-11,3.450151275785629e-09,273a5e2d30974a72f7be8e369bd81f443dfe3aaa50cbed9c260dc807ff18e5a1,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
commuting,34,12,1,rzz,0.05,2,9,1.0000000000000007,0.9999999999995343,0.999999998540359,1.0000000000000266,1.5774936912293924e-11,2.9192939177136168e-09,0.0,2.9350730734734043e-09,1.5724532786975942e-11,2.919242625409879e-09,95b1ddb082506fa0557a4683250a7ac9233b3ba1ffb0263d019bbd1385c34c2b,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,35,12,2,rzz,0.05,2,8,1.000000000000001,0.9999999999995378,0.9999999974271695,1.0000000000000253,1.5768053529541248e-11,5.145674997208971e-09,0.0,5.161446825496796e-09,1.5718981671852816e-11,5.145626591485097e-09,eb0f060a77de1192459c3dc508219c49a69c4bf9f5bff25e234fb079e5d3b2bb,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,36,12,3,rzz,0.05,3,9,1.0000000000000007,0.9999999999995391,0.9999999988690065,1.0000000000000255,1.5764278771257523e-11,2.2620016970620327e-09,0.0,2.2777713049038084e-09,1.5715873047383866e-11,2.2619519590705295e-09,60ca791c76268311c70860ebd28b352ebd3cc0a189741bc57339c8fb7ad50068,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
mixed,1,1,1,rxx,0.05,2,9,0.9999999999999997,0.9999999999999644,1.0000000000000013,0.999999999999999,4.699116651352142e-10,0.0,3.552713678800501e-15,4.699076683323256e-10,4.699125533136339e-10,0.0,383c4a93e9e80e86d074bbe039aee611b744a69904d2f496f34c1e1c590d65fa,4cea9d9d874308fdc8cd223c38d24a7579054c3ccfd4a373df3a5363794dfaf4
mixed,2,1,2,rzz,0.05,2,8,0.9999999999999993,0.9999999999998507,1.0000000000000007,0.9999999999999976,4.736657732706817e-10,0.0,5.10702591327572e-15,4.736631087354226e-10,4.736699921181753e-10,2.6645352591003757e-15,6f817b47d1e16579a99d1039440f9901ceec7d5b5d743d03d2940395721f343a,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
mixed,3,1,3,ryy,0.05,3,9,0.9999999999999994,0.9999999999997978,1.0000000000000036,0.999999999999999,4.739986181334643e-10,0.0,3.552713678800501e-15,4.73990624527687e-10,4.739990622226742e-10,0.0,b836ef587a59550235678a3eb208c16e4bd979e008c871e5216b0dfbcb25d9a8,b284c1e73bdbddcd49f4bf63688996198da2369baffe0c4e1488eac4e855c903
mixed,4,2,1,rxx,0.05,2,9,0.9999999999999996,0.999999999999719,1.0000000000000027,0.9999999999999998,4.740803305480767e-10,0.0,1.1102230246251565e-15,4.740745573883487e-10,4.740798864588669e-10,0.0,04dddf76da1ac20f99a9f1245b11c7a0a4a3315b3afd2c7dfc714ee45f89ad8d,4cea9d9d874308fdc8cd223c38d24a7579054c3ccfd4a373df3a5363794dfaf4
mixed,5,2,2,rzz,0.05,2,8,0.9999999999999996,0.9999999999996795,1.0000000009575953,1.0000000000000007,4.741880221814654e-10,0.0,4.440892098500626e-16,0.0,4.741869119584408e-10,0.0,500594e4319098bb60e09f78adf73cc5956981b97592cae0c51f42e941457cf2,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
mixed,6,2,3,ryy,0.05,3,9,0.9999999999999996,0.9999999999996434,1.0000000020206479,0.9999999999999997,4.744160619907234e-10,0.0,0.0,0.0,4.744158399461185e-10,0.0,03f364530cae9308a8fc21bf9d502f79670e15ff0a6357825bf415fb931f0cbc,b284c1e73bdbddcd49f4bf63688996198da2369baffe0c4e1488eac4e855c903
mixed,7,3,1,rxx,0.05,2,9,1.0,0.9999999999995594,1.0000000027846572,1.0000000000000004,4.745408510586913e-10,0.0,0.0,0.0,4.745395187910617e-10,0.0,450e039dd9a7288e4dd084b789175446bd86b63fab948319208945ab4bb0c2bb,4cea9d9d874308fdc8cd223c38d24a7579054c3ccfd4a373df3a5363794dfaf4
mixed,8,3,2,rzz,0.05,2,8,0.9999999999999996,0.9999999999994986,1.000000002250128,0.9999999999999988,4.747513493441602e-10,0.0,3.1086244689504383e-15,0.0,4.747531257009996e-10,0.0,880c8ef668e879569f302505ec376594167cd02b88924eb813ba8f8d4c1f60be,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
mixed,9,3,3,ryy,0.05,3,9,0.9999999999999996,0.999999999999472,1.0000000032312926,1.0000000000000007,4.749358684108529e-10,0.0,0.0,0.0,4.749327597863839e-10,0.0,98770b95322ccbe7a0a9fa1fafece1fb88d7bca73faaf3857eddbd56b26fe9be,b284c1e73bdbddcd49f4bf63688996198da2369baffe0c4e1488eac4e855c903
mixed,10,4,1,rxx,0.05,2,9,0.9999999999999997,0.9999999999993794,1.0000000034722605,1.000000000000001,4.751414817150135e-10,0.0,0.0,0.0,4.751385951351494e-10,0.0,52bdb5428e163c518b22a10e9aabcdd4ad5c9e5fbca700abe2f481abc301f8cd,4cea9d9d874308fdc8cd223c38d24a7579054c3ccfd4a373df3a5363794dfaf4
mixed,11,4,2,rzz,0.05,2,8,0.9999999999999999,0.9999999999993312,1.0000000045458186,1.0000000000000009,4.75361972007704e-10,0.0,0.0,0.0,4.753595295170499e-10,0.0,d087ec117651e587e23762d9d43b8bae301b86e5750c65a3e341a243dcfb1565,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
mixed,12,4,3,ryy,0.05,3,9,1.0,0.9999999999992862,1.0000000050287001,1.0000000000000013,4.756495197710819e-10,0.0,0.0,0.0,4.756470772804278e-10,0.0,52dcf07847b469d63e39dbe9097c3315da05b69df5da9fc3f3c3698f5c85b509,b284c1e73bdbddcd49f4bf63688996198da2369baffe0c4e1488eac4e855c903
mixed,13,5,1,rxx,0.05,2,9,0.9999999999999998,0.9999999999992092,1.000000005379503,0.9999999999999999,4.758757832235005e-10,0.0,0.0,0.0,4.758760052681055e-10,0.0,f20fba037c8d8f680619a02e92308e724d5716950acc2341cb73bd3d5100f9f1,4cea9d9d874308fdc8cd223c38d24a7579054c3ccfd4a373df3a5363794dfaf4
mixed,14,5,2,rzz,0.05,2,8,1.0000000000000002,0.9999999999991642,1.0000000051777418,1.0000000000000002,4.760587479779588e-10,0.0,0.0,0.0,4.760583038887489e-10,0.0,bb08ce1cc146711068399428b41b852da0110d7106856a8515689f7955ce38ed,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
mixed,15,5,3,ryy,0.05,3,9,0.9999999999999994,0.9999999999991173,1.0000000042137707,1.0000000000000004,4.764242333976654e-10,0.0,0.0,0.0,4.76422457040826e-10,0.0,13d52c267c90c6c8e2887f560b2913846787fd6ea2410bf22d3cf94a8cd62d40,b284c1e73bdbddcd49f4bf63688996198da2369baffe0c4e1488eac4e855c903
