run_kind,build_method,total_time,J,cut,k,L,dt,object_type,valid,entropy,effective_rank,p1,numerical_rank,ipr,r_90,r_99,r_999,chi_1e-2,chi_1e-3,chi_1e-4,n_singular_values
main,exhaustive,0.4,1.2,3,3,6,0.1,response_centered,True,0.0008700878709710977,1.0008704665072303,0.9999162386563232,12,1.000167536719517,1,1,1,11,10,10,12
main,exhaustive,0.4,1.2,3,3,6,0.1,response_uncentered,True,0.0005309935121489499,1.0005311345141599,0.999951430710286,12,1.0000971432974601,1,1,1,11,10,10,12
main,exhaustive,0.4,1.4,1,3,6,0.1,process_tensor,True,2.56119503100749e-06,1.0000025611983108,0.9999998477222805,4,1.0000003045554866,1,1,1,3,3,2,4
main,exhaustive,0.4,1.4,1,3,6,0.1,response_centered,True,5.319124851520721e-06,1.0000053191389981,0.9999996682043155,3,1.0000006635915941,1,1,1,3,3,2,4
main,exhaustive,0.4,1.4,1,3,6,0.1,response_uncentered,True,1.474053456042945e-06,1.0000014740545424,0.9999999152636501,4,1.0000001694727145,1,1,1,3,3,2,4
main,exhaustive,0.4,1.4,2,3,6,0.1,process_tensor,True,0.0006937280886896092,1.0006939687736736,0.9999351231130331,8,1.0001297622635645,1,1,1,63,62,61,64
main,exhaustive,0.4,1.4,2,3,6,0.1,response_centered,True,0.0007541328005343014,1.0007544172301694,0.9999288922257304,63,1.0001422257569523,1,1,1,63,62,61,64
main,exhaustive,0.4,1.4,2,3,6,0.1,response_uncentered,True,0.00035620226501061774,1.0003562657125706,0.999968837449749,64,1.0000623270610827,1,1,1,63,62,61,64
main,exhaustive,0.4,1.4,3,3,6,0.1,process_tensor,True,0.0014562596713651242,1.001457320532381,0.9998516431062479,4,1.0002967578074045,1,1,1,14,14,14,16
main,exhaustive,0.4,1.4,3,3,6,0.1,response_centered,True,0.0015097539504668888,1.0015108942027235,0.9998455637261174,12,1.0003089202498978,1,1,1,10,10,10,12
main,exhaustive,0.4,1.4,3,3,6,0.1,response_uncentered,True,0.0009253553117519363,1.00092578358507,0.9999103301654495,12,1.0001793557508007,1,1,1,11,10,10,12
main,exhaustive,0.4,1.6,1,3,6,0.1,process_tensor,True,3.943386739412947e-06,1.0000039433945145,0.999999759422888,4,1.0000004811543437,1,1,1,3,3,2,4
main,exhaustive,0.4,1.6,1,3,6,0.1,response_centered,True,8.987242990611462e-06,1.000008987283376,0.999999419870958,3,1.0000011602587762,1,1,1,3,3,1,4
main,exhaustive,0.4,1.6,1,3,6,0.1,response_uncentered,True,2.4901869685811663e-06,1.000002490190069,0.9999998523013297,4,1.0000002953973854,1,1,1,3,3,2,4
main,exhaustive,0.4,1.6,2,3,6,0.1,process_tensor,True,0.001040763839313151,1.0010413056219374,0.9998985497576259,10,1.0002029212998764,1,1,1,62,61,60,64
main,exhaustive,0.4,1.6,2,3,6,0.1,response_centered,True,0.001275523968769985,1.0012763377954492,0.9998728041597706,63,1.000254424372172,1,1,1,62,61,61,64
main,exhaustive,0.4,1.6,2,3,6,0.1,response_uncentered,True,0.0006054097936805825,1.000605593091178,0.999944213320668,64,1.0001115796471336,1,1,1,63,62,61,64
main,exhaustive,0.4,1.6,3,3,6,0.1,process_tensor,True,0.0021601102420190908,1.0021624449609288,0.9997696065026488,4,1.000460893158177,1,1,1,14,14,14,16
main,exhaustive,0.4,1.6,3,3,6,0.1,response_centered,True,0.0024141349090144875,1.0024170512790587,0.9997390504367467,12,1.0005220353192652,1,1,1,10,10,10,12
main,exhaustive,0.4,1.6,3,3,6,0.1,response_uncentered,True,0.0014863309009902847,1.0014874360382293,0.9998482308940518,12,1.0003035842807797,1,1,1,10,10,10,12
main,exhaustive,0.4,1.8,1,3,6,0.1,process_tensor,True,5.6668349080112e-06,1.0000056668509645,0.9999996466755138,4,1.000000706649233,1,1,1,3,3,1,4
main,exhaustive,0.4,1.8,1,3,6,0.1,response_centered,True,1.437040863297788e-05,1.0000143705118878,0.99999904248157,3,1.0000019150387542,1,1,1,3,3,1,4
main,exhaustive,0.4,1.8,1,3,6,0.1,response_uncentered,True,3.981482416936567e-06,1.000003981490343,0.9999997569260044,4,1.0000004861481133,1,1,1,3,3,2,4
main,exhaustive,0.4,1.8,2,3,6,0.1,process_tensor,True,0.0014564759164547758,1.0014575370926324,0.9998529057691925,10,1.000294232356342,1,1,1,62,61,60,64
main,exhaustive,0.4,1.8,2,3,6,0.1,response_centered,True,0.0020285443252110913,1.0020306032131971,0.999786777652009,63,1.00042653660704,1,1,1,62,61,60,64
main,exhaustive,0.4,1.8,2,3,6,0.1,response_uncentered,True,0.0009676597262020763,1.0009681280599254,0.9999063884754774,64,1.0001872407644263,1,1,1,63,61,61,64
main,exhaustive,0.4,1.8,3,3,6,0.1,process_tensor,True,0.00298599191618588,1.0029904544306196,0.9996686808289087,4,1.000662857889974,1,1,1,14,14,14,16
main,exhaustive,0.4,1.8,3,3,6,0.1,response_centered,True,0.0036206865133514778,1.0036272491167517,0.999588345720097,12,1.000823647487986,1,1,1,10,10,9,12
main,exhaustive,0.4,1.8,3,3,6,0.1,response_uncentered,True,0.0022397500766643597,1.0022422601905268,0.9997600804543684,12,1.0004799542173588,1,1,1,10,10,10,12
main,exhaustive,0.4,2.0,1,3,6,0.1,process_tensor,True,7.700750839047055e-06,1.00000770078049,0.9999995109735198,4,1.000000978053464,1,1,1,3,3,1,4
